frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-5.012222452094685,-5.028701614488874,-5.066878297844609,-5.0833430843690754,5.083343084369074,0.07112063227438892,0.01646478652446426,0.016479162394188673
21,-4.784302224174454,-4.801948310643752,-4.701968019155369,-4.71961573677159,4.719615736771589,-0.06468648740286564,0.01764771761621997,0.017646086469297995
22,-4.328461768333995,-4.347224339326567,-4.350765509265413,-4.369539137265829,4.3695391372658285,0.041077368931833114,0.0187736280004156,0.01876257099257117
23,-4.052336923445187,-4.07216413318033,-4.013270768174741,-4.033113285851796,4.033113285851796,-0.01922363759339163,0.019842517677054694,0.01982720973514196
24,-3.6447010845733137,-3.6655394281211002,-3.689483795883348,-3.7103381825294814,3.71033818252948,0.06563709795616646,0.02085438664613193,0.020838343547786575
25,-3.416780856653084,-3.4385748855677996,-3.3781763389625077,-3.3999876390143493,3.3999876390143497,-0.016793217638734426,0.021811300051842064,0.02179402891471538
26,-3.1037072019534038,-3.1263992061633807,-3.080995857106384,-3.103707227999588,3.103707227999588,2.6046184320449584e-08,0.022711370893204297,0.022692004209976968
27,-2.7938534394234176,-2.817387586970421,-2.7993065782087836,-2.822858985020048,2.822858985020048,0.029005545596630267,0.023552406811264248,0.023534147547003226
28,-2.505099944972174,-2.5294134199401066,-2.5346722422393952,-2.5590028130774867,2.5590028130774862,0.05390286810531242,0.02433057083809098,0.02431347496793279
29,-2.277179717051944,-2.3022044363967185,-2.2883542376898074,-2.313394447725944,2.3133944477259445,0.036214730674000606,0.0250402100361371,0.02502471934477457
30,-2.0492594891317144,-2.0749207426026777,-2.0603376748371875,-2.086012218837551,2.086012218837551,0.03675272970583654,0.025674544000363397,0.025661253470963263
31,-1.821339261211492,-1.847554320771665,-1.8494710840674244,-1.8756965129696965,1.8756965129696965,0.054357251758204495,0.026225428902272085,0.026215059560172893
32,-1.5934190332912626,-1.6200958422333978,-1.6536861550175461,-1.6803698652108237,1.6803698652108232,0.08695083191956066,0.026683710193277088,0.0266768089421352
33,-1.5934190332912626,-1.6204550986649,-1.4709271706471192,-1.4979666494738737,1.4979666494738737,-0.09545238381738885,0.027039478826754504,0.027036065373637452
34,-1.3654988053710335,-1.3927811913632366,-1.3005850959758205,-1.3278673705952944,1.327867370595294,-0.0376314347757396,0.027282274619473412,0.027282385992203118
35,-1.2036966910289617,-1.2311014833235985,-1.144886337409365,-1.17228773861144,1.1722877386114403,-0.031408952417521396,0.02740140120207535,0.02740479229463677
36,-0.9178639337614618,-0.9452562610753568,-1.0097726955494877,-1.0371588753163312,1.037158875316331,0.1192949415548692,0.02738617976684332,0.02739232731389496
37,-0.9096583495305743,-0.9368927011363744,-0.9045893522324626,-0.9318155510096802,0.93181555100968,0.022157201479105715,0.027226198777217436,0.02723435160580001
38,-0.9096583495305743,-0.9365791273455775,-0.840225293008931,-0.8671368265111583,0.8671368265111586,-0.0425215230194157,0.026911533502227636,0.026920777815003127
39,-0.9096583495305742,-0.9361005676597355,-0.8258635664475996,-0.8522964667648618,0.8522964667648617,-0.057361882765712524,0.026432900317262087,0.026442218129161255
40,-0.681738121610352,-0.7075281512045544,-0.865082899594827,-0.8908646468031678,0.8908646468031676,0.2091265251928156,0.02578174720834059,0.0257900295942024
41,-0.681738121610352,-0.7066945096175663,-0.9525546038257562,-0.9775048652177099,0.9775048652177095,0.29576674360735755,0.024950261391953332,0.024956388007214336
