frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-7.2934472934472945,-7.309926455841483,-7.334834974179788,-7.3512997607042685,5.999999999999998,-1.2934472934472963,-1.33483497417979,0.016479162394188673
21,-7.065527065527064,-7.0831731519963625,-6.9891103840238085,-7.00675810164004,6.000000000000001,-1.0655270655270632,-0.9891103840238076,0.017646086469297995
22,-6.609686609686605,-6.628449180679176,-6.659466359863202,-6.678239987863625,6.0,-0.6096866096866052,-0.6594663598632016,0.01876257099257117
23,-6.333561764797797,-6.353388974532939,-6.345902901697967,-6.365745419375025,5.941739936888105,-0.3918218279096921,-0.4041629648098617,0.01982720973514196
24,-6.1538461538461515,-6.1746844973939385,-6.048420009528096,-6.069274396174232,5.82351551584062,-0.3303306380055311,-0.22490449368747534,0.020838343547786575
25,-5.733760880246752,-5.755554909161468,-5.766836437568018,-5.788647737619862,5.653302562971881,-0.0804583172748714,-0.11353387459613717,0.02179402891471538
26,-5.470085470085465,-5.492777474295442,-5.501509797898131,-5.524221168791337,5.459541855275719,-0.010543614809745527,-0.04196794262241177,0.022692004209976968
27,-5.242165242165235,-5.265699389712239,-5.252625346187494,-5.27617775299876,5.256193308937371,0.014028066772135972,0.0035679627498774735,0.023534147547003226
28,-5.029284296050029,-5.053597771017961,-5.020227514241086,-5.044558085079179,5.044558085079179,0.015273789029150109,0.024330570838092314,0.02431347496793279
29,-4.7863247863247835,-4.811349505669558,-4.80407590129894,-4.829116111335075,4.829116111335076,0.0427913250102927,0.025040210036136656,0.02502471934477457
30,-4.580384941640526,-4.606046195111489,-4.60344510838525,-4.629119652385615,4.629119652385615,0.04873471074508906,0.025674544000365174,0.025661253470963263
31,-4.400866385670108,-4.4270814452302805,-4.417206730013492,-4.4434321589157655,4.443432158915765,0.04256577324565658,0.026225428902272974,0.026215059560172893
32,-4.330484330484325,-4.357161139426459,-4.243874411400295,-4.270558121593572,4.270558121593574,-0.05992620889075084,0.026683710193278642,0.0266768089421352
33,-4.102564102564102,-4.12960016793774,-4.081731336339249,-4.108770815166003,4.108770815166003,0.006206712601900755,0.027039478826753616,0.027036065373637452
34,-3.8746438746438727,-3.901926260636076,-3.9289978057722266,-3.9562800803916995,3.9562800803917,0.08163620574782726,0.027282274619473412,0.027282385992203118
35,-3.712841760301801,-3.740246552596438,-3.7839801561999638,-3.811381557402038,3.8113815574020387,0.09853979710023753,0.027401401202074904,0.02740479229463677
36,-3.6467236467236432,-3.674115974037538,-3.645236958441381,-3.6726231382082246,3.672623138208225,0.025899491484581816,0.027386179766843988,0.02739232731389496
37,-3.6173390939372636,-3.6445734455430636,-3.5117247950420243,-3.5389509938192423,3.5389509938192423,-0.07838810011802133,0.02722619877721799,0.02723435160580001
38,-3.4188034188034138,-3.445724196618417,-3.38289837222065,-3.4098099057228772,3.409809905722878,-0.008993513080535642,0.026911533502228302,0.026920777815003127
39,-3.1908831908831843,-3.2173254090123455,-3.2587359700604295,-3.2851688703776922,3.285168870377692,0.0942856794945075,0.02643290031726231,0.026442218129161255
40,-3.1908831908831843,-3.2166732204773867,-3.1396618275446717,-3.165443574753013,3.1654435747530116,-0.02543961613017265,0.025781747208339922,0.0257900295942024
