frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-10.446317513565926,-10.462796675960115,-8.998199509837782,-9.01466429636228,5.999999999999999,-4.446317513565927,-2.998199509837783,0.016479162394188673
21,-10.301387899282924,-10.319033985752222,-12.54233751353683,-12.55998523115308,6.0,-4.301387899282924,-6.542337513536831,0.017646086469297995
22,-12.538922748823941,-12.557685319816512,-15.375535973185254,-15.394309601185697,6.0,-6.538922748823941,-9.375535973185254,0.01876257099257117
23,-21.69993585128098,-21.71976306101612,-17.497794888783055,-17.517637406460132,5.999999999999999,-15.69993585128098,-11.497794888783055,0.01982720973514196
24,-19.716641482027367,-19.737479825575154,-18.909114260330224,-18.92996864697637,5.999999999999998,-13.716641482027368,-12.909114260330226,0.020838343547786575
25,-23.153663562148648,-23.175457591063363,-19.44830200115377,-19.47011330120562,6.000000000000001,-17.153663562148648,-13.44830200115377,0.02179402891471538
26,-19.078766475914396,-19.10145848012437,-19.31069218409045,-19.333403554983654,6.0,-13.078766475914396,-13.310692184090449,0.022692004209976968
27,-20.930558809224642,-20.954092956771646,-18.671522515942115,-18.695074922753378,6.0,-14.930558809224642,-12.671522515942115,0.023534147547003226
28,-13.362115997995916,-13.386429472963849,-17.765369839843657,-17.78970041068175,6.0,-7.362115997995916,-11.765369839843657,0.02431347496793279
29,-11.518609399598601,-11.543634118943375,-16.849866348638006,-16.874906558674144,6.000000000000001,-5.5186093995986,-10.849866348638006,0.02502471934477457
30,-16.311820149420797,-16.33748140289176,-16.102904818641065,-16.128579362641428,6.0,-10.311820149420797,-10.102904818641065,0.025661253470963263
31,-18.562839188314662,-18.589054247874834,-15.633108381196905,-15.659333810099175,5.999999999999999,-12.562839188314662,-9.633108381196905,0.026215059560172893
32,-18.09696879842563,-18.123645607367767,-15.45733173722432,-15.484015447417597,5.999999999999999,-12.096968798425632,-9.457331737224322,0.0266768089421352
33,-9.619176174259973,-9.646212239633611,-15.513415805893652,-15.540455284720405,6.0,-3.619176174259973,-9.513415805893652,0.027036065373637452
34,-16.56466974628753,-16.591952132279737,-15.695461786192872,-15.722744060812346,5.999999999999998,-10.564669746287533,-9.695461786192874,0.027282385992203118
35,-15.81427334962003,-15.841678141914667,-15.884540678092254,-15.911942079294327,6.000000000000001,-9.81427334962003,-9.884540678092254,0.02740479229463677
36,-17.742780080198962,-17.770172407512856,-15.982834715925414,-16.01022089569226,5.999999999999998,-11.742780080198964,-9.982834715925415,0.02739232731389496
37,-17.29924800070484,-17.326482352310638,-15.935483559858122,-15.96270975863534,6.0,-11.29924800070484,-9.935483559858122,0.02723435160580001
38,-16.843407544864384,-16.870328322679388,-15.73698326469339,-15.763894798195619,6.000000000000001,-10.843407544864384,-9.73698326469339,0.026920777815003127
39,-16.24401890698978,-16.270461125118942,-15.423915245498296,-15.45034814581556,6.0,-10.24401890698978,-9.423915245498296,0.026442218129161255
40,-14.106430294760738,-14.13222032435494,-15.055796837404463,-15.081578584612803,5.999999999999999,-8.106430294760738,-9.055796837404465,0.0257900295942024
41,-10.922003708493467,-10.946960096500682,-14.6917563510017,-14.716706612393654,5.999999999999999,-4.922003708493468,-8.6917563510017,0.024956388007214336
42,-14.86301577778335,-14.886949963347211,-14.370634518581781,-14.39456580760547,6.000000000000003,-8.863015777783346,-8.370634518581777,0.023934185563861288
43,-14.28326647628679,-14.305983333808005,-14.100682219654704,-14.123400387268035,6.0,-8.28326647628679,-8.100682219654704,0.02271685752121444
44,-14.336285037741876,-14.357583162793887,-13.86186854504507,-13.88317301809321,6.0,-8.336285037741876,-7.86186854504507,0.02129812505201123
45,-14.108364809821646,-14.128036471531807,-13.6188142429226,-13.638497932932868,5.999999999999998,-8.108364809821648,-7.618814242922602,0.019671661710161104
46,-13.880444581901418,-13.898275273727968,-13.3386174181359,-13.3564662354507,6.0,-7.880444581901418,-7.3386174181359,0.017830691826550282
