frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-12.578907837639246,-12.595387000033435,-12.395917051254264,-12.412381837778703,5.999999999999998,-6.578907837639248,-6.395917051254266,0.016479162394188673
21,-11.587731604942489,-11.605377691411787,-11.742065777644228,-11.759713495260426,5.999999999999999,-5.58773160494249,-5.742065777644229,0.017646086469297995
22,-10.98230748978661,-11.001070060779181,-11.115628858331174,-11.13440248633157,6.0,-4.98230748978661,-5.115628858331174,0.01876257099257117
23,-10.494349309658093,-10.514176519393235,-10.516606293315101,-10.53644881099214,6.000000000000001,-4.494349309658092,-4.5166062933151006,0.01982720973514196
24,-9.956751078485045,-9.977589422032832,-9.944998082595994,-9.965852469242122,5.999999999999997,-3.9567510784850475,-3.9449980825959967,0.020838343547786575
25,-9.35054114283726,-9.372335171751976,-9.403755136030874,-9.425566436082715,6.0,-3.35054114283726,-3.403755136030874,0.02179402891471538
26,-8.862282647532698,-8.884974651742676,-8.888938888923908,-8.911650259817112,6.0,-2.862282647532698,-2.8889388889239083,0.022692004209976968
27,-8.395643259546825,-8.419177407093828,-8.397467173545518,-8.421019580356782,6.0,-2.3956432595468247,-2.397467173545518,0.023534147547003226
28,-7.98705977448901,-8.011373249456943,-7.925798432162425,-7.9501290030005185,6.0,-1.9870597744890102,-1.9257984321624253,0.02431347496793279
29,-7.6790291505148565,-7.7040538698596315,-7.470720718027444,-7.49576092806358,6.0,-1.6790291505148565,-1.4707207180274438,0.02502471934477457
30,-6.9527108356991505,-6.978372089170113,-7.031122296219134,-7.056796840219498,6.0,-0.9527108356991505,-1.0311222962191344,0.025661253470963263
31,-6.516099627785699,-6.542314687345872,-6.607008416048519,-6.633233844950792,5.933826389408644,-0.5822732383770548,-0.6731820266398749,0.026215059560172893
32,-6.185681388259209,-6.212358197201345,-6.199106206630619,-6.225789916823897,5.796935324524048,-0.3887460637351614,-0.4021708821065708,0.0266768089421352
33,-5.80783839988887,-5.834874465262507,-5.8079270273819255,-5.834966506208679,5.596068549016695,-0.21176985087217481,-0.21185847836523042,0.027036065373637452
34,-5.387647121553249,-5.414929507545452,-5.432895143106342,-5.4601774177258156,5.34875648115472,-0.0388906403985283,-0.08413866195162178,0.027282385992203118
35,-5.0713395099899685,-5.098744302284605,-5.072298090457813,-5.099699491659887,5.066047949137273,-0.005291560852695554,-0.006250141320539804,0.02740479229463677
36,-4.659549924777392,-4.686942252091287,-4.723733739682098,-4.751119919448941,4.751119919448942,0.09156999467155025,0.027386179766843988,0.02739232731389496
37,-4.562783175691268,-4.590017527297068,-4.3850207084238555,-4.412246907201073,4.412246907201073,-0.1505362684901952,0.027226198777217547,0.02723435160580001
38,-4.066759085602175,-4.0936798634171785,-4.055122558558671,-4.082034092060898,4.082034092060898,0.015275006458722373,0.026911533502226526,0.026920777815003127
39,-3.884405333033271,-3.910847551162432,-3.734610526947927,-3.7610434272651894,3.761043427265189,-0.12336190576808193,0.026432900317261865,0.026442218129161255
40,-3.174248394590968,-3.2000384241851703,-3.425474668435843,-3.4512564156441834,3.4512564156441834,0.27700802105321554,0.025781747208340366,0.0257900295942024
41,-3.1955038908295683,-3.2204602788367827,-3.13031505980553,-3.155265321197483,3.1552653211974833,-0.04023856963208505,0.024950261391953443,0.024956388007214336
42,-2.8553156222731264,-2.8792498078369877,-2.8512455962688503,-2.875176885292542,2.8751768852925417,0.019861263019415265,0.02393128902369135,0.023934185563861288
43,-2.526131204530509,-2.5488480620517233,-2.5889692615700866,-2.6116874291834185,2.6116874291834193,0.08555622465291046,0.022718167613332785,0.02271685752121444
