frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-2.433199749775615,-2.4496789121698037,-2.3875376818868115,-2.404002468411274,2.404002468411273,-0.029197281364341965,0.016464786524461594,0.016479162394188673
21,-2.429304360829454,-2.446950447298752,-2.43951965093847,-2.457167368554689,2.4571673685546886,0.027863007725234645,0.01764771761621864,0.017646086469297995
22,-2.4256681408075136,-2.4444307118000848,-2.484828791076584,-2.503602419077,2.503602419076999,0.07793427826948562,0.018773628000415155,0.01876257099257117
23,-2.5228658023534702,-2.542693012088612,-2.5234651023011536,-2.543307619978208,2.543307619978208,0.020441817624737624,0.01984251767705425,0.01982720973514196
24,-2.519558514188156,-2.5403968577359426,-2.5554285846121756,-2.5762829712583084,2.5762829712583075,0.0567244570701515,0.02085438664613193,0.020838343547786575
25,-2.516796854402443,-2.538590883317158,-2.5854967651238896,-2.607308065175732,2.607308065175733,0.09051121077329016,0.021811300051843396,0.02179402891471538
26,-2.5687971981163673,-2.5914892023263443,-2.606985219861843,-2.6296965907550485,2.6296965907550485,0.06089939263868116,0.02271137089320563,0.022692004209976968
27,-2.614003621608305,-2.6375377691553084,-2.614730391007515,-2.6382827978187793,2.6382827978187793,0.02427917621047415,0.023552406811264248,0.023534147547003226
28,-2.6261220157074967,-2.6504354906754295,-2.6032338195698657,-2.6275643904079575,2.627564390407957,0.0014423747004603804,0.024330570838091425,0.02431347496793279
29,-2.710186252019043,-2.7352109713638177,-2.568531527254236,-2.5935717372903726,2.593571737290374,-0.11661451472866924,0.02504021003613799,0.02502471934477457
30,-2.6807300622197117,-2.706391315690675,-2.5117191893890194,-2.5373937333893832,2.5373937333893837,-0.14333632883032799,0.025674544000364286,0.025661253470963263
31,-2.559222756275356,-2.5854378158355287,-2.4378782576716986,-2.4641036865739716,2.464103686573971,-0.09511906970138462,0.02622542890227253,0.026215059560172893
32,-2.2882266223846655,-2.3149034313268007,-2.3554395220928335,-2.3821232322861112,2.382123232286111,0.09389660990144533,0.02668371019327731,0.0266768089421352
33,-2.0781260640710673,-2.1051621294447047,-2.274007246173866,-2.301046725000621,2.301046725000621,0.22292066092955354,0.027039478826754948,0.027036065373637452
34,-2.06886310253744,-2.0961454885296433,-2.2017155302981894,-2.2289978049176633,2.2289978049176624,0.1601347023802222,0.027282274619472968,0.027282385992203118
35,-2.0594343020149197,-2.0868390943095565,-2.143671121002608,-2.171072522204683,2.1710725222046836,0.11163822018976388,0.027401401202075792,0.02740479229463677
36,-2.1010822905525286,-2.1284746178664236,-2.1015189767725198,-2.128905156539364,2.128905156539364,0.027822865986835588,0.027386179766844432,0.02739232731389496
37,-2.1413873843816735,-2.1686217359874735,-2.0744816865386646,-2.1017078853158826,2.1017078853158826,-0.039679499065790935,0.02722619877721799,0.02723435160580001
38,-2.1597385857141083,-2.1866593635291114,-2.061257612623823,-2.088169146126051,2.0881691461260514,-0.07156943958805684,0.026911533502228302,0.026920777815003127
39,-2.228471522495468,-2.2549137406246293,-2.061721228548431,-2.0881541288656935,2.0881541288656935,-0.14031739362977458,0.02643290031726231,0.026442218129161255
40,-2.105316135047038,-2.1311061646412406,-2.077521968368811,-2.103303715577152,2.103303715577152,-0.002012419469886062,0.025781747208341255,0.0257900295942024
41,-1.9854082684315162,-2.0103646564387305,-2.11104696639956,-2.1359972277915142,2.135997227791514,0.1505889593599976,0.024950261391953887,0.024956388007214336
42,-2.028999444084055,-2.0529336296479164,-2.1630062856913748,-2.1869375747150674,2.1869375747150674,0.15793813063101236,0.02393128902369268,0.023934185563861288
43,-1.9935247298993788,-2.016241587420593,-2.229618758690095,-2.2523369263034274,2.2523369263034274,0.2588121964040486,0.02271816761333234,0.02271685752121444
44,-2.2333857155535752,-2.2546838406055865,-2.300719625277179,-2.32202409832532,2.3220240983253198,0.08863838277174452,0.02130447304814087,0.02129812505201123
45,-2.341729473847645,-2.361401135557806,-2.3599309572967484,-2.3796146473070205,2.37961464730702,0.03788517345937503,0.019683690010271704,0.019671661710161104
46,-2.4349836858813476,-2.452814377707898,-2.387327043137505,-2.405175860452305,2.4051758604523044,-0.029807825429043255,0.01784881731479926,0.017830691826550282
47,-2.547362865143774,-2.5631303947599666,-2.3640687040516397,-2.379860626945571,2.379860626945571,-0.1675022381982032,0.015791922893931165,0.015767529616192544
48,-2.5498419542545063,-2.5633150456407447,-2.277649980167452,-2.291153646247688,2.291153646247688,-0.2586883080068185,0.013503666080235899,0.013473091386238423
49,-2.4306085431852487,-2.4415449353638885,-2.1260378299667013,-2.1370106363145442,2.1370106363145434,-0.2935979068707053,0.010972806347842035,0.010936392178639842
50,-2.049747472803821,-2.057891521708733,-1.919258543022593,-1.9274442616820198,1.9274442616820195,-0.12230321112180143,0.008185718659426522,0.008144048904911827
51,-1.6789604565516545,-1.6840402674253585,-1.6778020628194281,-1.682927998282169,1.6829279982821685,0.003967541730514057,0.0051259354627404274,0.005079810873704016
52,-1.2116631102352289,-1.2133872479517118,-1.4282693058311526,-1.4300430401069393,1.4300430401069393,0.2183799298717104,0.0017737342757866426,0.001724137716482943
53,-0.920211489048545,-0.9182653314141304,-1.197578896156871,-1.1956846840302837,1.1956846840302842,0.27547319498173917,-0.0018942121265868028,-0.0019461576344146359
54,-0.79440789702327,-0.7884497097656693,-1.0074519795964894,-1.0015468709597648,1.0015468709597648,0.20713897393649483,-0.005905108636724554,-0.005958187257600667
55,-0.7428835061624386,-0.732540330237915,-0.8706843240600114,-0.8603941011988856,0.8603941011988856,0.11751059503644701,-0.010290222861125797,-0.010343175924523607
56,-0.8427940844775258,-0.8276575335790376,-0.7900143599295331,-0.7749293849251782,0.7749293849251785,-0.06786469955234731,-0.015084975004354573,-0.015136550898488199
57,-0.8426110342587048,-0.8222331036542523,-0.7595034423001861,-0.7391745130837232,0.7391745130837231,-0.1034365211749817,-0.02032892921646301,-0.020377930604452477
58,-0.8425369844002378,-0.8164259714201442,-0.7676040316142732,-0.7415383446808659,0.741538344680866,-0.10099863971937184,-0.02606568693340716,-0.026111012980093662
59,-0.842214114089997,-0.8098307459993561,-0.8007461194004923,-0.7684034329621389,0.768403432962139,-0.07381068112785805,-0.03234268643835336,-0.03238336809064091
60,-0.8415956669253536,-0.8023495239743946,-0.8463781955413119,-0.8071672793602369,0.807167279360237,-0.03442838756511657,-0.03921091618107486,-0.03924614295095896
61,-0.8410469511156503,-0.7942932616535515,-0.8948300198186468,-0.8481054676617205,0.8481054676617205,0.007058516546070148,-0.04672455215692639,-0.04675368946209879
62,-0.9417437015340832,-0.8867805730917678,-0.9398937047797036,-0.8849531730309713,0.8849531730309714,-0.056790528503111726,-0.054940531748732147,-0.05496312844231532
63,-1.0435811582019934,-0.9796472941017695,-0.9784321062220593,-0.9145140284212347,0.9145140284212349,-0.12906712978075852,-0.06391807780082448,-0.06393386410022384
64,-1.0459694664342936,-0.9722424025749186,-1.00950223680393,-0.9357840495454652,0.9357840495454655,-0.1101854168888281,-0.07371818725846446,-0.073727063859375
65,-1.0488365397517796,-0.9644314215272816,-1.0334340812525031,-0.9490309825354392,0.9490309825354388,-0.09980555721634077,-0.0844030987170643,-0.08440511822449803
66,-1.051034210060631,-0.9550031156254983,-1.0511284765267788,-0.9550927244687402,0.9550927244687405,-0.09594148559189042,-0.09603575205803827,-0.09603109443513258
67,-1.0512413947735153,-0.9425731986919796,-1.0636478958604518,-0.9549686440184562,0.9549686440184559,-0.09627275075505937,-0.1086792518419959,-0.10866819608153566
68,-1.0483361937548727,-0.9259569549344782,-1.072048017911254,-0.9496516729003598,0.9496516729003598,-0.09868452085451296,-0.12239634501089414,-0.12237923882039459
69,-1.0416817153676678,-0.904455565408492,-1.077352830745052,-0.9401039091342229,0.9401039091342229,-0.10157780623344492,-0.13724892161082902,-0.1372261499591758
70,-1.0823857464352973,-0.9291162492861316,-1.0805847248400373,-0.9272871815256937,0.9272871815256938,-0.1550985649096035,-0.15329754331434353,-0.1532694971491657
71,-1.1366493937011724,-0.9660813447989636,-1.082786040394209,-0.9121850407003331,0.9121850407003332,-0.2244643530008391,-0.17060099969387565,-0.17056804890220878
72,-1.1031018962633916,-0.9139235289856162,-1.0849890490893417,-0.8957731588295622,0.8957731588295622,-0.2073287374338294,-0.18921589025977947,-0.18917836727777537
73,-1.0877224272274746,-0.8785679962217747,-1.0881103423576195,-0.8789141074108573,0.8789141074108573,-0.2088083198166173,-0.2091962349467622,-0.20915443100569986
74,-1.0739982856176098,-0.8434510000008546,-1.0927747542518174,-0.8621816350555256,0.8621816350555256,-0.2118166505620842,-0.23059311919629177,-0.2305472856167552
75,-1.0624487627904027,-0.8090440468706768,-1.0991142977183306,-0.8456599153498296,0.8456599153498296,-0.21678884744057303,-0.25345438236850093,-0.2534047159197259
76,-1.0359837567431904,-0.7582128213184458,-1.1066227160081037,-0.8287983661806511,0.8287983661806514,-0.20718539056253904,-0.2778243498274523,-0.2777709354247446
77,-1.1523105229107455,-0.848624235840808,-1.114152442172856,-0.81040886875211,0.81040886875211,-0.3419016541586355,-0.30374357342074587,-0.3036862870699375
78,-1.148981763962641,-0.8177948141293083,-1.120104121287726,-0.7888556278590902,0.7888556278590901,-0.3601261361035508,-0.33124849342863594,-0.33118694983333263
79,-1.1442381454026649,-0.7839334989521565,-1.122787719964884,-0.7624167923579659,0.7624167923579663,-0.38182135304469855,-0.3603709276069176,-0.3603046464505084
80,-1.1357598948085472,-0.744693546369877,-1.120858642274511,-0.7297212400047415,0.7297212400047415,-0.40603865480380574,-0.39113740226976956,-0.3910663484386703
81,-1.1221858385305419,-0.698691862664667,-1.1136894787483347,-0.6901209070004103,0.6901209070004104,-0.4320649315301315,-0.4235685717479243,-0.4234939758658749
82,-1.1036558495183857,-0.6460517588054149,-1.1015509015259832,-0.6438717136221814,0.6438717136221814,-0.45978413589620426,-0.4576791879038018,-0.4576040907129708
83,-1.0818096815377178,-0.5884020973668258,-1.0855399018326661,-0.5920608189470646,0.5920608189470647,-0.4897488625906531,-0.4934790828856014,-0.49340758417089203
84,-1.0592063369112938,-0.5282969771901078,-1.0672820232228557,-0.5363068625694178,0.5363068625694178,-0.522899474341876,-0.5309751606534379,-0.530909359721186
85,-1.0383978881812919,-0.46828987288234547,-1.0485093849591456,-0.4783360069183711,0.47833600691837114,-0.5600618812629208,-0.5701733780407745,-0.5701080152989464
86,-1.0210633131224476,-0.41006778393782395,-1.0306493708056603,-0.41957084148664736,0.4195708414866473,-0.6014924716358003,-0.6110785293190131,-0.6109955291846236
87,-1.0075704140449402,-0.3540134585661383,-1.0145415550626504,-0.3608523096693751,0.3608523096693751,-0.6467181043755651,-0.6536892453932753,-0.6535569554788019
88,-0.9970990808254118,-0.2993289447667019,-1.0003461407721856,-0.30235916820857145,0.3023591682085714,-0.6947399126168403,-0.6979869725636143,-0.6977701360587099
89,-0.9881668409702828,-0.2445614041863835,-0.9876417092529656,-0.2437205771399908,0.24372057713999085,-0.744446263830292,-0.7439211321129747,-0.7436054367838993
90,-0.9792302883375248,-0.18820477193331442,-0.9756575283662345,-0.18426030846609137,0.18426030846609137,-0.7949699798714334,-0.7913972199001431,-0.7910255164042104
91,-0.9690859871725361,-0.1291008500512778,-0.9635597091937125,-0.1232816287896693,0.12328162878966928,-0.8458043583828668,-0.8402780804040432,-0.8399851371212583
92,-0.9570005205256094,-0.06656949446605265,-0.9507120412267926,-0.06030404276826233,0.06030404276826232,-0.8966964777573471,-0.8904079984585304,-0.8904310260595567
93,-0.9426945230197032,-0.00039272601475714985,-0.9368532853047323,0.004809253632386292,-0.004809253632386292,-0.9475037766520895,-0.9416625389371186,-0.9423017970049461
94,-0.9263476807805675,0.0691802608701082,-0.9221618687467771,0.07185310625846375,-0.07185310625846376,-0.9982007870390313,-0.9940149750052408,-0.9955279416506757
95,-0.9086728790482522,0.14135902018488256,-0.9072073391031175,0.14038965790361513,-0.1403896579036151,-1.0490625369518674,-1.0475969970067325,-1.0500318992331348
96,-0.890951542410102,0.2147766704033427,-0.8928109038856757,0.20991284186366094,-0.2099128418636609,-1.1008643842737629,-1.1027237457493366,-1.1057282128134447
97,-0.8748711357551132,0.287652643783446,-0.8798532463470676,0.2800037218574986,-0.28000372185749856,-1.1548748576126118,-1.1598569682045663,-1.1625237795385592
98,-0.8621106545449142,0.3582075464240906,-0.8690755479492859,0.35042170860113697,-0.350421708601137,-1.2125323631460512,-1.219497256550423,-1.2203182009690048
