frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-6.921880961933137,-6.9383601243273265,-6.851651717447328,-6.868116503971787,5.999999999999999,-0.9218809619331383,-0.8516517174473286,0.016479162394188673
21,-6.581586134115789,-6.599232220585087,-6.678748235912738,-6.6963959535289534,6.0,-0.5815861341157893,-0.6787482359127379,0.017646086469297995
22,-6.50385135849576,-6.522613929488331,-6.522608448288623,-6.541382076289038,5.999999999999999,-0.5038513584957611,-0.522608448288624,0.01876257099257117
23,-6.4010191439878685,-6.420846353723011,-6.383232354574986,-6.403074872252039,6.0,-0.40101914398786853,-0.38323235457498583,0.01982720973514196
24,-6.301293123040182,-6.322131466587969,-6.260619954771817,-6.281474341417948,6.000000000000002,-0.3012931230401801,-0.26061995477181554,0.020838343547786575
25,-6.105693997689732,-6.127488026604448,-6.157634783623022,-6.179446083674864,6.000000000000001,-0.10569399768973131,-0.1576347836230214,0.02179402891471538
26,-6.007286957539128,-6.029978961749105,-6.071091824227618,-6.093803195120822,5.988701641031435,-0.018585316507692795,-0.08239018319618285,0.022692004209976968
27,-6.005907319469545,-6.029441467016548,-5.997764724287212,-6.021317131098476,5.965547315143292,-0.04036000432625286,-0.032217409143919795,0.023534147547003226
28,-5.907903425161443,-5.932216900129376,-5.932880015231223,-5.957210586069316,5.931794513826788,0.023891088665345173,-0.0010855014044350852,0.02431347496793279
29,-5.905096504454234,-5.930121223799009,-5.870688239326589,-5.895728449362727,5.886517769868873,-0.01857873458536119,0.015829530542283976,0.02502471934477457
30,-5.816726678887596,-5.842387932358559,-5.806396749237104,-5.832071293237467,5.829817107184007,0.013090428296410828,0.023420357946903003,0.025661253470963263
31,-5.797202080961439,-5.823417140521611,-5.736634450268419,-5.762859879170691,5.762859879170691,-0.034342201790748206,0.026225428902272085,0.026215059560172893
32,-5.7772434793237695,-5.803920288265905,-5.660478688845852,-5.68716239903913,5.687162399039129,-0.09008108028464079,0.026683710193276866,0.0266768089421352
33,-5.567944647464749,-5.594980712838387,-5.579771770859457,-5.606811249686212,5.60681124968621,0.038866602221460766,0.027039478826752728,0.027036065373637452
34,-5.481546699705227,-5.50882908569743,-5.498690653817152,-5.525972928436627,5.525972928436627,0.044426228731399675,0.0272822746194743,0.027282385992203118
35,-5.375699166400338,-5.403103958694975,-5.422868063325021,-5.450269464527096,5.450269464527095,0.07457029812675664,0.027401401202073572,0.02740479229463677
36,-5.366208431762473,-5.393600759076368,-5.358065363428645,-5.385451543195488,5.38545154319549,0.019243111433016935,0.027386179766844876,0.02739232731389496
37,-5.232557540710978,-5.259791892316779,-5.308852760880361,-5.336078959657579,5.33607895965758,0.1035214189466016,0.027226198777218436,0.02723435160580001
38,-5.252757930532295,-5.279678708347298,-5.2776405213379505,-5.304552054840179,5.304552054840178,0.051794124307883216,0.026911533502227414,0.026920777815003127
39,-5.247168228811157,-5.273610446940318,-5.264283689985349,-5.290716590302612,5.290716590302611,0.043548361491454024,0.02643290031726231,0.026442218129161255
40,-5.206135003422194,-5.231925033016396,-5.266339396150071,-5.292121143358412,5.292121143358413,0.08598613993621917,0.0257817472083417,0.0257900295942024
41,-5.341903017874405,-5.36685940588162,-5.279825194154451,-5.304775455546406,5.304775455546405,-0.037127562328000074,0.024950261391953887,0.024956388007214336
42,-5.345264308469473,-5.369198494033334,-5.300203548722673,-5.324134837746367,5.324134837746368,-0.021129470723105115,0.0239312890236949,0.023934185563861288
43,-5.350019479342269,-5.372736336863483,-5.3232887808528835,-5.346006948466217,5.346006948466217,-0.004012530876051912,0.02271816761333323,0.02271685752121444
44,-5.354951806958719,-5.37624993201073,-5.345845077651836,-5.3671495506999785,5.367149550699977,0.012197743741257483,0.02130447304814087,0.02129812505201123
45,-5.359244984773614,-5.378916646483775,-5.365788868209003,-5.385472558219275,5.385472558219274,0.02622757344566029,0.019683690010271704,0.019671661710161104
46,-5.362647107914084,-5.380477799740634,-5.38205290043685,-5.39990171775165,5.399901717751649,0.037254609837565233,0.017848817314798815,0.017830691826550282
47,-5.3653257441582385,-5.381093273774431,-5.394262762091759,-5.41005468498569,5.41005468498569,0.0447289408274516,0.015791922893931165,0.015767529616192544
48,-5.383017625912336,-5.396490717298574,-5.40239362466413,-5.415897290744366,5.415897290744367,0.03287966483203153,0.013503666080237231,0.013473091386238423
49,-5.46580960825518,-5.4767460004338195,-5.406525770376813,-5.417498576724656,5.417498576724656,-0.04831103153052396,0.010972806347842479,0.010936392178639842
50,-5.462424371645092,-5.470568420550004,-5.406739421506682,-5.414925140166107,5.4149251401661065,-0.04749923147898549,0.008185718659424523,0.008144048904911827
51,-5.371135217587562,-5.3762150284612655,-5.403122383186663,-5.408248318649402,5.408248318649402,0.0371131010618404,0.005125935462739761,0.005079810873704016
52,-5.370630311341788,-5.372354449058271,-5.3958332680667285,-5.3976070023425144,5.3976070023425144,0.026976691000726305,0.0017737342757859764,0.001724137716482943
53,-5.369372820530381,-5.367426662895966,-5.385169914105239,-5.3832757019786515,5.383275701978653,0.013902881448272453,-0.0018942121265856926,-0.0019461576344146359
54,-5.367856669454666,-5.3618984821970646,-5.371617870375417,-5.365712761738692,5.365712761738692,-0.002143907715973725,-0.005905108636724776,-0.005958187257600667
