frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-6.072644990459584,-6.089124152853772,-6.067191154091877,-6.083655940616324,6.165566324008733,0.09292133354914878,0.09837516991685558,0.016479162394188673
21,-5.624301637284339,-5.641947723753637,-5.635967449116473,-5.65361516673268,5.690897650388269,0.06659601310393004,0.054930201271796264,0.017646086469297995
22,-5.277795412410742,-5.296557983403313,-5.240787213343635,-5.259560841344045,5.2724824991589285,-0.005312913251813711,0.03169528581529324,0.01876257099257117
23,-4.844236273587347,-4.864063483322489,-4.8816504467733655,-4.901492964450416,4.903832389839174,0.059596116251826814,0.02218194306580834,0.01982720973514196
24,-4.549735476557718,-4.570573820105505,-4.558557149405656,-4.579411536051786,4.579411536051786,0.029676059494068596,0.020854386646130152,0.020838343547786575
25,-4.2410328122120005,-4.262826841126715,-4.272655014889059,-4.2944663149409,4.2944663149409,0.05343350272889946,0.021811300051840732,0.02179402891471538
26,-3.99775396145572,-4.020445965665697,-4.02256530145895,-4.045276672352156,4.045276672352154,0.047522710896434006,0.02271137089320341,0.022692004209976968
27,-3.8343723545901325,-3.8579065021371357,-3.8070982893914644,-3.8306506962027305,3.8306506962027314,-0.0037216583874011278,0.023552406811266913,0.023534147547003226
28,-3.634475979966502,-3.6587894549344346,-3.624660299204919,-3.6489908700430123,3.648990870043012,0.014514890076509968,0.024330570838092758,0.02431347496793279
29,-3.5310943466156113,-3.556119065960386,-3.4734079696281577,-3.498448179664295,3.4984481796642957,-0.032646166951315614,0.02504021003613799,0.02502471934477457
30,-3.3251982588295355,-3.3508595123004987,-3.351799015165218,-3.3774735591655825,3.3774735591655825,0.05227530033604699,0.025674544000364286,0.025661253470963263
31,-3.217894517974151,-3.244109577534324,-3.258221028903245,-3.284446457805518,3.284446457805519,0.06655193983136787,0.026225428902273862,0.026215059560172893
32,-3.2097094296249127,-3.236386238567048,-3.190898710223153,-3.2175824204164307,3.2175824204164307,0.007872990791518042,0.026683710193277754,0.0266768089421352
33,-3.100183583954996,-3.1272196493286333,-3.147668042954585,-3.1747075217813396,3.1747075217813396,0.07452393782634381,0.027039478826754504,0.027036065373637452
34,-3.0909206224213683,-3.1182030084135715,-3.1257969574641207,-3.153079232083595,3.153079232083595,0.06215860966222664,0.0272822746194743,0.027282385992203118
35,-3.16764963362131,-3.195054425915947,-3.1220790040909465,-3.149480405293022,3.1494804052930228,-0.018169228328287268,0.027401401202076237,0.02740479229463677
36,-3.1725757999046618,-3.1999681272185567,-3.1330578709490338,-3.160444050715878,3.160444050715878,-0.01213174918878357,0.027386179766844432,0.02739232731389496
37,-3.163444904265603,-3.190679255871403,-3.155368707609389,-3.1825949063866075,3.182594906386607,0.01915000212100404,0.02722619877721799,0.02723435160580001
38,-3.155544031456854,-3.182464809271857,-3.186067639342572,-3.2129791728448005,3.2129791728448014,0.057435141387947475,0.02691153350222919,0.026920777815003127
39,-3.270643984908129,-3.2970862030372903,-3.2228295727557055,-3.2492624730729682,3.249262473072969,-0.021381511835159905,0.02643290031726364,0.026442218129161255
40,-3.248063310103377,-3.2738533396975793,-3.2639858937999424,-3.2897676410082832,3.289767641008283,0.041704330904905884,0.025781747208340366,0.0257900295942024
41,-3.287312425833518,-3.312268813840732,-3.308415371550617,-3.333365632942571,3.333365632942571,0.04605320710905314,0.024950261391953887,0.024956388007214336
42,-3.3527811018990166,-3.376715287462878,-3.3553571487408322,-3.379288437764525,3.3792884377645254,0.026507335865508797,0.023931289023693125,0.023934185563861288
43,-3.4250768754407295,-3.447793732961944,-3.404223427992787,-3.4269415956061193,3.426941595606119,0.0018647201653894108,0.022718167613331897,0.02271685752121444
44,-3.4630433130319407,-3.484341438083952,-3.4544611750835066,-3.475765648131649,3.475765648131649,0.012722335099708104,0.021304473048142203,0.02129812505201123
45,-3.4947068739695775,-3.5143785356797386,-3.5054780944696557,-3.525161784479929,3.525161784479929,0.03045491051035132,0.019683690010273036,0.019671661710161104
46,-3.571313326630985,-3.589144018457535,-3.556619927187523,-3.5744687445023224,3.5744687445023224,0.0031554178713375514,0.01784881731479926,0.017830691826550282
47,-3.581522504759506,-3.5972900343756984,-3.6071814207227924,-3.6229733436167235,3.622973343616724,0.04145083885721812,0.01579192289393161,0.015767529616192544
48,-3.6910180503637786,-3.704491141750017,-3.6564456058190293,-3.6699492718992657,3.669949271899266,-0.021068778464512494,0.013503666080236787,0.013473091386238423
49,-3.6585168643046564,-3.6694532564832962,-3.703757065121662,-3.7147298714695047,3.7147298714695034,0.056213007164847006,0.01097280634784159,0.010936392178639842
50,-3.775939049067518,-3.78408309797243,-3.748631090676941,-3.7568168093363674,3.756816809336368,-0.019122239731150348,0.008185718659426744,0.008144048904911827
51,-3.7809508615918164,-3.7860306724655204,-3.7908790779847754,-3.7960050134475165,3.7960050134475165,0.015054151855700137,0.005125935462741094,0.005079810873704016
52,-3.8695693439039323,-3.871293481620415,-3.830702862103936,-3.8324765963797223,3.832476596379722,-0.037092747524210434,0.0017737342757859764,0.001724137716482943
53,-3.879763177178316,-3.8778170195439015,-3.8686970670124254,-3.8668028548858375,3.866802854885839,-0.012960322292477233,-0.0018942121265865808,-0.0019461576344146359
54,-3.858132083573866,-3.8521738963162653,-3.9057160467700682,-3.8998109381333435,3.899810938133344,0.04167885455947795,-0.005905108636724332,-0.005958187257600667
55,-3.97758470420729,-3.9672415282827664,-3.9426113525331954,-3.9323211296720695,3.9323211296720695,-0.04526357453522056,-0.010290222861125908,-0.010343175924523607
56,-3.9769205698786996,-3.9617840189802114,-3.979907509524682,-3.9648225345203265,3.9648225345203274,-0.012098035358372172,-0.015084975004354462,-0.015136550898488199
57,-3.976737519659878,-3.9563595890554257,-4.0175275117258815,-3.9971985825094185,3.997198582509418,0.020461062849539857,-0.020328929216463454,-0.020377930604452477
58,-3.9948707708036424,-3.9687597578235487,-4.054679557702199,-4.028613870768792,4.028613870768792,0.03374309996514979,-0.02606568693340705,-0.026111012980093662
59,-4.10874950431829,-4.076366136227649,-4.089967167885066,-4.057624481446712,4.057624481446713,-0.0511250228715765,-0.03234268643835314,-0.03238336809064091
60,-4.17687157761388,-4.137625434662921,-4.121702809218103,-4.082491893037028,4.082491893037029,-0.09437968457685031,-0.03921091618107386,-0.03924614295095896
61,-4.176322861804176,-4.1295691723420775,-4.148324906918775,-4.101600354761848,4.101600354761848,-0.07472250704232852,-0.0467245521569275,-0.04675368946209879
62,-4.176444899578929,-4.121481771136613,-4.168776314866438,-4.113835783117706,4.113835783117706,-0.06260911646122302,-0.05494053174873237,-0.05496312844231532
63,-4.177707643603162,-4.113773779502938,-4.182718516169167,-4.118800438368343,4.118800438368343,-0.05890720523481896,-0.06391807780082459,-0.06393386410022384
64,-4.180095951835461,-4.106368887976085,-4.190522739970454,-4.11680455271199,4.116804552711991,-0.06329139912346982,-0.07371818725846335,-0.073727063859375
65,-4.182963025152947,-4.098557906928449,-4.193066413608056,-4.1086633148909915,4.10866331489099,-0.07429971026195759,-0.08440309871706653,-0.08440511822449803
66,-4.185160695461799,-4.0891296010266664,-4.191433120873365,-4.095397368815326,4.095397368815329,-0.08976332664647035,-0.09603575205803594,-0.09603109443513258
67,-4.185367880174683,-4.076699684093147,-4.186638329473739,-4.0779590776317445,4.077959077631745,-0.10740880254293739,-0.1086792518419939,-0.10866819608153566
68,-4.182462679156041,-4.060083440335646,-4.179474479283728,-4.057078134272836,4.057078134272836,-0.12538454488320472,-0.12239634501089203,-0.12237923882039459
69,-4.175808200768835,-4.0385820508096595,-4.170504609993787,-4.033255688382959,4.033255688382959,-0.14255251238587618,-0.13724892161082813,-0.1372261499591758
