frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-31.542018228359606,-32.327904429205475,-31.483725206765484,-32.26959606038525,5.999999999999999,-25.542018228359606,-25.483725206765484,0.785886200845868
21,-30.338323312340727,-31.124190560949007,-30.64649925277749,-31.43236885563741,6.0,-24.338323312340727,-24.64649925277749,0.7858672486082812
22,-30.096544348391927,-30.88238680502836,-29.851280493276022,-30.637135264317337,6.0,-24.096544348391927,-23.851280493276022,0.7858424566364333
23,-29.38545105481088,-30.171261473512338,-29.098068928261075,-29.883895286425023,5.999999999999999,-23.38545105481088,-23.098068928261075,0.7858104187014585
24,-28.125204809309192,-28.910974284963324,-28.38686455773261,-29.17264892196043,5.999999999999998,-22.125204809309196,-22.386864557732615,0.7857694756541327
25,-27.616362796368648,-28.402080480347315,-27.724623279237363,-28.510353544805014,6.000000000000001,-21.616362796368648,-21.724623279237363,0.7857176839786661
26,-27.162510647896426,-27.948163429945534,-27.10341421297835,-27.88907682059588,6.0,-21.162510647896426,-21.10341421297835,0.7856527820491079
27,-26.31304264081611,-27.098614794853653,-26.51543721017802,-27.30101703190624,6.0,-20.31304264081611,-20.51543721017802,0.7855721540375402
28,-25.934473116637992,-26.719945908066702,-25.949492760222782,-26.734972084498352,6.0,-19.934473116637992,-19.949492760222782,0.785472791428711
29,-25.575688701017302,-26.361039953118755,-25.392510460676345,-26.17786795631295,6.000000000000001,-19.575688701017302,-19.392510460676345,0.7853512521014525
30,-24.676896715193138,-25.46210033213815,-24.834205899354444,-25.619416156219906,6.0,-18.676896715193138,-18.834205899354444,0.7852036169450121
31,-24.743017606972643,-25.52804305095946,-24.267728302532284,-25.052761165047073,5.999999999999999,-18.743017606972643,-18.267728302532284,0.785025443986819
32,-23.760510646159325,-24.54532236617791,-23.691410334674146,-24.47623039364658,5.999999999999999,-17.760510646159325,-17.691410334674146,0.784811720018586
33,-23.11413925443828,-23.898696064158063,-23.10865767006742,-23.893223753250304,6.0,-17.11413925443828,-17.10865767006742,0.7845568097197813
34,-22.337443613185318,-23.121698015477133,-22.526248661199432,-23.3105132199208,5.999999999999998,-16.33744361318532,-16.526248661199432,0.7842544022918139
35,-21.74550057225551,-22.52939802788859,-21.952155099376625,-22.736063545677993,6.000000000000001,-15.745500572255509,-15.952155099376625,0.7838974556330802
36,-21.29915085105293,-22.082628989157563,-21.393086006867083,-22.17657594793418,5.999999999999998,-15.29915085105293,-15.393086006867085,0.7834781381046327
37,-21.050976965985377,-21.83396473394444,-20.85279514913713,-21.635795536783263,6.0,-15.050976965985377,-14.85279514913713,0.7829877679590638
38,-20.356765351321116,-21.139182101852793,-20.331595164057802,-21.11402537429405,6.000000000000001,-14.356765351321116,-14.331595164057802,0.7824167505316759
39,-19.72633072578028,-20.50808523910374,-19.827028933559717,-20.608797775518752,6.0,-13.72633072578028,-13.827028933559717,0.7817545133234582
40,-19.272956002215874,-20.053945441356312,-19.33532852852938,-20.116333191381813,5.999999999999999,-13.272956002215874,-13.33532852852938,0.7809894391404364
41,-19.047268712108938,-19.827377509602808,-18.85299286220016,-19.633117798001173,5.999999999999999,-13.047268712108938,-12.85299286220016,0.7801087974938694
42,-18.409475325956173,-19.188574000467366,-18.37790616695777,-19.15702190611949,6.000000000000003,-12.40947532595617,-12.377906166957768,0.7790986745111934
43,-18.013137495645005,-18.791081397303927,-17.909705048341635,-18.687666945536844,6.0,-12.013137495645005,-11.909705048341635,0.7779439016589222
44,-17.207843373287492,-17.98447135692389,-17.44944657536012,-18.226093483045968,6.0,-11.207843373287492,-11.44944657536012,0.7766279836363985
45,-16.97562996755175,-17.75076299341559,-16.998897642615315,-17.774050511384903,5.999999999999998,-10.975629967551752,-10.998897642615317,0.7751330258638407
46,-16.516387388586715,-17.289827050646558,-16.559833605056596,-17.33329401099107,6.0,-10.516387388586715,-10.559833605056596,0.7734396620598432
