frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-23.16205970848487,-23.947945909330738,-23.171402779807448,-23.957273633427132,5.999999999999999,-17.16205970848487,-17.171402779807448,0.785886200845868
21,-22.544078618846928,-23.32994586745521,-22.48658561839816,-23.272455221258014,6.0,-16.544078618846928,-16.48658561839816,0.7858672486082812
22,-21.780426314427913,-22.566268771064347,-21.822880917195896,-22.608735688237154,6.0,-15.780426314427913,-15.822880917195896,0.7858424566364333
23,-21.150272836406707,-21.936083255108166,-21.180288676200654,-21.96611503436456,5.999999999999999,-15.150272836406707,-15.180288676200654,0.7858104187014585
24,-20.605798901609077,-21.39156837726321,-20.558808895412405,-21.34459325964019,5.999999999999998,-14.605798901609079,-14.558808895412406,0.7857694756541327
25,-19.85638182859627,-20.642099512574937,-19.958533378964116,-20.74426364453175,6.000000000000001,-13.85638182859627,-13.958533378964116,0.7857176839786661
26,-19.370111640659932,-20.15576442270904,-19.379238253537224,-20.16490086115475,6.0,-13.370111640659932,-13.379238253537224,0.7856527820491079
27,-18.98953442720585,-19.775106581243392,-18.82083483708714,-19.60641465881536,6.0,-12.98953442720585,-12.82083483708714,0.7855721540375402
28,-18.196129429280518,-18.981602220709227,-18.283390651452635,-19.068869975728198,6.0,-12.196129429280518,-12.283390651452635,0.785472791428711
29,-17.72118589842736,-18.506537150528814,-17.767246294985014,-18.552603790621625,6.000000000000001,-11.721185898427361,-11.767246294985014,0.7853512521014525
30,-17.36419757944371,-18.149401196388723,-17.273113068247795,-18.05832332511326,6.0,-11.364197579443712,-11.273113068247795,0.7852036169450121
31,-16.739451893994836,-17.524477337981654,-16.80190392783088,-17.586936790345675,5.999999999999999,-10.739451893994836,-10.801903927830882,0.785025443986819
32,-16.329605884451208,-17.114417604469793,-16.354463275424955,-17.139283334397387,5.999999999999999,-10.329605884451208,-10.354463275424955,0.784811720018586
33,-15.938562748605136,-16.723119558324917,-15.931151125154926,-16.715717208337807,6.0,-9.938562748605136,-9.931151125154926,0.7845568097197813
34,-15.565199668847324,-16.34945407113914,-15.531396386269062,-16.31566094499043,5.999999999999998,-9.565199668847326,-9.531396386269064,0.7842544022918139
35,-15.129370334343381,-15.913267789976462,-15.153385906720604,-15.937294353021972,6.000000000000001,-9.129370334343381,-9.153385906720604,0.7838974556330802
36,-14.727071483768663,-15.510549621873295,-14.793998564566042,-15.577488505633136,5.999999999999998,-8.727071483768665,-8.793998564566044,0.7834781381046327
37,-14.390500953556929,-15.173488721515993,-14.449069146760962,-15.232069534407092,6.0,-8.390500953556929,-8.449069146760962,0.7829877679590638
38,-14.165844177657545,-14.948260928189221,-14.113953919216744,-14.89638412945299,6.000000000000001,-8.165844177657544,-8.113953919216744,0.7824167505316759
39,-13.861397096906767,-14.643151610230225,-13.784266021899743,-14.566034863858775,6.0,-7.861397096906767,-7.784266021899743,0.7817545133234582
40,-13.50688729469176,-14.287876733832196,-13.456590958681334,-14.23759562153376,5.999999999999999,-7.506887294691761,-7.456590958681335,0.7809894391404364
41,-13.118423774837352,-13.89853257233122,-13.128993567858934,-13.909118503659943,5.999999999999999,-7.1184237748373524,-7.128993567858935,0.7801087974938694
42,-12.875227544601927,-13.65432621911312,-12.801207540554016,-13.580323279715731,6.000000000000003,-6.875227544601924,-6.801207540554013,0.7790986745111934
43,-12.408692290653152,-13.186636192312074,-12.474512777408634,-13.252474674603837,6.0,-6.408692290653152,-6.474512777408634,0.7779439016589222
44,-12.112128955027945,-12.888756938664343,-12.151404464609495,-12.92805137229534,6.0,-6.112128955027945,-6.151404464609495,0.7766279836363985
45,-11.820374444091403,-12.595507469955244,-11.835197037501844,-12.610349906271434,5.999999999999998,-5.820374444091405,-5.835197037501846,0.7751330258638407
46,-11.614801077269073,-12.388240739328916,-11.529669744189537,-12.303130150124012,6.0,-5.614801077269073,-5.529669744189537,0.7734396620598432
47,-11.194633836392207,-11.966160818875013,-11.2387740728462,-12.01032267269837,6.0,-5.194633836392207,-5.2387740728462,0.7715269824828064
48,-11.00192604885,-11.771298512347819,-10.966340927124607,-11.735735842957368,6.0,-5.001926048850001,-4.966340927124607,0.7693724634978194
49,-10.696081912407204,-11.463033811632716,-10.715701014492762,-11.482676149935877,5.999999999999999,-4.696081912407204,-4.715701014492763,0.7669518992255115
50,-10.504832456816152,-11.269071792948331,-10.489185468929438,-11.253448759997863,5.999999999999999,-4.504832456816152,-4.489185468929439,0.7642393361321806
51,-10.182220180964766,-10.943427192495674,-10.287578343908287,-11.04880994827773,5.999999999999999,-4.182220180964767,-4.2875783439082875,0.761207011530908
52,-10.051528008868267,-10.809353305949134,-10.109691592469506,-10.867542022186317,5.999999999999999,-4.051528008868268,-4.109691592469507,0.7578252970808661
53,-9.944147471002763,-10.698210119498532,-9.952263593643712,-10.706351797492477,6.000000000000002,-3.9441474710027613,-3.9522635936437105,0.7540626484957689
54,-9.814572211986963,-10.564457774788245,-9.810314149122986,-10.560225552230992,6.0,-3.814572211986963,-3.810314149122986,0.7498855628012828
55,-9.650769005565452,-10.396027550179078,-9.677941238769204,-10.423225748507033,6.0,-3.6507690055654525,-3.677941238769204,0.7452585446136255
56,-9.800697707834546,-10.540841790879917,-9.549380485271016,-10.28955047412251,6.000000000000002,-3.8006977078345443,-3.549380485271014,0.74014408304537
57,-9.277565239392585,-10.012067880369731,-9.420042928029186,-10.15457120584737,5.999999999999999,-3.277565239392586,-3.4200429280291873,0.7345026409771456
58,-9.31144319493856,-10.039735853500675,-9.287248329748607,-10.015566119689627,6.0,-3.31144319493856,-3.287248329748607,0.7282926585621143
59,-9.246438583342147,-9.96790915629215,-9.150480076919813,-9.87197501134381,6.000000000000002,-3.2464385833421456,-3.150480076919811,0.7214705729500022
60,-8.951616382270156,-9.665607238594522,-9.011157307916413,-9.725171462647776,6.000000000000001,-2.9516163822701555,-3.0111573079164122,0.7139908563243651
61,-8.933250237682882,-9.639056312118235,-8.872074264610848,-9.577902252142064,6.000000000000002,-2.9332502376828806,-2.8720742646108466,0.7058060744353538
62,-8.645163046174089,-9.34203001404844,-8.7367331041902,-9.433620248668094,6.0,-2.6451630461740887,-2.7367331041902005,0.6968669678743509
63,-8.568859859443831,-9.255982417813486,-8.608770594260548,-9.295911213377316,6.0,-2.5688598594438314,-2.608770594260548,0.6871225583696545
64,-8.53476290943862,-9.21128319181489,-8.491575503560144,-9.168111324779876,5.999999999999999,-2.53476290943862,-2.491575503560145,0.6765202823762704
65,-8.48148032713843,-9.146486481318238,-8.388070537824808,-9.053089278463073,5.999999999999999,-2.4814803271384305,-2.3880705378248086,0.665006154179808
66,-8.221716959881002,-8.87424192050687,-8.300550373473678,-8.953084516444259,6.000000000000002,-2.2217169598810003,-2.3005503734736763,0.6525249606258687
67,-8.227999052918495,-8.867019542331981,-8.230463354028164,-8.869489153254747,5.999999999999999,-2.227999052918496,-2.2304633540281644,0.6390204894134861
68,-8.081357842725675,-8.70579363537114,-8.178095687593558,-8.802532438224945,6.000000000000002,-2.081357842725673,-2.178095687593556,0.6244357926454649
69,-8.189718345158973,-8.798431832160773,-8.142220437035027,-8.750930046015599,5.999999999999999,-2.1897183451589735,-2.1422204370350277,0.6087134870018005
70,-8.069028141638624,-8.660824233126064,-8.119854235949987,-8.711641130018581,6.0,-2.069028141638624,-2.119854235949987,0.5917960914874398
71,-8.089140471780157,-8.66276687497697,-8.106279520533242,-8.679890932140243,6.000000000000001,-2.089140471780156,-2.106279520533241,0.5736264031968132
72,-8.089134939959683,-8.643282850890635,-8.095427608857907,-8.649554282947062,5.999999999999999,-2.089134939959684,-2.095427608857908,0.5541479109309515
