frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-0.3329149198382855,-1.1188011206841535,-0.3381892113996008,-1.124060065019327,1.1240600650193269,0.7911451451810414,0.7858708536197261,0.785886200845868
21,-0.3329149198382806,-1.1187821684465618,-0.3637161673069411,-1.149585770166829,1.1495857701668286,0.816670850328548,0.7858696028598875,0.7858672486082812
22,-0.4334896324819535,-1.2193320891183868,-0.38811268229995033,-1.1739674533412399,1.1739674533412399,0.7404778208592864,0.7858547710412895,0.7858424566364333
23,-0.4334896324819485,-1.219300051183407,-0.4113787563786284,-1.1972051145425593,1.197205114542559,0.7637154820606106,0.7858263581639306,0.7858104187014585
24,-0.4334896324819447,-1.2192591081360775,-0.43351438954297516,-1.2192987537707864,1.2192987537707858,0.7858091212888411,0.7857843642278106,0.7857694756541327
25,-0.4334896324819406,-1.2192073164606068,-0.4543282708582452,-1.2400585364258916,1.2400585364258916,0.806568903943951,0.7857302655676464,0.7857176839786661
26,-0.4334896324819345,-1.2191424145310426,-0.47407498317174995,-1.259737590789281,1.2597375907892805,0.826247958307346,0.7856626076175306,0.7856527820491079
27,-0.5340643451256083,-1.3196364991631486,-0.4929836027555535,-1.2785634244837767,1.2785634244837767,0.7444990793581684,0.7855798217282233,0.7855721540375402
28,-0.5340643451256059,-1.3195371365543167,-0.5113177296225967,-1.296797053898164,1.2967970538981637,0.7627327087725578,0.785479324275567,0.785472791428711
29,-0.5340643451256036,-1.319415597227056,-0.5292674488161846,-1.3146249444527975,1.3146249444527978,0.7805605993271941,0.7853574956366132,0.7853512521014525
30,-0.5340643451256023,-1.3192679620706143,-0.5467687712114382,-1.3319790280769017,1.3319790280769017,0.7979146829512994,0.7852102568654635,0.7852036169450121
31,-0.5340643451256014,-1.3190897891124203,-0.5634904573425032,-1.3485233198572977,1.3485233198572977,0.8144589747316963,0.7850328625147944,0.785025443986819
32,-0.5340643451256007,-1.3188760651441869,-0.5788928874774855,-1.3637129464499207,1.3637129464499207,0.82964860132432,0.7848200589724352,0.784811720018586
33,-0.6346390577692783,-1.4191958674890595,-0.5924434656569045,-1.3770095488397882,1.377009548839788,0.7423704910705097,0.7845660831828835,0.7845568097197813
34,-0.6346390577692785,-1.4188934600610925,-0.6039300233662503,-1.3881945820876234,1.3881945820876231,0.7535555243183446,0.7842645587213728,0.7842544022918139
35,-0.6346390577692788,-1.4185365134023589,-0.6137430074308337,-1.3976514537322036,1.3976514537322036,0.7630123959629248,0.7839084463013699,0.7838974556330802
36,-0.6346390577692793,-1.418117195873912,-0.6229976019129229,-1.4064875429800177,1.4064875429800174,0.7718484852107381,0.7834899410670946,0.7834781381046327
37,-0.634639057769279,-1.4176268257283429,-0.6333900008318263,-1.4163903884779574,1.4163903884779576,0.7817513307086786,0.7830003876461313,0.7829877679590638
