frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-33.00027080214936,-33.786157002995225,-32.939243921184136,-33.72511477480375,5.999999999999999,-27.00027080214936,-26.939243921184136,0.785886200845868
21,-32.23395782817728,-33.019825076785565,-32.23173743197874,-33.017607034838555,6.0,-26.23395782817728,-26.231737431978743,0.7858672486082812
22,-31.29843806208537,-32.084280518721805,-31.537306926038834,-32.32316169708008,6.0,-25.29843806208537,-25.537306926038834,0.7858424566364333
23,-30.951677443910636,-31.737487862612095,-30.85595240336442,-31.641778761528336,5.999999999999999,-24.951677443910636,-24.85595240336442,0.7858104187014585
24,-30.371667952856864,-31.157437428510995,-30.18767386395546,-30.973458228183254,5.999999999999998,-24.371667952856868,-24.18767386395546,0.7857694756541327
25,-29.456165911073317,-30.241883595051984,-29.531805134779,-30.317535400346635,6.000000000000001,-23.456165911073317,-23.531805134779,0.7857176839786661
26,-28.640371917137212,-29.42602469918632,-28.889143459049038,-29.674806066666573,6.0,-22.640371917137212,-22.889143459049038,0.7856527820491079
27,-28.492599671065012,-29.278171825102554,-28.260478482514287,-29.04605830424252,6.0,-22.492599671065012,-22.260478482514287,0.7855721540375402
28,-27.834022552402875,-28.619495343831584,-27.64687301055094,-28.43235233482652,6.0,-21.834022552402875,-21.64687301055094,0.785472791428711
29,-26.900188843067298,-27.68554009516875,-27.04940074081472,-27.834758236451343,6.000000000000001,-20.900188843067298,-21.04940074081472,0.7853512521014525
30,-26.29495244622493,-27.08015606316994,-26.46858285329017,-27.25379311015564,6.0,-20.29495244622493,-20.46858285329017,0.7852036169450121
31,-25.93526568882115,-26.72029113280797,-25.904231519868652,-26.689264382383456,5.999999999999999,-19.93526568882115,-19.904231519868652,0.785025443986819
32,-25.35562367931668,-26.140435399335264,-25.35535011642793,-26.140170175400364,5.999999999999999,-19.35562367931668,-19.35535011642793,0.784811720018586
33,-24.86254477708327,-25.64710158680305,-24.820376995635144,-25.604943078818028,6.0,-18.86254477708327,-18.820376995635144,0.7845568097197813
34,-24.367198023253568,-25.151452425545383,-24.297693028829457,-25.081957587550832,5.999999999999998,-18.36719802325357,-18.297693028829457,0.7842544022918139
35,-23.735186603703145,-24.519084059336226,-23.786166338819726,-24.570074785121093,6.000000000000001,-17.735186603703145,-17.786166338819726,0.7838974556330802
36,-23.365497501497305,-24.14897563960194,-23.28553293280568,-24.069022873872775,5.999999999999998,-17.36549750149731,-17.28553293280568,0.7834781381046327
37,-22.850993861697287,-23.63398162965635,-22.796419215291728,-23.57941960293786,6.0,-16.850993861697287,-16.796419215291728,0.7829877679590638
38,-22.123524994910866,-22.905941745442544,-22.31997986572182,-23.102410075958066,6.000000000000001,-16.123524994910866,-16.31997986572182,0.7824167505316759
39,-21.973362410940307,-22.755116924263767,-21.8572988475472,-22.63906768950623,6.0,-15.973362410940307,-15.857298847547199,0.7817545133234582
40,-21.287822008192393,-22.06881144733283,-21.408809210310636,-22.18981387316306,5.999999999999999,-15.287822008192393,-15.408809210310636,0.7809894391404364
41,-20.97831363385929,-21.75842243135316,-20.973976232463883,-21.75410116826489,5.999999999999999,-14.97831363385929,-14.973976232463883,0.7801087974938694
42,-20.67040373903125,-21.449502413542444,-20.55136095829203,-21.330476697453744,6.000000000000003,-14.670403739031247,-14.551360958292026,0.7790986745111934
43,-19.99898749724082,-20.77693139889974,-20.13900418147185,-20.916966078667052,6.0,-13.998987497240819,-14.13900418147185,0.7779439016589222
44,-19.804548448743507,-20.581176432379905,-19.73493089364672,-20.511577801332564,6.0,-13.804548448743507,-13.73493089364672,0.7766279836363985
45,-19.409433030468215,-20.184566056332056,-19.337545797031723,-20.11269866580131,5.999999999999998,-13.409433030468216,-13.337545797031725,0.7751330258638407
46,-18.984232763168734,-19.757672425228577,-18.94577945266717,-19.71923985860165,6.0,-12.984232763168734,-12.945779452667171,0.7734396620598432
47,-18.585040419546143,-19.35656740202895,-18.558998064410325,-19.3305466642625,6.0,-12.585040419546143,-12.558998064410325,0.7715269824828064
48,-17.923543506273433,-18.692915969771253,-18.176818988513396,-18.946213904346155,6.0,-11.923543506273433,-12.176818988513396,0.7693724634978194
49,-17.86425208060862,-18.63120397983413,-17.79900533744141,-18.565980472884526,5.999999999999999,-11.864252080608619,-11.799005337441411,0.7669518992255115
50,-17.461104972430604,-18.225344308562786,-17.42553200313443,-18.189795294202852,5.999999999999999,-11.461104972430604,-11.425532003134428,0.7642393361321806
51,-17.111092963340777,-17.872299974871684,-17.056772413481298,-17.81800401785074,5.999999999999999,-11.111092963340777,-11.056772413481298,0.761207011530908
52,-16.771530464831955,-17.52935576191282,-16.693635246137738,-17.45148567585455,5.999999999999999,-10.771530464831955,-10.693635246137738,0.7578252970808661
53,-16.436627078618965,-17.190689727114734,-16.337463875963543,-17.09155207981231,6.000000000000002,-10.436627078618963,-10.337463875963541,0.7540626484957689
54,-15.778360650875495,-16.528246213676777,-15.989620737528336,-16.739532140636342,6.0,-9.778360650875495,-9.989620737528336,0.7498855628012828
55,-15.684133011322167,-16.429391555935794,-15.650862747090683,-16.396147256828513,6.0,-9.684133011322167,-9.650862747090683,0.7452585446136255
56,-15.152051016388464,-15.892195099433835,-15.320774529611185,-16.060944518462676,6.000000000000002,-9.152051016388462,-9.320774529611183,0.74014408304537
57,-14.982428137740635,-15.716930778717781,-14.997569995716873,-15.732098273535055,5.999999999999999,-8.982428137740637,-8.997569995716873,0.7345026409771456
58,-14.851599868962385,-15.5798925275245,-14.678459991253327,-15.406777781194346,6.0,-8.851599868962385,-8.678459991253327,0.7282926585621143
59,-14.48177990077546,-15.203250473725463,-14.360551746854767,-15.082046681278761,6.000000000000002,-8.481779900775459,-8.360551746854766,0.7214705729500022
60,-13.895064637294896,-14.60905549361926,-14.041992297174112,-14.756006451905474,6.000000000000001,-7.895064637294895,-8.041992297174112,0.7139908563243651
61,-13.773148876589012,-14.478954951024367,-13.722913268409751,-14.428741255940967,6.000000000000002,-7.77314887658901,-7.72291326840975,0.7058060744353538
62,-13.52339057108922,-14.22025753896357,-13.405759572901648,-14.102646717379539,6.0,-7.5233905710892195,-7.405759572901648,0.6968669678743509
63,-13.023722735209356,-13.71084529357901,-13.094790919767402,-13.781931538884166,6.0,-7.023722735209356,-7.0947909197674015,0.6871225583696545
64,-12.863861125802195,-13.540381408178465,-12.794854796114507,-13.471390617334233,5.999999999999999,-6.863861125802196,-6.794854796114508,0.6765202823762704
65,-12.258013807672802,-12.92301996185261,-12.509819992452758,-13.174838733091022,5.999999999999999,-6.2580138076728025,-6.509819992452759,0.665006154179808
66,-12.292365030334222,-12.94488999096009,-12.241212279566314,-12.893746422536893,6.000000000000002,-6.292365030334221,-6.241212279566312,0.6525249606258687
67,-12.025226303099178,-12.664246792512664,-11.98754314249945,-12.626568941726031,5.999999999999999,-6.025226303099179,-5.98754314249945,0.6390204894134861
68,-11.582634240632535,-12.207070033278,-11.744581638980769,-12.369018389612155,6.000000000000001,-5.582634240632534,-5.744581638980768,0.6244357926454649
69,-11.4553513599653,-12.064064846967101,-11.506481103018288,-12.11519071199886,6.0,-5.4553513599653005,-5.506481103018288,0.6087134870018005
70,-11.48267718240512,-12.07447327389256,-11.267368009235817,-11.859154903304411,6.0,-5.482677182405119,-5.267368009235817,0.5917960914874398
71,-11.265926533051687,-11.8395529362485,-11.022842901077812,-11.596454312684813,6.000000000000002,-5.265926533051685,-5.02284290107781,0.5736264031968132
72,-10.674619980172544,-11.228767891103494,-10.770888503824715,-11.32501517791387,5.999999999999999,-4.674619980172545,-4.7708885038247155,0.5541479109309515
73,-10.42389893574369,-10.957204181541456,-10.511908386963928,-11.04518574661224,5.999999999999999,-4.423898935743691,-4.5119083869639285,0.5333052457977656
74,-10.18467463349943,-10.695719300623727,-10.247942638045576,-10.758952436060191,6.0,-4.18467463349943,-4.247942638045576,0.5110446671242976
75,-9.879019460082363,-10.366334041200346,-9.98140255137433,-10.46867501932617,6.0,-3.879019460082363,-3.9814025513743303,0.4873145811179831
76,-9.887112967848907,-10.349179056591945,-9.71382399475523,-10.175840491949744,6.000000000000001,-3.887112967848906,-3.71382399475523,0.46206608874303745
77,-9.440936715476472,-9.876190273720674,-9.445108324239534,-9.880304514431009,6.000000000000001,-3.4409367154764707,-3.4451083242395333,0.4352535582442023
78,-8.979497486247892,-9.386332702922699,-9.173522015424068,-9.580291675107768,5.999999999999999,-2.979497486247893,-3.1735220154240684,0.4068352166748075
79,-9.045219062862065,-9.421992816558895,-8.896436940147861,-9.273136585214012,6.000000000000002,-3.0452190628620635,-2.8964369401478596,0.3767737536968294
80,-8.645153676056964,-8.990190605906955,-8.611517527533898,-8.956472018530881,6.0,-2.645153676056964,-2.6115175275338984,0.3450369298499911
81,-8.226172132828093,-8.537770313300975,-8.317897698554338,-8.629406727045025,6.000000000000001,-2.2261721328280926,-2.3178976985543374,0.311598180472882
