frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-10.410161532521936,-11.196047733367804,-10.323168954081309,-11.109039807701036,5.999999999999999,-4.410161532521937,-4.32316895408131,0.785886200845868
21,-10.057081680931557,-10.842948929539837,-10.10363548679319,-10.889505089653078,6.0,-4.057081680931557,-4.1036354867931895,0.7858672486082812
22,-9.70076363013341,-10.486606086769843,-9.866198229922565,-10.652053000963853,6.0,-3.7007636301334106,-3.8661982299225652,0.7858424566364333
23,-9.690319118947711,-10.47612953764917,-9.610857183469433,-10.396683541633363,6.0,-3.690319118947711,-3.6108571834694327,0.7858104187014585
24,-9.460464346328829,-10.246233821982962,-9.33761234743378,-10.123396711661591,5.999999999999997,-3.4604643463288314,-3.337612347433782,0.7857694756541327
25,-8.75885962321064,-9.544577307189305,-9.039544876585838,-9.825275142153487,6.0,-2.7588596232106397,-3.039544876585838,0.7857176839786661
26,-8.905499927370274,-9.69115270941938,-8.724948774761252,-9.510611382378784,5.999999999999999,-2.9054999273702746,-2.724948774761253,0.7856527820491079
27,-8.66357218850837,-9.44914434254591,-8.401443530602453,-9.187023352330677,5.999999999999999,-2.663572188508371,-2.401443530602454,0.7855721540375402
28,-8.33043660949596,-9.115909400924672,-8.079320621192329,-8.8647999454679,6.0,-2.33043660949596,-2.0793206211923287,0.785472791428711
29,-7.5150761193853315,-8.300427371486784,-7.769883479975719,-8.555240975612334,6.000000000000001,-1.5150761193853306,-1.769883479975718,0.7853512521014525
30,-7.0947799871634425,-7.879983604108455,-7.480967699154803,-8.266177956020266,6.0,-1.0947799871634425,-1.480967699154803,0.7852036169450121
31,-6.721524365088017,-7.506549809074836,-7.2172189715788155,-8.00225183409361,5.999999999999998,-0.721524365088019,-1.2172189715788173,0.785025443986819
32,-7.358190505832289,-8.143002225850875,-6.979303130433868,-7.764123189406304,6.0,-1.3581905058322894,-0.979303130433868,0.784811720018586
33,-7.096122378731833,-7.880679188451614,-6.76479011832967,-7.549356201512553,6.000000000000001,-1.096122378731832,-0.7647901183296693,0.7845568097197813
34,-6.469247879933929,-7.2535022822257424,-6.56996295275225,-7.354227511473622,5.999999999999998,-0.46924787993393036,-0.5699629527522516,0.7842544022918139
35,-6.648776083523555,-7.432673539156635,-6.391148407281125,-7.175056853582494,6.000000000000001,-0.6487760835235541,-0.39114840728112377,0.7838974556330802
36,-6.188865665453102,-6.9723438035577345,-6.2256164878350475,-7.009106428902142,5.999999999999999,-0.18886566545310313,-0.2256164878350484,0.7834781381046327
37,-5.613882997492309,-6.396870765451372,-6.071516249356984,-6.854516637003114,6.0,0.38611700250769143,-0.07151624935698386,0.7829877679590638
38,-6.064268306882517,-6.846685057414193,-5.927129229962881,-6.709559440199126,6.000000000000002,-0.06426830688251517,0.07287077003712117,0.7824167505316759
39,-5.664650178784503,-6.446404692107961,-5.790080166918937,-6.571849008877968,6.000000000000001,0.33534982121549817,0.20991983308106388,0.7817545133234582
40,-5.714276626509558,-6.495266065649995,-5.657030684258425,-6.4380353471108505,6.000000000000002,0.28572337349044385,0.34296931574157696,0.7809894391404364
41,-5.778697807120652,-6.558806604614522,-5.524177320761254,-6.30430225656226,6.0,0.22130219287934771,0.4758226792387461,0.7801087974938694
42,-5.232172893109249,-6.011271567620442,-5.388389874031951,-6.167505613193665,5.969216893059382,0.7370439999501333,0.5808270190274314,0.7790986745111934
43,-5.537826663701988,-6.315770565360911,-5.248458084735785,-6.026419981930986,5.904719863158476,0.3668931994564879,0.6562617784226914,0.7779439016589222
44,-5.1523373729507105,-5.928965356587109,-5.1058299585679405,-5.882476866253781,5.808986569823766,0.6566491968730555,0.7031566112558254,0.7766279836363985
45,-4.517412432707396,-5.292545458571237,-4.964430651950759,-5.739583520720347,5.7001225249157015,1.1827100922083051,0.7356918729649422,0.7751330258638407
46,-5.1416616730475635,-5.915101335107407,-4.829557145860371,-5.6030175517948475,5.589673131822229,0.4480114587746655,0.7601159859618578,0.7734396620598432
47,-4.558328339758011,-5.329855322240817,-4.7062426276053575,-5.477791227457528,5.477791227457528,0.9194628876995168,0.7715485998521707,0.7715269824828064
48,-4.457753627164061,-5.227126090661881,-4.597691007171392,-5.367085923004152,5.3670859230041525,0.9093322958400911,0.7693949158327609,0.7693724634978194
49,-4.8198225926488405,-5.586774491874352,-4.504323447158479,-5.271298582601596,5.271298582601596,0.4514759899527556,0.7669751354431167,0.7669518992255115
50,-3.9201186553329648,-4.684357991465145,-4.423712140474199,-5.187975431542623,5.187975431542624,1.2678567762096589,0.764263291068425,0.7642393361321806
51,-4.61867316656688,-5.379880178097787,-4.351336719060718,-5.112568323430164,5.112568323430166,0.4938951568632861,0.7612316043694474,0.761207011530908
52,-4.315732990328864,-5.07355828740973,-4.2818355331856806,-5.039685962902489,5.039685962902488,0.723952972573624,0.7578504297168074,0.7578252970808661
53,-4.448482095079912,-5.202544743575681,-4.210323413379017,-4.96441161722778,4.964411617227778,0.5159295221478661,0.7540882038487613,0.7540626484957689
54,-3.954880064305448,-4.704765627106731,-4.133405704001122,-4.883317107109129,4.883317107109129,0.9284370428036808,0.7499114031080065,0.7498855628012828
55,-3.854305356153679,-4.599563900767304,-4.049679857278326,-4.794964367016155,4.7949643670161555,0.9406590108624764,0.7452845097378296,0.7452585446136255
56,-4.12768184542842,-4.86782592847379,-3.9596933784106656,-4.699863367262159,4.699863367262158,0.5721815218337385,0.7401699888514925,0.74014408304537
57,-4.055454794315787,-4.789957435292932,-3.865463480418505,-4.599991758236689,4.599991758236688,0.5445369639209012,0.7345282778181828,0.7345026409771456
58,-3.653756788509575,-4.382049447071689,-3.769741070000091,-4.498058859941112,4.498058859941113,0.8443020714315383,0.7283177899410225,0.7282926585621143
59,-3.5996318106059526,-4.321102383555955,-3.6752259081720497,-4.396720842596047,4.396720842596047,0.7970890319900947,0.7214949344239976,0.7214705729500022
60,-3.4520064515731548,-4.16599730789752,-3.5839308387964253,-4.297944993527787,4.297944993527787,0.8459385419546326,0.7140141547313621,0.7139908563243651
61,-3.73361557405084,-4.439421648486194,-3.4968535023495138,-4.202681489880731,4.202681489880731,0.46906591582989066,0.705827987531217,0.7058060744353538
62,-3.3514315853278105,-4.048298553202161,-3.414032681758531,-4.110919826236423,4.110919826236424,0.7594882409086137,0.696887144477893,0.6968669678743509
63,-3.2508568334377284,-3.937979391807383,-3.334950166018459,-4.022090785135226,4.0220907851352266,0.7712339516974982,0.6871406191167675,0.6871225583696545
64,-3.150282204682308,-3.826802487058578,-3.2591102213557037,-3.935646042575433,3.9356460425754336,0.7853638378931258,0.6765358212197299,0.6765202823762704
65,-3.4117767639399554,-4.076782918119763,-3.186542094358554,-3.8515608349968176,3.8515608349968176,0.4397840710568621,0.6650187406382635,0.665006154179808
66,-3.0497084030682142,-3.702233363694083,-3.117979985537479,-3.77051412850806,3.7705141285080606,0.7208057254398463,0.6525341429705818,0.6525249606258687
67,-3.2874170736482755,-3.9264375630617616,-3.054599298971637,-3.6936250981982215,3.6936250981982206,0.4062080245499451,0.6390257992265838,0.6390204894134861
68,-2.8389723371500337,-3.4634081297954986,-2.997394505267624,-3.621831255899011,3.621831255899011,0.7828589187489774,0.624436750631387,0.6244357926454649
69,-2.667401674141152,-3.2761151611429526,-2.9464815547819008,-3.555191163762474,3.555191163762474,0.8877894896213219,0.6087096089805732,0.6087134870018005
70,-3.0899401699877966,-3.6817362614752365,-2.9006878591660668,-3.492474753234662,3.4924747532346627,0.4025345832468661,0.591786894068596,0.5917960914874398
71,-2.7479835346120898,-3.321609937808903,-2.8576974615753867,-3.431308873182389,3.4313088731823895,0.6833253385702998,0.5736114116070028,0.5736264031968132
72,-2.7479780027916143,-3.302125913722566,-2.8147717000072023,-3.3688983740963585,3.3688983740963585,0.6209203713047442,0.5541266740891562,0.5541479109309515
73,-2.969233607359536,-3.5025388531573016,-2.7697790592943905,-3.3030564189427034,3.3030564189427034,0.3338228115831674,0.5332773596483129,0.5333052457977656
74,-2.9692224669095784,-3.480267134033876,-2.722085368583257,-3.2330951665978716,3.2330951665978716,0.2638726996882932,0.5110097980146144,0.5110446671242976
75,-2.592352762777489,-3.0796673438954723,-2.672879464727385,-3.160151932679228,3.160151932679228,0.5677991699017388,0.487272467951843,0.4873145811179831
76,-2.546792235049013,-3.0088583237920505,-2.6247469064124607,-3.0867634036069775,3.086763403606978,0.5399711685579649,0.4620164971945173,0.46206608874303745
77,-2.4462243525977443,-2.8814779108419466,-2.580649587701413,-3.0158457778928893,3.0158457778928893,0.569621425295145,0.43519619019147626,0.4352535582442023
78,-2.446252123190209,-2.8530873398650165,-2.5427511921285455,-2.949520851812247,2.949520851812246,0.5032687286220372,0.4067696596837007,0.4068352166748075
79,-2.4463086996952073,-2.8230824533920367,-2.511605380473421,-2.8883050255395712,2.888305025539572,0.4419963258443649,0.37669964506615106,0.3767737536968294
80,-2.6266986895126623,-2.9717356193626534,-2.486053234831753,-2.8310077258287363,2.8310077258287363,0.204309036316074,0.3449544909969835,0.3450369298499911
81,-2.64766613536338,-2.959264315836262,-2.4638414786799627,-2.775350507170649,2.775350507170649,0.12768437180726888,0.3115090284906863,0.311598180472882
82,-2.346073750352085,-2.622510955895502,-2.4426363484220044,-2.718981234257493,2.7189812342574933,0.3729074839054083,0.2763448858354889,0.276437205543417
83,-2.3461871766062985,-2.5857277115397856,-2.4209323462788332,-2.660382102156403,2.6603821021564036,0.3141949255501051,0.23944975587757034,0.23954053493348715
84,-2.5272683217410945,-2.7281703797303725,-2.3984264373992987,-2.599242052188897,2.599242052188898,0.07197373044780342,0.2008156147895992,0.20090205798927796
85,-2.387300582376068,-2.547824088375359,-2.3757083723939516,-2.5361452757342686,2.536145275734269,0.14884469335820105,0.16043690334031746,0.16052350599929088
86,-2.2452924603755324,-2.363707336413718,-2.35346338695495,-2.471774236752469,2.4717742367524687,0.22648177637693623,0.11831084979751871,0.11841487603818557
87,-2.2447429309760754,-2.319337715887569,-2.331625525334505,-2.406068043275625,2.4060680432756256,0.16132511229955027,0.07444251794112056,0.07459478491149385
88,-2.2438840512095197,-2.2729747937104885,-2.3089444413263576,-2.3378002528679906,2.337800252867991,0.09391620165847137,0.028855811541633525,0.02909074250096877
89,-2.4036350780644566,-2.385574412802627,-2.2832277151118316,-2.264835947302731,2.264835947302731,-0.13879913076172556,-0.018391767809100568,-0.01806066526182981
90,-2.4022211205289103,-2.3354074282457606,-2.2521922543119874,-2.184994885786051,2.184994885786051,-0.21722623474285951,-0.06719736852593661,-0.0668136922831497
91,-2.1392146048552654,-2.0221011509348563,-2.214556536387642,-2.0971422617452182,2.097142261745218,-0.042072343110047594,-0.11741427464242404,-0.11711345392040906
92,-2.137845700550292,-1.9689496413016103,-2.170873714541093,-2.0019974466641766,2.0019974466641766,-0.13584825388611543,-0.16887626787691623,-0.16889605924868167
93,-2.196306619779124,-1.9742177630753996,-2.1237048331599397,-1.9022570435993882,1.9022570435993886,-0.29404957617973526,-0.2214477895605511,-0.22208885670372425
94,-2.277775104348964,-2.001164310933283,-2.077012583042151,-1.8019218490892408,1.8019218490892408,-0.475853255259723,-0.27509073395291006,-0.27661079341568096
95,-1.824432575705814,-1.4920596896987015,-2.0349911588611387,-1.705065605044531,1.7050656050445305,-0.11936697066128343,-0.32992555381660815,-0.33237288600711246
96,-1.7996804056661233,-1.410401607623522,-2.000788578033638,-1.6145318690742942,1.6145318690742942,-0.18514853659182906,-0.3862567089593436,-0.38927879804260135
97,-1.946103337031818,-1.498877820255741,-1.9756205553876725,-1.5310843141904718,1.5310843141904713,-0.4150190228413466,-0.44453624119720114,-0.447225516776077
98,-2.0155260594474878,-1.5094219400076754,-1.958605957451938,-1.4533495363841924,1.4533495363841924,-0.5621765230632954,-0.5052564210677457,-0.5061041194398124
99,-2.1066187063307447,-1.5408180891841732,-1.9473510944089822,-1.378562041196552,1.3785620411965518,-0.7280566651341929,-0.5687890532124305,-0.5658006171465715
100,-1.9318156751550326,-1.30561881253844,-1.939011611983399,-1.3037962911388172,1.3037962911388172,-0.6280193840162154,-0.6352153208445819,-0.6261968626165926
101,-1.8971193823481425,-1.2099478758835414,-1.9313938530533632,-1.2271897103564657,1.2271897103564657,-0.6699296719916767,-0.7042041426968975,-0.6871715064646011
102,-2.037922633506541,-1.2893216477627982,-1.9236812810789028,-1.1486907598660743,1.1486907598660743,-0.8892318736404667,-0.7749905212128285,-0.7486009857437428
104,-1.8389490742958334,-0.9666239212555441,-1.9165590312874117,-1.0700811802248127,1.0700811802248127,-0.7688678940710207,-0.846477851062599,-0.8723251530402893
105,-1.8627485289593886,-0.9283778705305683,-1.9117660778198338,-0.9943180863881025,0.9943180863881025,-0.8684304425712861,-0.9174479914317313,-0.9343706584288203
106,-1.887265671811348,-0.8908911030407323,-1.9113148262913862,-0.9244903594739577,0.9244903594739575,-0.9627753123373906,-0.9868244668174286,-0.9963745687706158
107,-1.9116416929871556,-0.8534246543621689,-1.9167012347121828,-0.8627888628268212,0.8627888628268212,-1.0488528301603344,-1.0539123718853616,-1.0582170386249867
108,-1.9350100476604317,-0.8152283539687843,-1.9283699638432907,-0.8098273169192153,0.8098273169192153,-1.1251827307412166,-1.1185426469240753,-1.1197816936916474
109,-1.9565566606448566,-0.7756002604374972,-1.9455522602569173,-0.7644747437799831,0.7644747437799831,-1.1920819168648733,-1.1810775164769343,-1.1809564002073594
110,-1.9755750736597584,-0.7339411200590855,-1.9664400279415721,-0.7241624271179811,0.7241624271179808,-1.2514126465417776,-1.2422776008235914,-1.2416339536006729
111,-1.9915121116187051,-0.6897994318494902,-1.9885626529022018,-0.685488795818538,0.685488795818538,-1.306023315800167,-1.3030738570836637,-1.301712679769215
112,-2.0040005824628033,-0.642903637892549,-2.0092177151991133,-0.6449032379828221,0.6449032379828222,-1.3590973444799812,-1.3643144772162912,-1.3610969445702543
113,-2.0128765896071927,-0.5931790203101768,-2.0258520809030593,-0.5992925020849824,0.5992925020849824,-1.4135840875222103,-1.426559578818077,-1.419697569297016
