frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-5.057971945481744,-6.70581570095109,-5.145423638361174,-6.793252047163404,6.941770525710538,1.8837985802287944,1.7963468873493644,1.647843755469347
21,-4.606026878587448,-6.2538516746056265,-4.506137489340738,-6.153964639509778,6.231903041862676,1.6258761632752279,1.7257655525219375,1.6478247960181784
22,-3.9084074587981967,-5.55620745728354,-3.9084558400322114,-5.5562681524376005,5.591373936270093,1.6829664774718966,1.682918096237882,1.6477999984853424
23,-3.4252343931373783,-5.073002349779351,-3.352378690435593,-5.000162585946873,5.012437924925269,1.5872035317878908,1.660059234489676,1.6477679566419732
24,-2.792985614510581,-4.440712625849428,-2.83790604055088,-4.485647940037588,4.488470726001717,1.695485111491136,1.6505646854508371,1.647727011338847
25,-2.3756620006968965,-4.023337219757071,-2.3660822969326754,-4.01377009758215,4.0137700975821495,1.638108096885253,1.6476878006494742,1.647675219060174
26,-1.8860546699836052,-3.533664988163603,-1.9357782099069012,-3.583398354409221,3.58339835440922,1.697343684425615,1.6476201445023189,1.6476103181799977
27,-1.492427118743749,-3.1399568119440397,-1.545856190928471,-3.193393553356277,3.1933935533562767,1.7009664346125277,1.6475373624278058,1.647529693200291
28,-1.2202980676232518,-2.867728403134609,-1.1945917394186154,-2.8420286101976346,2.842028610197635,1.6217305425743833,1.6474368707790197,1.6474303355113573
29,-0.9801454786052134,-2.6274542815304818,-0.8797920835850143,-2.52710713337472,2.5271071333747197,1.5469616547695062,1.6473150497897056,1.6473088029252683
30,-0.551032068499452,-2.1981932446011987,-0.5993638646016881,-2.246531684762574,2.2465316847625743,1.6954996162631222,1.6471678201608861,1.6471611761017466
31,-0.3782425407407394,-2.025225553338882,-0.3512884699403779,-1.9982789057551726,1.9982789057551726,1.6200363650144332,1.6469904358147947,1.6469830125981426
32,-0.0881253459839647,-1.7348946444004463,-0.13382198374973495,-1.7805996259095924,1.7805996259095924,1.6924742799256278,1.6467776421598574,1.6467692984164817
33,0.11103467219248343,-1.5354797248677108,0.05450852999778083,-1.5920151447701891,1.5920151447701893,1.7030498169626729,1.6465236747679701,1.6465143970601943
34,0.12158078737639656,-1.5246312087980416,0.21509175440726994,-1.4311304010372612,1.4311304010372614,1.552711188413658,1.6462221554445313,1.6462119961744381
35,0.3400722147741061,-1.3057828369419728,0.34948397249792806,-1.2963820702869102,1.29638207028691,1.6364542850610162,1.6458660427848382,1.645855051716079
36,0.5502961238255769,-1.0951396059853167,0.45976200252104044,-1.185685527067705,1.185685527067705,1.7359816508932817,1.6454475295887454,1.6454357298108935
37,0.5493708124174053,-1.0955745339327543,0.5488395090867038,-1.0961184490335163,1.0961184490335163,1.6454892614509216,1.64495795812022,1.6449453463501595
38,0.5414699396086563,-1.1029043648338077,0.6206330235105035,-1.023754726983975,1.0237547269839753,1.5652246665926315,1.6443877504944788,1.6443743044424641
39,0.7638004658077481,-0.8799115640455338,0.6799759898933042,-0.9637503485319273,0.9637503485319274,1.7275508143396756,1.6437263384252316,1.643712029853282
40,0.7613347335316988,-0.8816121710568886,0.7322109785448467,-0.9107511231462159,0.9107511231462156,1.6720858566779144,1.6429621016910625,1.6429469045885874
41,0.7621165220884102,-0.8799496767211229,0.7824954062933349,-0.859586898299131,0.8595868982991309,1.6217034203875411,1.6420823045924657,1.642066198809533
42,0.7654778126835599,-0.875578188602704,0.8349575846125723,-0.8061154444994931,0.8061154444994936,1.5715932571830535,1.6410730291120659,1.6410560012862638
43,0.7702329835579639,-0.8696681650785499,0.8919251646649606,-0.7479939411598923,0.7479939411598923,1.5182269247178561,1.6399191058248528,1.6399011486365138
44,1.0030855390982587,-0.6354996145342551,0.9534731380277112,-0.6851309038329825,0.6851309038329825,1.6882164429312412,1.6386040418606935,1.6385851536325138
45,1.0073787169137707,-0.6297114159943367,1.0174737889041139,-0.619636158939093,0.619636158939093,1.6270148758528635,1.6371099478432067,1.6370901329081073
46,1.0107808400383478,-0.6246158944198554,1.0801911443299101,-0.5552263203364978,0.5552263203364978,1.5660071603748456,1.635417464666408,1.6353967344582032
47,1.2413797041589514,-0.39210436123932224,1.137289475667727,-0.4962162149970543,0.4962162149970543,1.7375959191560058,1.6335056906647814,1.6334840653982736
48,1.243600499197857,-0.3877291213485572,1.184981526646037,-0.4463705832327127,0.4463705832327128,1.6899710824305698,1.6313521098787498,1.6313296205464143
49,1.2454448354562566,-0.3834643770507471,1.2209821547653825,-0.40795036712737065,0.40795036712737054,1.6533952025836272,1.628932521892753,1.6289092125070037
50,1.2467347355317522,-0.3794621685440658,1.2449841314593777,-0.381236842546753,0.381236842546753,1.6279715780785051,1.6262209740061306,1.626196904075818
51,1.247189178365613,-0.37597576558701373,1.258523651942444,-0.364666044788315,0.36466604478831494,1.611855223153928,1.623189696730759,1.6231649439526268
52,1.24668427273177,-0.37309943420637004,1.2643026788942555,-0.3555063649211395,0.3555063649211394,1.6021906376529094,1.619809043815395,1.61978370693814
53,1.245426781898462,-0.3705948581061691,1.2652136411783221,-0.35083379707411977,0.3508337970741198,1.5962605789725817,1.616047438252442,1.616021640004631
