frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-39.22331681228344,-40.87116056775279,-39.26669054469971,-40.91451895350192,5.999999999999999,-33.22331681228344,-33.26669054469971,1.647843755469347
21,-38.77137174538915,-40.41919654140733,-38.72357532809064,-40.371402478259654,6.0,-32.77137174538915,-32.72357532809064,1.6478247960181784
22,-38.30167255352013,-39.94947255200547,-38.20652295077942,-39.85433526318479,6.0,-32.30167255352013,-32.20652295077942,1.6477999984853424
23,-37.63878387690767,-39.28655183354964,-37.71553341276605,-39.36331730827731,5.999999999999999,-31.638783876907667,-31.71553341276605,1.6477679566419732
24,-37.18625070923252,-38.83397772057136,-37.25060671405048,-38.89834861353717,5.999999999999998,-31.186250709232517,-31.250606714050477,1.647727011338847
25,-36.76892709541883,-38.41660231447901,-36.813667265922305,-38.46135506657177,6.000000000000001,-30.76892709541883,-30.813667265922305,1.647675219060174
26,-36.422086565846314,-38.069696884026314,-36.40237726831243,-38.04999741281475,6.0,-30.422086565846314,-30.402377268312428,1.6476103181799977
27,-36.05277917485489,-37.70030886805518,-36.01467157448897,-37.66220893691678,6.0,-30.05277917485489,-30.014671574488972,1.647529693200291
28,-35.61356316234519,-37.260993497856546,-35.6478086035566,-37.295245474335616,6.0,-29.613563162345187,-29.647808603556598,1.6474303355113573
29,-35.37341057332715,-37.020719376252416,-35.29876753592774,-36.946082585717434,6.000000000000001,-29.37341057332715,-29.298767535927738,1.6473088029252683
30,-34.94429716322138,-36.591458339323125,-34.96538594485564,-36.612553765016514,6.0,-28.94429716322138,-28.96538594485564,1.6471611761017466
31,-34.701125580276894,-36.348108592875036,-34.64606037779578,-36.29305081361056,5.999999999999999,-28.701125580276894,-28.646060377795777,1.6469830125981426
32,-34.25347021278567,-35.90023951120215,-34.33983190773027,-35.98660954989013,5.999999999999999,-28.253470212785672,-28.33983190773027,1.6467692984164817
33,-34.05431019460922,-35.70082459166942,-34.046102578680525,-35.692626253448495,6.0,-28.054310194609222,-28.046102578680525,1.6465143970601943
34,-33.81584385150508,-35.462055847679515,-33.76422060909698,-35.410442764541514,5.999999999999998,-27.81584385150508,-27.76422060909698,1.6462119961744381
35,-33.435550309765304,-35.08140536148138,-33.493314521594044,-35.139180564378876,6.000000000000001,-27.435550309765304,-27.493314521594044,1.645855051716079
36,-33.15920828713567,-34.80464401694656,-33.232256526638196,-34.877704056226925,5.999999999999998,-27.15920828713567,-27.232256526638196,1.6454357298108935
37,-33.13074904575746,-34.775694392107624,-32.979846777470705,-34.624804735590914,6.0,-27.13074904575746,-26.979846777470705,1.6449453463501595
38,-32.71219401551213,-34.3565683199546,-32.735104361539186,-34.37949211203366,6.000000000000001,-26.712194015512132,-26.735104361539186,1.6443743044424641
39,-32.489863489313045,-34.13357551916633,-32.497496193855646,-34.14122253228088,6.0,-26.489863489313045,-26.497496193855646,1.643712029853282
40,-32.264408993668866,-33.90735589825745,-32.26700598129976,-33.90996808299082,5.999999999999999,-26.264408993668866,-26.26700598129976,1.6429469045885874
41,-32.03872170356193,-33.68078790237146,-32.043988301665514,-33.68607060625798,5.999999999999999,-26.038721703561933,-26.043988301665514,1.642066198809533
42,-31.856768773249616,-33.49782477453588,-31.82886399515465,-33.46993702426672,6.000000000000003,-25.856768773249613,-25.828863995154645,1.6410560012862638
43,-31.571750059881918,-33.21165120851843,-31.621784841336655,-33.26170394716151,6.0,-25.571750059881918,-25.621784841336655,1.6399011486365138
44,-31.338897504341624,-32.977482657974136,-31.422404708559547,-33.06100875042024,6.0,-25.338897504341624,-25.422404708559547,1.6385851536325138
45,-31.33460432652611,-32.97169445943422,-31.229851620296436,-32.866961568139644,5.999999999999998,-25.33460432652611,-25.229851620296436,1.6370901329081073
46,-31.03975370898064,-32.675150443438845,-31.042907126734107,-32.67832459140051,6.0,-25.03975370898064,-25.042907126734107,1.6353967344582032
47,-30.8726831113607,-32.50616717675897,-30.86031160410696,-32.493817294771745,6.0,-24.8726831113607,-24.86031160410696,1.6334840653982736
48,-30.642542088401566,-32.27387170894798,-30.68106571351327,-32.312417823392025,6.0,-24.642542088401566,-24.68106571351327,1.6313296205464143
49,-30.5092585691382,-32.1381677816452,-30.504608324390027,-32.133540846282784,5.999999999999999,-24.5092585691382,-24.504608324390027,1.6289092125070037
50,-30.411487624147448,-32.03768452822327,-30.33081183278589,-31.95703280679202,5.999999999999999,-24.411487624147448,-24.33081183278589,1.626196904075818
51,-30.138028143853056,-31.761193087805683,-30.159816796512132,-31.78300649324289,5.999999999999999,-24.138028143853056,-24.159816796512132,1.6231649439526268
52,-29.955697631106972,-31.575481338045112,-29.991792795692746,-31.611601839508143,5.999999999999999,-23.955697631106972,-23.991792795692746,1.61978370693814
53,-29.72903489402005,-31.345056534024682,-29.82673425261573,-31.442781690868173,6.000000000000002,-23.729034894020046,-23.82673425261573,1.616021640004631
54,-29.730551046872637,-31.342396262730635,-29.66437342334617,-31.27624474927699,6.0,-23.730551046872637,-23.66437342334617,1.611845215857997
55,-29.50386785798332,-31.111086753828065,-29.50423514518591,-31.111480284008497,6.0,-23.50386785798332,-23.50423514518591,1.6072188958447455
56,-29.50424763142435,-31.106352735713067,-29.345800272076804,-30.947931541890938,6.000000000000002,-23.50424763142435,-23.3458002720768,1.6021051042887193
57,-29.04887459956502,-30.645338816119768,-29.18871187232078,-30.785201933811067,5.999999999999999,-23.04887459956502,-23.18871187232078,1.5964642165547454
58,-29.048948647750755,-30.639203211063634,-29.032957803865173,-30.62323761520954,6.0,-23.048948647750755,-23.032957803865173,1.5902545633128775
59,-28.821351270858585,-30.40478372445758,-28.878986308114143,-30.462443104106192,6.000000000000002,-22.821351270858585,-22.878986308114143,1.5834324535989968
60,-28.821969672097584,-30.397921891414164,-28.727738598165857,-30.303713915160657,6.000000000000001,-22.821969672097584,-22.727738598165857,1.575952219316581
61,-28.594598087062444,-30.162364370845076,-28.58059705792617,-30.14838482876146,6.000000000000002,-22.594598087062444,-22.58059705792617,1.5677662837826305
62,-28.366555740690416,-29.925380997463748,-28.439247187135898,-29.998091932553933,6.0,-22.366555740690416,-22.439247187135898,1.5588252567733307
63,-28.365292957419776,-29.914371015681525,-28.305447061280347,-29.854542206465865,6.0,-22.365292957419776,-22.305447061280347,1.5490780582617476
64,-28.134984505155504,-29.673456577812463,-28.180706650161923,-29.719192996739146,5.999999999999999,-22.134984505155504,-22.180706650161923,1.5384720726569596
65,-28.082719493683733,-29.60967282853942,-28.065908280671522,-29.59287266556222,5.999999999999999,-22.082719493683733,-22.065908280671522,1.5269533348556874
66,-27.90200044463852,-29.416467193455595,-27.960941519000194,-29.475415692329975,6.000000000000002,-21.902000444638517,-21.960941519000194,1.514466748817075
67,-27.901794144776915,-29.402750483468793,-27.86445964095584,-29.3654193953823,5.999999999999999,-21.901794144776915,-21.86445964095584,1.5009563386918772
68,-27.676780082149392,-29.163145613960992,-27.773866268325943,-29.26023085085876,6.000000000000001,-21.676780082149392,-21.773866268325943,1.486365531811602
69,-27.683435141621302,-29.154072613733536,-27.685595347716202,-29.156227182709436,5.999999999999999,-21.683435141621302,-21.685595347716202,1.4706374721122324
70,-27.69383755086499,-29.147552912743564,-27.59566391203633,-29.049368662533837,6.0,-21.69383755086499,-21.59566391203633,1.4537153618785736
71,-27.479392347862873,-28.91493517696284,-27.50038355584836,-28.93591055083715,6.0,-21.479392347862873,-21.50038355584836,1.4355428290999663
72,-27.48754268759221,-28.903607004868675,-27.39705026102265,-28.813093315785466,5.999999999999999,-21.48754268759221,-21.39705026102265,1.4160643172764655
73,-27.28211123076094,-28.677336725012935,-27.284422093235133,-28.679620742729664,6.0,-21.28211123076094,-21.284422093235133,1.3952254942519944
74,-27.06790400400062,-28.440877680613283,-27.16284980168279,-28.535790954492143,6.000000000000001,-21.06790400400062,-21.16284980168279,1.3729736766126637
75,-27.078598208687534,-28.427856475082336,-27.03402963172085,-28.383249636155853,5.999999999999998,-21.078598208687538,-21.03402963172085,1.349258266394802
76,-27.02272714555838,-28.346758342857445,-26.900465211930985,-28.22445231798804,6.000000000000003,-21.022727145558378,-20.90046521193098,1.3240311972990644
77,-26.682939572473636,-27.980186960755766,-26.764813961528745,-28.062011190523524,6.000000000000001,-20.682939572473636,-20.764813961528745,1.2972473882821323
78,-26.574499900943096,-27.843365104191918,-26.629323707171725,-27.89813222160189,5.999999999999999,-20.574499900943096,-20.629323707171725,1.2688652032488212
79,-26.41455291163131,-27.6533998281535,-26.495528755540775,-27.734311911364717,6.000000000000002,-20.41455291163131,-20.495528755540775,1.2388469165221871
80,-26.423120615282375,-27.63027980001398,-26.364285767382945,-27.57137401298416,6.0,-20.423120615282375,-20.364285767382945,1.2071591847316068
81,-26.291706650731015,-27.465480177344922,-26.2361196667903,-27.40981620549241,6.0,-20.291706650731015,-20.2361196667903,1.1737735266139078
82,-26.215245819733816,-27.35391263257704,-26.11175466316034,-27.250341335240165,6.0,-20.215245819733816,-20.11175466316034,1.1386668128432222
83,-25.918078379908234,-27.01990014816928,-25.99265242860382,-27.094394807891927,6.000000000000001,-19.918078379908234,-19.99265242860382,1.101821768261047
84,-25.816323888292942,-26.879551376939027,-25.881380764319324,-26.94453147237163,6.000000000000001,-19.816323888292942,-19.881380764319324,1.0632274886460862
85,-25.83704918959509,-26.85992916293542,-25.78168447811764,-26.804484742093983,6.000000000000001,-19.83704918959509,-19.78168447811764,1.022879973340331
86,-25.72745747964297,-26.708240153204475,-25.698208399943457,-26.678890070041366,5.999999999999999,-19.72745747964297,-19.698208399943457,0.980782673561508
87,-25.639123387876346,-26.576070441929637,-25.635907216477705,-26.57270005030414,6.0,-19.639123387876346,-19.635907216477705,0.9369470540532916
88,-25.600593586214636,-26.491986749091815,-25.599247507366968,-26.490397764567284,5.999999999999999,-19.600593586214636,-19.599247507366968,0.891393162877181
89,-25.428579339889275,-26.272729540605724,-25.5913516429904,-26.435155830567755,6.000000000000001,-19.428579339889275,-19.5913516429904,0.8441502007164474
90,-25.620061396434767,-26.41531847362333,-25.61324616020542,-26.408097005100835,6.000000000000001,-19.620061396434767,-19.61324616020542,0.7952570771885625
91,-25.67265420127162,-26.417417138826078,-25.663360174425193,-26.407791657368723,6.0,-19.67265420127162,-19.663360174425193,0.7447629375544573
92,-25.683370763613574,-26.37609840274523,-25.737378808008316,-26.43008743774933,5.999999999999999,-19.683370763613574,-19.737378808008316,0.6927276391316588
93,-25.83234624583725,-26.471568398805008,-25.828499186796122,-26.468315748508157,6.000000000000002,-19.83234624583725,-19.828499186796122,0.6392221529677569
94,-25.941068637376365,-26.525397500616887,-25.92807222720659,-26.51386738026143,6.0,-19.941068637376365,-19.92807222720659,0.5843288632405232
95,-25.972117673812992,-26.500259408569956,-26.026550511295504,-26.557079899376177,6.000000000000001,-19.972117673812992,-20.026550511295504,0.5281417347569652
