frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,1.07773849840285,-0.5701052570664971,1.0831046934421313,-0.5647237153601029,0.5647237153601028,1.6424622137629528,1.6478284088022341,1.647843755469347
21,1.4019923171149815,-0.24583247890319693,1.3981872500880836,-0.249639900080959,0.2496399000809589,1.6516322171959403,1.6478271501690425,1.6478247960181784
22,1.6976949003714428,0.04989490188610035,1.698643763794441,0.05083145138904921,-0.05083145138904921,1.6468634489823937,1.6478123124053918,1.6477999984853424
23,1.9805047138092065,0.3327367571672333,1.9844742345612034,0.33669033904992185,-0.33669033904992196,1.6438143747592844,1.6477838955112816,1.6477679566419732
24,2.2697609121563183,0.6220339008174713,2.2556786623883682,0.6079367629016579,-0.6079367629016577,1.6618241492546606,1.6477418994867106,1.647727011338847
25,2.5590171105034294,0.9113418914432554,2.51136790445209,0.8636801038026144,-0.8636801038026146,1.6953370067008149,1.6476878006494755,1.647675219060174
26,2.7518545760681747,1.104244257888177,2.7526353129295504,1.1050151684272302,-1.1050151684272305,1.6468394076409443,1.64762014450232,1.6476103181799977
27,2.950320256667271,1.30279056346698,2.9804438893999636,1.332906526972157,-1.3329065269721567,1.6174137296951143,1.647537362427807,1.647529693200291
28,3.137529507197657,1.4900991716862997,3.1960542509703433,1.548617380191324,-1.5486173801913237,1.5889121270063333,1.6474368707790197,1.6474303355113573
29,3.4267857055447664,1.779476902619498,3.4008139820334753,1.7534989322437693,-1.7534989322437693,1.673286773300997,1.647315049789706,1.6473088029252683
30,3.6615675932431375,2.014406417141391,3.595595981833086,1.9484281616722003,-1.9484281616722006,1.713139431570937,1.6471678201608853,1.6471611761017466
31,3.7375997210652914,2.0906167084671488,3.7808998116077834,2.133909375792988,-2.133909375792987,1.6036903452723044,1.6469904358147964,1.6469830125981426
32,3.9347604193273686,2.287991120910887,3.9567910160486637,2.310013373888806,-2.310013373888806,1.6247470454385629,1.646777642159858,1.6467692984164817
33,4.101716835021352,2.455202437961158,4.123040163035293,2.476516488267323,-2.476516488267323,1.625200346754029,1.6465236747679701,1.6465143970601943
34,4.294554300586092,2.6483423044116536,4.279356098969144,2.633133943524612,-2.6331339435246113,1.6614203570614805,1.6462221554445327,1.6462119961744381
35,4.458386753987521,2.8125317022714422,4.425528636657538,2.7796625938726995,-2.7796625938727,1.6787241601148213,1.6458660427848382,1.645855051716079
36,4.583810498933199,2.938374769122306,4.561514380748136,2.916066851159389,-2.916066851159389,1.6677436477738103,1.645447529588747,1.6454357298108935
37,4.680229231715567,3.035283885365408,4.687404116995778,3.042446158875558,-3.042446158875557,1.6377830728400102,1.6449579581202212,1.6449453463501595
