frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-5.295486362328667,-6.9433301177980145,-5.40604695379822,-7.053875362600461,6.0,0.704513637671333,0.5939530462017801,1.647843755469347
21,-5.136140149660822,-6.783964945679,-5.0947473957637035,-6.742574545932752,6.0,0.8638598503391783,0.9052526042362965,1.6478247960181784
22,-4.915639061405413,-6.563439059890755,-4.795979295823457,-6.443791608228853,5.94496838751174,1.0293293261063274,1.148989091688283,1.6477999984853424
23,-4.603952131103063,-6.251720087745037,-4.509742653977481,-6.157526549488765,5.842192111463049,1.2382399803599862,1.332449457485568,1.6477679566419732
24,-4.189164523248192,-5.836891534587039,-4.236037470225772,-5.883779369712483,5.698107570615903,1.508943047367711,1.4620701003901315,1.647727011338847
25,-4.053230486699049,-5.700905705759223,-3.9716474284683256,-5.619335229117802,5.5278100944891335,1.4745796077900843,1.5561626660208079,1.647675219060174
26,-3.714885661904444,-5.362495980084441,-3.721022700276972,-5.368642844779291,5.339393126908135,1.624507465003691,1.618370426631163,1.6476103181799977
27,-3.4917640298511574,-5.139293723051448,-3.4876058323628323,-5.135143194790638,5.13514319479064,1.6433791649394824,1.6475373624278076,1.647529693200291
28,-3.0859212469479047,-4.733351582459262,-3.275145834016569,-4.922582704795588,4.922582704795587,1.8366614578476819,1.6474368707790177,1.6474303355113573
29,-3.079969944530561,-4.727278747455829,-3.086549950965496,-4.733865000755202,4.733865000755204,1.6538950562246426,1.6473150497897078,1.6473088029252683
30,-3.0052979452463524,-4.652459121348099,-2.92159076423678,-4.568758584397665,4.568758584397664,1.563460639151312,1.6471678201608841,1.6471611761017466
31,-2.650832567873716,-4.297815580471859,-2.7776458265083326,-4.424636262323128,4.424636262323128,1.7738036944494122,1.6469904358147955,1.6469830125981426
32,-2.5951212966857784,-4.2418905951022605,-2.649986078855324,-4.296763721015182,4.29676372101518,1.701642424329402,1.6467776421598566,1.6467692984164817
33,-2.7610036037079437,-4.407518000768138,-2.5330037306372857,-4.179527405405256,4.179527405405258,1.4185238016973143,1.6465236747679723,1.6465143970601943
34,-2.3788196956619636,-4.025031691836402,-2.421784545933619,-4.068006701378151,4.068006701378151,1.689187005716187,1.6462221554445318,1.6462119961744381
35,-2.3930304403002767,-4.038885492016355,-2.3131267498968717,-3.95899279268171,3.9589927926817103,1.5659623523814337,1.6458660427848386,1.645855051716079
36,-2.1505423143445683,-3.795978044155462,-2.2061017139960586,-3.851549243584804,3.8515492435848047,1.7010069292402363,1.645447529588746,1.6454357298108935
37,-2.077095557730929,-3.7220409040810885,-2.101843193605463,-3.7468011517256823,3.7468011517256823,1.6697055939947534,1.6449579581202194,1.6449453463501595
38,-2.1205047117874867,-3.764879016229951,-2.002725174538595,-3.6471129250330736,3.647112925033075,1.5266082132455883,1.64438775049448,1.6443743044424641
39,-1.7150265922136865,-3.3587386220669684,-1.911281792948826,-3.5550081313740574,3.555008131374058,1.8399815391603713,1.6437263384252319,1.643712029853282
40,-1.9883549300251955,-3.631301834613783,-1.8291790846821812,-3.4721411863732436,3.4721411863732428,1.4837862563480473,1.6429621016910616,1.6429469045885874
41,-1.5152038019718477,-3.1572700007813808,-1.7565671407338144,-3.3986494453262805,3.3986494453262797,1.883445643354432,1.6420823045924653,1.642066198809533
42,-1.835716247386233,-3.476772248672497,-1.691965083279411,-3.3330381123914767,3.333038112391478,1.4973218650052451,1.641073029112067,1.6410560012862638
43,-1.5742219945110636,-3.214123143147577,-1.632650879197028,-3.272569985021881,3.272569985021881,1.6983479905108172,1.6399191058248528,1.6399011486365138
44,-1.6448520618095166,-3.2834372154420306,-1.5753885415560078,-3.2139925834167014,3.2139925834167005,1.5691405216071839,1.6386040418606926,1.6385851536325138
45,-1.5215014914396934,-3.1585916243478005,-1.517236456483508,-3.1543464043267146,3.154346404326714,1.6328449128870208,1.6371099478432063,1.6370901329081073
46,-1.4741818953928074,-3.1095786298510104,-1.4561927257381786,-3.0916101904045865,3.091610190404586,1.6174282950117786,1.6354174646664075,1.6353967344582032
47,-1.4760332449781328,-3.1095173103764067,-1.391513672936937,-3.0250193636017184,3.0250193636017184,1.5489861186235856,1.6335056906647814,1.6334840653982736
48,-1.1518082015127833,-2.7831378220591976,-1.3236591543110616,-2.955011264189811,2.955011264189811,1.803203062677028,1.6313521098787496,1.6313296205464143
49,-1.3931875118251515,-3.0220967243321555,-1.253934456204997,-2.8828669780977503,2.8828669780977494,1.4896794662725978,1.6289325218927524,1.6289092125070037
50,-1.1802783225155802,-2.806475226591398,-1.183973441514135,-2.810194415520266,2.8101944155202667,1.6299160930046865,1.6262209740061317,1.626196904075818
51,-0.9506587753983637,-2.5738237193509903,-1.1152260506876783,-2.738415747418438,2.738415747418438,1.7877569720200743,1.6231896967307597,1.6231649439526268
52,-1.1435007461255693,-2.7632844530637093,-1.0485839652420401,-2.668393009057435,2.6683930090574344,1.524892262931865,1.6198090438153943,1.61978370693814
53,-0.9707737173370654,-2.586795357341696,-0.9842219772290615,-2.6002694154815034,2.6002694154815047,1.6294956981444393,1.6160474382524432,1.616021640004631
54,-1.0713484317576165,-2.6831936476156137,-0.9216710382159428,-2.5335423641467703,2.53354236414677,1.4621939323891533,1.611871325930827,1.611845215857997
55,-0.669049585674818,-2.2762684815195637,-0.8600878105517209,-2.467332949374317,2.467332949374317,1.7982833636994988,1.607245138822596,1.6072188958447455
56,-0.7696243051579984,-2.3717294094467176,-0.7986529904011799,-2.400784260215317,2.4007842602153184,1.6311599550573201,1.6021312698141386,1.6021051042887193
57,-0.8669509107695519,-2.4634151273242972,-0.73701415265748,-2.3335042141477693,2.333504214147769,1.466553303378217,1.5964900614902888,1.5964642165547454
58,-0.6690495968768327,-2.25930416018971,-0.6756842008413078,-2.265964012185681,2.265964012185681,1.5969144153088486,1.5902798113443735,1.5902545633128775
59,-0.6690495775946541,-2.252482031193651,-0.6163105639677569,-2.1997673599598033,2.1997673599598033,1.5307177823651492,1.5834567959920465,1.5834324535989968
60,-0.5684748190253256,-2.1444270383419064,-0.5617465052700543,-2.1377218222648526,2.1377218222648526,1.5692470032395271,1.5759753169947983,1.575952219316581
61,-0.4679000334570348,-2.035666317239665,-0.5158850248734579,-2.0836727957087486,2.083672795708749,1.6157727622517144,1.5677877708352912,1.5677662837826305
62,-0.46789995277998225,-2.026725209553313,-0.4832538812702057,-2.042098626688243,2.042098626688243,1.5741986739082605,1.5588447454180372,1.5588252567733307
63,-0.46789991353357663,-2.016977971795324,-0.46841210179566384,-2.0175072469811797,2.01750724698118,1.5496073334476035,1.5490951451855164,1.5490780582617476
64,-0.46789999742183425,-2.0063720700787937,-0.4752262722427877,-2.0137126188200076,2.0137126188200076,1.5458126213981733,1.53848634657722,1.5384720726569596
65,-0.45960103622589216,-1.9865543710815796,-0.5061306723936266,-2.0330950572843234,2.033095057284323,1.5734940210584307,1.5269643848906962,1.5269533348556874
66,-0.49663069295456425,-2.011097441771639,-0.5614862797322628,-2.075960453062046,2.075960453062047,1.5793297601074825,1.514474173329784,1.514466748817075
67,-0.7204279283693998,-2.221384267061277,-0.6391482377089592,-2.140107992135418,2.1401079921354174,1.4196800637660174,1.5009597544264581,1.5009563386918772
68,-0.6288862498304871,-2.115251781642089,-0.7343312524068006,-2.220695834939618,2.220695834939618,1.591809585109131,1.4863645825328173,1.486365531811602
69,-0.7412273111863553,-2.2118647832985876,-0.8398273141904462,-2.3104591491836777,2.3104591491836777,1.5692318379973225,1.4706318349932315,1.4706374721122324
70,-1.0055175453641294,-2.4592329072427033,-0.9465822371253825,-2.400286987622888,2.400286987622888,1.3947694422587584,1.4537047504975054,1.4537153618785736
71,-1.1216358101102382,-2.5571786392102043,-1.0445831042744775,-2.4801100992632685,2.48011009926327,1.3584742891530317,1.4355269949887923,1.4355428290999663
72,-1.171917634611601,-2.5879819518880662,-1.1239548407515594,-2.5399978955143796,2.53999789551438,1.3680802609027791,1.4160430547628207,1.4160643172764655
73,-1.1115640437772265,-2.5067895380292207,-1.1761210135380629,-2.571319663032596,2.571319663032596,1.4597556192553693,1.395198649494533,1.3952254942519944
74,-1.2706780046502053,-2.643651681262869,-1.1948626586546562,-2.567803811464011,2.5678038114640116,1.2971258068138063,1.3729411528093554,1.3729736766126637
75,-1.2724616001691487,-2.621719866563951,-1.1771135257840404,-2.5263335302190435,2.5263335302190426,1.253871930049894,1.3492200044350022,1.349258266394802
76,-1.1677830004536978,-2.4918141977527624,-1.1233601736305308,-2.4473472796875857,2.447347279687586,1.2795642792338884,1.3239871060570554,1.3240311972990644
77,-1.0126974445055819,-2.309944832787714,-1.0375662533800114,-2.3347634823747994,2.334763482374799,1.322066037869217,1.2971972289947875,1.2972473882821323
78,-0.9391209564418066,-2.207986159690628,-0.9266090686804378,-2.1954175831106024,2.1954175831106024,1.2562966266687958,1.2688085144301646,1.2688652032488212
79,-0.8148988302167914,-2.0537457467389784,-0.7992976121063773,-2.0380807679303183,2.0380807679303192,1.2231819377135278,1.238783155823942,1.2388469165221871
80,-0.6691883592847835,-1.8763475440163901,-0.6651227756746465,-1.8722110212758545,1.8722110212758545,1.203022661991071,1.207088245601208,1.2071591847316068
81,-0.46580687526108744,-1.639580401874995,-0.5329559879931564,-1.7066525266952692,1.7066525266952692,1.240845651434182,1.1736965387021128,1.1737735266139078
82,-0.3867620844491995,-1.5254288972924217,-0.40994092775791735,-1.548527599837743,1.5485275998377435,1.161765515388544,1.1385866720798261,1.1386668128432222
83,-0.24287495697347286,-1.3446967252345199,-0.3007930911137651,-1.402535470401876,1.402535470401876,1.159660513428403,1.101742379288111,1.101821768261047
84,-0.16672519494038754,-1.2299526835864738,-0.20762845627589585,-1.2707791643282036,1.2707791643282038,1.1040539693878162,1.063150708052308,1.0632274886460862
85,-0.11668326467783034,-1.1395632380181615,-0.13030453942644651,-1.1531048034027949,1.1531048034027949,1.0364215387249645,1.0228002639763483,1.022879973340331
86,-0.0657838163334487,-1.0465664898949567,-0.06711941337237114,-1.04780108347028,1.04780108347028,0.9820172671368314,0.9806816700979089,0.980782673561508
87,-0.06523428693399129,-1.0021813409872828,-0.015627035813776422,-0.9524198696402117,0.9524198696402119,0.8871855827062206,0.9367928338264354,0.9369470540532916
88,-0.10460529222490582,-0.9959984551020867,0.026674983693133092,-0.864475273507185,0.8644752735071849,0.7598699812822791,0.891150257200318,0.891393162877181
89,0.12731307172292305,-0.7168371289935244,0.061944206947164404,-0.7818599806301938,0.7818599806301938,0.9091730523531169,0.8438041875773582,0.8441502007164474
