frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-9.974799696278588,-11.622643451747935,-9.963744436154045,-11.611572844956266,5.999999999999999,-3.9747996962785885,-3.9637444361540455,1.647843755469347
21,-9.487407945508425,-11.135232741526604,-9.518640857268588,-11.16646800743762,6.0,-3.4874079455084246,-3.518640857268588,1.6478247960181784
22,-9.101289843680725,-10.749089842166068,-9.101973678955435,-10.749785991360818,6.0,-3.101289843680725,-3.101973678955435,1.6477999984853424
23,-8.730903425585396,-10.378671382227369,-8.713742901214586,-10.361526796725858,6.0,-2.730903425585396,-2.7137429012145855,1.6477679566419732
24,-8.419121816389989,-10.066848827728837,-8.353948524046023,-10.001690423532732,5.999999999999998,-2.419121816389991,-2.353948524046025,1.647727011338847
25,-7.954171493119277,-9.601846712179452,-8.024536138880826,-9.672223939530301,5.999999999999999,-1.9541714931192775,-2.024536138880827,1.647675219060174
26,-7.711549120792878,-9.359159438972876,-7.7235001683189495,-9.371120312821269,5.999999999999999,-1.7115491207928786,-1.7235001683189504,1.6476103181799977
27,-7.402565656928299,-9.05009535012859,-7.448644511724691,-9.096181874152496,5.999999999999999,-1.4025656569283003,-1.4486445117246918,1.647529693200291
28,-7.159106260629829,-8.806536596141186,-7.1964909118335,-8.843927782612518,6.0,-1.1591062606298292,-1.1964909118335,1.6474303355113573
29,-6.980856998090117,-8.628165801015385,-6.962535042375615,-8.60985009216532,6.000000000000001,-0.9808569980901165,-0.962535042375614,1.6473088029252683
30,-6.794257216658997,-8.441418392760744,-6.7424345100039,-8.389602330164784,6.0,-0.7942572166589974,-0.7424345100038998,1.6471611761017466
31,-6.582269659015522,-8.229252671613665,-6.5323483486899585,-8.179338784504752,5.999999999999999,-0.5822696590155232,-0.5323483486899594,1.6469830125981426
32,-6.34218145140334,-7.988950749819821,-6.329652461861857,-7.976430104021713,6.0,-0.34218145140333966,-0.3296524618618566,1.6467692984164817
33,-6.138064610414795,-7.784579007474989,-6.133222901153113,-7.779746575921081,6.0,-0.13806461041479512,-0.13322290115311297,1.6465143970601943
34,-5.965098827884224,-7.611310824058662,-5.943251717672686,-7.589473873117216,5.999999999999998,0.03490117211577459,0.05674828232731244,1.6462119961744381
35,-5.76219873333279,-7.408053785048869,-5.760792313066036,-7.4066583558508725,6.000000000000002,0.23780126666721202,0.2392076869339661,1.645855051716079
36,-5.52816641884565,-7.173602148656544,-5.58707942290264,-7.232526952491385,6.0,0.4718335811543497,0.41292057709735985,1.6454357298108935
37,-5.3214206669646815,-6.9663660133148415,-5.422915320679928,-7.067873278800147,5.999999999999999,0.6785793330353176,0.5770846793200715,1.6449453463501595
38,-5.3386056137555284,-6.982979918197993,-5.26831262216099,-6.912700372655467,6.000000000000002,0.6613943862444733,0.7316873778390116,1.6443743044424641
39,-5.160501126734799,-6.80421315658808,-5.12246910997977,-6.766195448405,6.0,0.8394988732652013,0.8775308900202301,1.643712029853282
40,-4.9963514204165165,-6.639298325005104,-4.984040495892005,-6.627002597583067,5.999999999999998,1.0036485795834817,1.0159595041079932,1.6429469045885874
41,-4.878855418441559,-6.520921617251092,-4.851563245858495,-6.493645550450959,6.0,1.1211445815584407,1.148436754141505,1.642066198809533
42,-4.637512620987807,-6.27856862227407,-4.7238573324747986,-6.364930361586864,6.0,1.362487379012193,1.2761426675252014,1.6410560012862638
43,-4.677742506043669,-6.317643654680182,-4.600281305994997,-6.240200411819849,6.0,1.3222574939563314,1.3997186940050028,1.6399011486365138
44,-4.448746389313122,-6.087331542945636,-4.480792493962026,-6.119396535822719,5.975853025149181,1.5271066358360592,1.4950605311871552,1.6385851536325138
45,-4.3798305303679355,-6.016920663276043,-4.3658467265426015,-6.002956674385807,5.925177478788369,1.5453469484204332,1.5593307522457671,1.6370901329081073
46,-4.255328712951879,-5.890725447410082,-4.2562194896263446,-5.891636954292751,5.849842348875635,1.5945136359237555,1.5936228592492903,1.6353967344582032
47,-4.154754000351984,-5.7882380657502575,-4.152834267337365,-5.786339958002143,5.765175290433426,1.610421290081442,1.6123410230960609,1.6334840653982736
48,-4.054179287758035,-5.685508908304449,-4.056653580380533,-5.688005690259281,5.681086955212411,1.6269076674543763,1.6244333748318782,1.6313296205464143
49,-3.9536045750818953,-5.5825137875888995,-3.9686455227538016,-5.5975780446465535,5.597578044646553,1.6439734695646573,1.628932521892751,1.6289092125070037
50,-3.953815564191775,-5.580012468267594,-3.889801934186064,-5.516022908192195,5.516022908192196,1.5622073440004205,1.6262209740061317,1.626196904075818
51,-3.7524551489999336,-5.375620092952561,-3.8211624556937016,-5.444352152424462,5.444352152424461,1.6918970034245273,1.6231896967307593,1.6231649439526268
52,-3.7524551483880018,-5.372238855326142,-3.7637930519792375,-5.3836020957946324,5.383602095794633,1.6311469474066316,1.6198090438153958,1.61978370693814
53,-3.7574176145703513,-5.373439254574983,-3.7186769783351687,-5.334724416587612,5.334724416587611,1.5773068020172598,1.6160474382524423,1.616021640004631
