frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-5.700492355773556,-7.348336111242903,-5.644341685041042,-7.292170093843272,6.0,0.29950764422644394,0.3556583149589576,1.647843755469347
21,-5.162228135322769,-6.810052931340947,-5.20733679796554,-6.855163948134579,6.0,0.8377718646772312,0.7926632020344604,1.6478247960181784
22,-4.764882695812277,-6.41268269429762,-4.794024398633466,-6.441836711038857,5.913259273015184,1.1483765772029066,1.1192348743817178,1.6477999984853424
23,-4.3874387522260285,-6.035206708868001,-4.404404487044824,-6.052188382556103,5.751263494622218,1.3638247423961891,1.346859007577394,1.6477679566419732
24,-4.004009878183808,-5.651736889522655,-4.038477063199605,-5.686218962686314,5.524534068619199,1.520524190435391,1.4860570054195943,1.647727011338847
25,-3.7022857402527682,-5.349960959312942,-3.697952043457596,-5.3456398441070725,5.270129318023915,1.5678435777711464,1.5721772745663185,1.647675219060174
26,-3.3585759336409198,-5.0061862518209175,-3.3807860832974663,-5.0284062277997865,5.005670922789318,1.6470949891483984,1.6248848394918518,1.6476103181799977
27,-3.095999252201239,-4.74352894540153,-3.0851225340805777,-4.732659896508384,4.732659896508384,1.636660644307145,1.6475373624278062,1.647529693200291
28,-2.8466310420864454,-4.494061377597802,-2.8084320097875053,-4.455868880566525,4.455868880566524,1.609237838480079,1.647436870779019,1.6474303355113573
29,-2.55925674068555,-4.206565543610818,-2.5478669733840347,-4.195182023173741,4.195182023173741,1.635925282488191,1.6473150497897064,1.6473088029252683
30,-2.2833308283201625,-3.930492004421909,-2.301326871151334,-3.94849469131222,3.9484946913122214,1.6651638629920589,1.6471678201608873,1.6471611761017466
31,-2.0683897384692878,-3.7153727510674304,-2.067353343166805,-3.7143437789815996,3.7143437789815996,1.6459540405123119,1.6469904358147947,1.6469830125981426
32,-1.8634667336974742,-3.510236032113956,-1.8453930312774571,-3.4921706734373146,3.492170673437314,1.62870393973984,1.646777642159857,1.6467692984164817
33,-1.6679451657744366,-3.3144595628346307,-1.6357060429669015,-3.2822297177348707,3.2822297177348725,1.6142845519604359,1.646523674767971,1.6465143970601943
34,-1.3890673494481567,-3.0352793456225946,-1.4390356061155474,-3.085257761560078,3.085257761560078,1.6961904121119213,1.6462221554445307,1.6462119961744381
35,-1.288492636804479,-2.9343476885205577,-1.2562999198153164,-2.9021659626001535,2.902165962600154,1.613673325795675,1.6458660427848375,1.645855051716079
36,-1.0821262968959604,-2.727562026706854,-1.0882021704999656,-2.7336497000887103,2.7336497000887103,1.65152340319275,1.6454475295887447,1.6454357298108935
37,-0.8861937862297669,-2.531139132579926,-0.9349165478618109,-2.5798745059820307,2.579874505982031,1.6936807197522643,1.6449579581202203,1.6449453463501595
38,-0.7856190735860861,-2.4299933780285503,-0.7958977611461074,-2.440285511640586,2.440285511640587,1.6546664380545009,1.6443877504944795,1.6443743044424641
39,-0.6850443609424086,-2.3287563907956903,-0.6698324246794898,-2.313558763104721,2.313558763104721,1.6285144021623126,1.6437263384252314,1.643712029853282
40,-0.584469648298764,-2.2274165528873513,-0.5547633282320892,-2.1977254299231515,2.1977254299231515,1.6132557816243875,1.6429621016910623,1.6429469045885874
41,-0.38386791637891443,-2.0259341151884476,-0.44834989890091975,-2.0904322034933855,2.090432203493385,1.7065642871144706,1.6420823045924653,1.642066198809533
42,-0.3833202230115064,-2.0243762242977703,-0.34820510323953474,-1.9892781323516,1.9892781323516007,1.6059579093400942,1.6410730291120659,1.6410560012862638
43,-0.2827455103662199,-1.9226466590027338,-0.25222751679171784,-1.8921466226165706,1.8921466226165709,1.6094011122503509,1.639919105824853,1.6399011486365138
44,-0.15694577368247611,-1.79553092731499,-0.15884383887817433,-1.7974478807388679,1.7974478807388676,1.6405021070563914,1.6386040418606933,1.6385851536325138
45,-0.08159608507463326,-1.7186862179827407,-0.06710831282494698,-1.7042182606681535,1.7042182606681533,1.62262217559352,1.6371099478432063,1.6370901329081073
46,0.018978627553151908,-1.6164181069050514,0.02334979948394305,-1.6120676651824648,1.6120676651824648,1.6310462927356166,1.635417464666408,1.6353967344582032
47,0.11955334015305094,-1.5139307252452228,0.11249143492874583,-1.5210142557360355,1.5210142557360358,1.6405675958890866,1.6335056906647816,1.6334840653982736
48,0.22012805274700006,-1.4112015677994143,0.20007533942382938,-1.43127677045492,1.4312767704549199,1.6514048232019198,1.6313521098787493,1.6313296205464143
49,0.32070276542313697,-1.3082064470838668,0.2858363704206963,-1.3430961514720567,1.3430961514720567,1.6637989168951937,1.628932521892753,1.6289092125070037
50,0.3207027656758645,-1.3054941383999534,0.36958757146593846,-1.2566334025401922,1.2566334025401922,1.5773361682160567,1.6262209740061306,1.626196904075818
51,0.421277478861421,-1.2018874650912057,0.4512385303081151,-1.1719511664226439,1.1719511664226436,1.5932286452840647,1.6231896967307589,1.6231649439526268
52,0.5688238105096323,-1.0509598964285076,0.5307575074892537,-1.0890515363261413,1.0890515363261413,1.6578753468357736,1.619809043815395,1.61978370693814
53,0.6224269047388097,-0.9935947352658213,0.6081195947762987,-1.0079278434761432,1.0079278434761434,1.6303547482149532,1.6160474382524421,1.616021640004631
54,0.6224269029619391,-0.9894183128960579,0.6832733824060251,-0.9285979435248026,0.9285979435248026,1.5510248464867418,1.6118713259308277,1.611845215857997
55,0.8235763237573794,-0.7836425720873661,0.7561330639353627,-0.8511120748872336,0.8511120748872337,1.674688398644613,1.6072451388225963,1.6072188958447455
56,0.8235763169178764,-0.778528787370843,0.826578439417583,-0.7755528303965544,0.7755528303965546,1.599129147314431,1.6021312698141377,1.6021051042887193
57,0.8252959001535904,-0.7711683164011549,0.8944368548383109,-0.7020532066519789,0.7020532066519787,1.5273491068055691,1.5964900614902895,1.5964642165547454
58,1.0247257378427228,-0.5655288254701547,0.9594345582232788,-0.6308452531210944,0.6308452531210945,1.6555709909638172,1.5902798113443732,1.5902545633128775
59,1.0247257571249013,-0.5587066964740954,1.021133532720298,-0.5623232632717482,0.5623232632717482,1.5870490203966496,1.583456795992046,1.5834324535989968
60,1.0247258030505486,-0.5512264162660323,1.078895567223848,-0.49707974977094976,0.49707974977094976,1.5218055528214984,1.5759753169947979,1.575952219316581
61,1.1253005886188403,-0.4424656951637902,1.1319204520890696,-0.43586731874622153,0.4358673187462216,1.561167907365062,1.5677877708352912,1.5677662837826305
62,1.2258753819395707,-0.33294987483376004,1.1793819812661397,-0.3794627641518974,0.3794627641518974,1.605338146091468,1.5588447454180372,1.5588252567733307
63,1.2258754211859761,-0.32320263707577146,1.220641234977394,-0.32845391020812176,0.3284539102081218,1.554329331394098,1.549095145185516,1.5490780582617476
64,1.2258753372977187,-0.31259673535924093,1.2554717211182702,-0.28301462545894973,0.2830146254589498,1.5088899627566685,1.53848634657722,1.5384720726569596
65,1.3264497435573117,-0.2005035912983757,1.2842090781089843,-0.2427553067817131,0.24275530678171306,1.5692050503390247,1.5269643848906973,1.5269533348556874
