frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-15.395409389732722,-17.04325314520207,-15.355485648451385,-17.003314057253643,5.999999999999999,-9.395409389732723,-9.355485648451385,1.647843755469347
21,-14.537781311367675,-16.185606107385855,-14.655754459663376,-16.303581609832438,6.0,-8.537781311367675,-8.655754459663376,1.6478247960181784
22,-14.013775995675767,-15.661575994161108,-13.974685341440145,-15.622497653845553,5.999999999999999,-8.013775995675768,-7.9746853414401455,1.6477999984853424
23,-13.409750177468787,-15.05751813411076,-13.312278293781693,-14.960062189292989,6.000000000000001,-7.409750177468786,-7.312278293781692,1.6477679566419732
24,-12.693179785706196,-14.340906797045044,-12.66853331668801,-14.316275216174729,5.999999999999998,-6.693179785706198,-6.668533316688011,1.647727011338847
25,-11.89004542367326,-13.537720642733435,-12.042669869371814,-13.690357670021292,6.0,-5.890045423673261,-6.042669869371814,1.647675219060174
26,-11.502886609264099,-13.150496927444097,-11.435716129257333,-13.083336273759656,6.0,-5.502886609264099,-5.435716129257333,1.6476103181799977
27,-10.9274458900629,-12.57497558326319,-10.848528064024553,-12.496065426452361,6.0,-4.9274458900629,-4.848528064024553,1.647529693200291
28,-10.32890439788469,-11.976334733396047,-10.282141440758705,-11.929578311537725,6.0,-4.32890439788469,-4.282141440758705,1.6474303355113573
29,-9.533378970479811,-11.18068777340508,-9.73751597868867,-11.384831028478374,6.000000000000001,-3.53337897047981,-3.737515978688669,1.6473088029252683
30,-9.201534329657077,-10.848695505758824,-9.21493253672269,-10.862100356883575,6.000000000000002,-3.2015343296570755,-3.2149325367226886,1.6471611761017466
31,-8.771652149955333,-10.418635162553475,-8.713971386003626,-10.360961821818421,5.999999999999999,-2.771652149955334,-2.713971386003627,1.6469830125981426
32,-8.261231427768022,-9.908000726184504,-8.233300408209992,-9.88007805036985,6.0,-2.2612314277680223,-2.233300408209992,1.6467692984164817
33,-7.870188291921956,-9.51670268898215,-7.770668558573666,-9.417192233341636,6.0,-1.8701882919219557,-1.7706685585736661,1.6465143970601943
34,-7.203141568350572,-8.84935356452501,-7.323095896570177,-8.969318052014707,5.999999999999998,-1.2031415683505742,-1.3230958965701785,1.6462119961744381
35,-6.8188137343663024,-8.464668786082381,-6.887181288930344,-8.533047331715181,6.0,-0.8188137343663024,-0.8871812889303436,1.645855051716079
36,-6.4723957434122,-8.117831473223093,-6.459606944659084,-8.10505447424783,5.999999999999999,-0.4723957434122008,-0.45960694465908514,1.6454357298108935
37,-6.13214050355977,-7.777085849909929,-6.037709231144018,-7.682667189264237,6.000000000000001,-0.1321405035597687,-0.03770923114401725,1.6449453463501595
38,-5.580064393139683,-7.224438697582147,-5.619967880472277,-7.2643556309667545,6.000000000000001,0.41993560686031817,0.38003211952772364,1.6443743044424641
39,-5.258724192866628,-6.90243622271991,-5.2062437086976985,-6.8499700471229295,6.0,0.7412758071333716,0.7937562913023015,1.643712029853282
40,-4.987785858360174,-6.630732762948761,-4.7976242637805075,-6.440586365471569,5.917283896209378,0.9294980378492044,1.1196596324288706,1.6429469045885874
41,-4.347924999988488,-5.989991198798021,-4.395886274334849,-6.037968578927316,5.744287191585998,1.3963621915975093,1.3484009172511486,1.642066198809533
42,-3.7005312488382835,-5.341587250124547,-4.002741846073393,-5.643814875185459,5.487871564249195,1.7873403154109115,1.485129718175802,1.6410560012862638
