frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-8.56034636643554,-10.208190121904888,-8.793984561909637,-10.441812970711883,5.999999999999999,-2.5603463664355415,-2.793984561909638,1.647843755469347
21,-8.660508154579576,-10.308332950597755,-8.397528982322466,-10.045356132491518,6.0,-2.660508154579576,-2.3975289823224664,1.6478247960181784
22,-8.238855254023372,-9.886655252508714,-8.023420786714166,-9.671233099119567,6.0,-2.238855254023372,-2.0234207867141656,1.6477999984853424
23,-7.525976413419121,-9.173744370061094,-7.671659975084739,-9.319443870596029,6.000000000000002,-1.5259764134191194,-1.6716599750847374,1.6477679566419732
24,-7.196270543035393,-8.84399755437424,-7.342246547434174,-8.989988446920886,5.999999999999997,-1.1962705430353955,-1.3422465474341765,1.647727011338847
25,-7.138916024484956,-8.78659124354513,-7.033734021290076,-8.681421821939555,6.000000000000001,-1.1389160244849554,-1.0337340212900754,1.647675219060174
26,-6.74567070293731,-8.393281021117307,-6.74838713772842,-8.396007282230741,5.999999999999999,-0.7456707029373106,-0.7483871377284208,1.6476103181799977
27,-6.544521277649952,-8.192050970850243,-6.48782528774331,-8.135362650171116,5.999999999999998,-0.5445212776499542,-0.4878252877433118,1.647529693200291
28,-6.364250320577072,-8.01168065608843,-6.25340936560338,-7.9008462363823995,6.000000000000001,-0.36425032057707085,-0.2534093656033791,1.6474303355113573
29,-5.842310155156545,-7.489618958081813,-6.045345169288007,-7.6926602190777125,6.000000000000001,0.15768984484345605,-0.045345169288006026,1.6473088029252683
30,-5.7768908818803215,-7.424052057982069,-5.861314826678388,-7.5084826468392745,6.0,0.22310911811967848,0.1386851733216119,1.6471611761017466
31,-5.701010484110937,-7.34799349670908,-5.696753672832112,-7.343744108646907,5.999999999999998,0.298989515889061,0.30324632716788624,1.6469830125981426
32,-5.399943115121609,-7.04671241353809,-5.545296618179921,-7.192074260339779,5.999999999999999,0.6000568848783905,0.4547033818200781,1.6467692984164817
33,-5.639348863856838,-7.285863260917032,-5.400055863324361,-7.046579538092331,6.000000000000001,0.36065113614316324,0.5999441366756395,1.6465143970601943
34,-5.237050013282128,-6.883262009456566,-5.255281553172066,-6.9015037086165965,5.999999999999997,0.7629499867178691,0.7447184468279318,1.6462119961744381
35,-5.313597464164341,-6.95945251588042,-5.107693126970442,-6.753559169755281,6.000000000000002,0.6864025358356605,0.8923068730295594,1.645855051716079
36,-5.073213020667167,-6.71864875047806,-4.9571803395210265,-6.602627869109773,5.999999999999999,0.9267869793328325,1.0428196604789726,1.6454357298108935
37,-4.553141967305116,-6.198087313655275,-4.806544860093849,-6.451502818214071,6.0,1.4468580326948839,1.1934551399061508,1.6449453463501595
38,-4.6947488912974675,-6.339123195739932,-4.660399088688707,-6.304786839183187,5.999999999999999,1.3052511087025316,1.339600911311292,1.6443743044424641
39,-4.430483322439242,-6.074195352292524,-4.523654036737353,-6.167380375162586,5.9809474124882644,1.5504640900490223,1.4572933757509112,1.643712029853282
40,-4.432452312132736,-6.0753992167213235,-4.400122462175749,-6.043084563866813,5.941138354641837,1.508686042509101,1.5410158924660884,1.6429469045885874
41,-4.161286599446601,-5.803352798256134,-4.2916899384571074,-5.9337722430495745,5.882228686793869,1.720942087347268,1.590538748336762,1.642066198809533
42,-4.231302886845477,-5.872358888131741,-4.198219917736134,-5.8392929468482,5.8165037272374045,1.585200840391927,1.6182838095012704,1.6410560012862638
43,-4.3353397073578455,-5.975240855994359,-4.118041575732496,-5.75796068155735,5.751521849976003,1.4161821426181573,1.6334802742435066,1.6399011486365138
44,-3.9614877198661036,-5.600072873498617,-4.0486631059479,-5.687267147808594,5.687267147808593,1.7257794279424896,1.6386040418606935,1.6385851536325138
45,-3.929578748908605,-5.566668881816712,-3.987339808326957,-5.624449756170163,5.624449756170164,1.694871007261559,1.6371099478432072,1.6370901329081073
46,-3.9295787489244978,-5.564975483382701,-3.9313027045329667,-5.566720169199375,5.5667201691993755,1.6371414202748777,1.6354174646664088,1.6353967344582032
47,-3.92957874896828,-5.563062814366553,-3.8777090776537833,-5.511214768318563,5.511214768318565,1.581636019350285,1.6335056906647818,1.6334840653982736
48,-3.6680844961444423,-5.299414116690857,-3.823566519812667,-5.4549186296914165,5.454918629691416,1.7868341335469733,1.6313521098787485,1.6313296205464143
49,-3.8290040363418667,-5.45791324884887,-3.7659031658345348,-5.394835687727287,5.394835687727288,1.5658316513854214,1.6289325218927533,1.6289092125070037
