frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-6.3534497982956335,-8.001293553764981,-6.367370779873705,-8.015199188675941,5.999999999999999,-0.3534497982956344,-0.36737077987370625,1.647843755469347
21,-6.353449798295629,-8.001274594313807,-6.351506465895999,-7.999333616065042,6.0,-0.35344979829562906,-0.35150646589599877,1.6478247960181784
22,-6.3534497982956255,-8.001249796780968,-6.342132853298849,-7.989945165704239,6.0,-0.3534497982956255,-0.3421328532988488,1.6477999984853424
23,-6.353449798295619,-8.001217754937592,-6.339249942082255,-7.987033837593534,5.999999999999999,-0.3534497982956202,-0.33924994208225545,1.6477679566419732
24,-6.353449798295616,-8.001176809634462,-6.342857732246207,-7.990599631732915,5.999999999999998,-0.3534497982956175,-0.34285773224620897,1.647727011338847
25,-6.353449798295612,-8.001125017355786,-6.353350743983181,-8.001038544632655,6.000000000000001,-0.3534497982956113,-0.3533507439831798,1.647675219060174
26,-6.353449798295606,-8.001060116475603,-6.370484170330267,-8.018104314832584,6.0,-0.35344979829560597,-0.3704841703302666,1.6476103181799977
27,-6.353449798295602,-8.000979491495894,-6.393808462869355,-8.04134582529716,6.0,-0.3534497982956024,-0.3938084628693552,1.647529693200291
28,-6.454024510939276,-8.101454846450633,-6.422352699881821,-8.06978957066084,6.0,-0.4540245109392762,-0.422352699881821,1.6474303355113573
29,-6.4540245109392735,-8.101333313864542,-6.454525969393797,-8.101841019183501,6.000000000000001,-0.45402451093927265,-0.45452596939379575,1.6473088029252683
30,-6.4540245109392735,-8.10118568704102,-6.488270892300853,-8.135438712461736,6.0,-0.45402451093927354,-0.48827089230085274,1.6471611761017466
31,-6.554599223582951,-8.201582236181093,-6.521288820728413,-8.168279256543206,5.999999999999999,-0.5545992235829518,-0.5212888207284143,1.6469830125981426
32,-6.55459922358295,-8.20136852199943,-6.551479095869251,-8.198256738029105,5.999999999999999,-0.5545992235829509,-0.5514790958692517,1.6467692984164817
33,-6.55459922358295,-8.201113620643145,-6.57742423886607,-8.223947913634039,6.0,-0.55459922358295,-0.5774242388660698,1.6465143970601943
34,-6.65517393622663,-8.301385932401068,-6.598767023511628,-8.244989178956159,5.999999999999998,-0.6551739362266318,-0.5987670235116296,1.6462119961744381
35,-6.655173936226632,-8.301028987942711,-6.616327881266754,-8.262193924051592,6.000000000000001,-0.6551739362266309,-0.616327881266753,1.645855051716079
36,-6.655173936226632,-8.300609666037525,-6.631839772041872,-8.277287301630617,5.999999999999998,-0.6551739362266336,-0.6318397720418734,1.6454357298108935
37,-6.55459922358295,-8.19954456993311,-6.647301424114084,-8.292259382234304,6.0,-0.55459922358295,-0.647301424114084,1.6449453463501595
38,-6.655173936226632,-8.299548240669097,-6.664082301666403,-8.308470052160882,6.000000000000001,-0.6551739362266309,-0.6640823016664017,1.6443743044424641
39,-6.655173936226632,-8.298885966079913,-6.682027475179949,-8.325753813605182,6.0,-0.6551739362266318,-0.6820274751799493,1.643712029853282
40,-6.655173936226664,-8.298120840815251,-6.698857880724725,-8.341819982415789,5.999999999999999,-0.6551739362266646,-0.6988578807247263,1.6429469045885874
41,-6.655173936226848,-8.29724013503638,-6.710109580712546,-8.352191885305011,5.999999999999999,-0.6551739362268485,-0.7101095807125466,1.642066198809533
42,-6.7557486488704415,-8.396804650156705,-6.709714086302718,-8.350787115414782,6.0,-0.7557486488704415,-0.7097140863027178,1.6410560012862638
43,-6.755748648868833,-8.395649797505346,-6.691132489248536,-8.33105159507339,6.0,-0.755748648868833,-0.6911324892485364,1.6399011486365138
44,-6.655173936221543,-8.293759089854056,-6.64878132797497,-8.287385369835665,6.0,-0.6551739362215434,-0.6487813279749703,1.6385851536325138
45,-6.6551739362209235,-8.29226406912903,-6.579388334071192,-8.216498281914397,5.999999999999999,-0.6551739362209243,-0.5793883340711927,1.6370901329081073
46,-6.535059030613955,-8.170455765072159,-6.482925047094445,-8.118342511760854,6.0,-0.5350590306139553,-0.4829250470944446,1.6353967344582032
