frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,0.7184342900170276,-0.9294094654523194,0.7096414974862876,-0.9381869113159459,0.9381869113159457,1.6566212013329733,1.6478284088022332,1.647843755469347
21,1.0889456437544218,-0.5588791522637566,1.0936983241661409,-0.5541288260029014,0.5541288260029013,1.6430744697573232,1.647827150169042,1.6478247960181784
22,1.4409571380073012,-0.20684286047804123,1.463248801173249,-0.18456351123214243,0.18456351123214237,1.6255206492394436,1.6478123124053914,1.6477999984853424
23,1.843255988582019,0.19548803194004583,1.8182929285076121,0.1705090329963307,-0.17050903299633074,1.6727469555856882,1.6477838955112813,1.6477679566419732
24,2.1449801265130586,0.49725311517421167,2.158830706169229,0.5110888066825187,-0.5110888066825185,1.63389131983054,1.6477418994867103,1.647727011338847
25,2.4799061748861977,0.8322309558260237,2.4848831704783514,0.8371953698288757,-0.8371953698288757,1.642710805057322,1.6476878006494757,1.647675219060174
26,2.8490031150188133,1.2013927968388156,2.7964938425342396,1.1488736980319185,-1.1488736980319185,1.7001294169868948,1.647620144502321,1.6476103181799977
27,3.0501525403061747,1.4026228471058837,3.093599392881645,1.446062030453838,-1.4460620304538383,1.6040905098523364,1.647537362427807,1.647529693200291
28,3.3518766782372125,1.7044463427258552,3.3759987272618224,1.728561856482802,-1.7285618564828014,1.623314821754411,1.647436870779021,1.6474303355113573
29,3.6400206203331527,1.9927118174078844,3.643359921990744,1.9960448722010378,-1.9960448722010384,1.6439757481321142,1.6473150497897056,1.6473088029252683
30,3.915946532698544,2.2687853565967973,3.8953033833646855,2.2481355632037996,-2.2481355632038,1.6678109694947438,1.6471678201608855,1.6471611761017466
31,4.156474379386639,2.509491366788496,4.131638476697136,2.484648040882341,-2.484648040882341,1.6718263385042977,1.6469904358147947,1.6469830125981426
32,4.357623804673998,2.7108545062575162,4.3526001790271,2.705822536867242,-2.7058225368672417,1.6518012678067562,1.646777642159858,1.6467692984164817
33,4.5587732299613535,2.912258832901159,4.559035287884491,2.91251161311652,-2.9125116131165205,1.646261616844833,1.6465236747679706,1.6465143970601943
34,4.759922655248711,3.1137106590742727,4.752439582435,3.106217426990468,-3.106217426990467,1.6537052282582438,1.6462221554445327,1.6462119961744381
35,4.9610720805360655,3.3152170288199865,4.934781821727396,3.288915778942558,-3.2889157789425587,1.6721563015935068,1.6458660427848377,1.645855051716079
36,5.072080622422068,3.4266448926111748,5.108160511353675,3.4627129817649283,-3.462712981764929,1.609367640657139,1.6454475295887456,1.6454357298108935
37,5.262796218467099,3.61785087211694,5.2743814665141855,3.629423508393964,-3.629423508393964,1.6333727100731354,1.6449579581202216,1.6449453463501595
38,5.408567233485135,3.7641929290426708,5.434594252224775,3.7902065017302955,-3.790206501730296,1.618360731754839,1.644387750494479,1.6443743044424641
39,5.564520356398137,3.920808326544855,5.5891153595221565,3.945389021096924,-3.9453890210969242,1.6191313353012124,1.6437263384252323,1.643712029853282
40,5.728670062716419,4.0857231581278315,5.737499778230111,4.094537676539048,-4.094537676539048,1.634132386177371,1.6429621016910634,1.6429469045885874
41,5.965176126870658,4.3231099280611245,5.878840590157952,4.236758285565485,-4.236758285565484,1.7284178413051734,1.642082304592468,1.642066198809533
42,5.966819206972716,4.325763205686453,6.0121934541026985,4.371120424990633,-4.371120424990635,1.5956987819820814,1.6410730291120634,1.6410560012862638
43,6.16796863226168,4.528067483625166,6.136979057040476,4.497059951215622,-4.497059951215622,1.6709086810460576,1.6399191058248537,1.6399011486365138
44,6.243643704374652,4.605058550742139,6.253227122776869,4.614623080916175,-4.614623080916174,1.6290206234584783,1.6386040418606953,1.6385851536325138
45,6.369118057553269,4.732027924645162,6.361584795431467,4.724474847588259,-4.724474847588257,1.644643209965012,1.6371099478432098,1.6370901329081073
46,6.470062887229044,4.834666152770842,6.463100185774056,4.827682721107648,-4.827682721107648,1.6423801661213968,1.6354174646664088,1.6353967344582032
47,6.57026748278095,4.936783417382676,6.558874906251993,4.92536921558721,-4.925369215587211,1.6448982671937387,1.6335056906647818,1.6334840653982736
48,6.5702674827312215,4.938937862184807,6.64972589053669,5.018373780657939,-5.01837378065794,1.551893702073282,1.6313521098787502,1.6313296205464143
49,6.7714169080510365,5.142507695544033,6.735989900668473,5.107057378775718,-5.107057378775716,1.6643595292753206,1.6289325218927573,1.6289092125070037
50,6.771416908303765,5.145220004227947,6.817546746638441,5.191325772632309,-5.191325772632308,1.5800911356714566,1.6262209740061326,1.626196904075818
51,6.972566334133003,5.349401390180375,6.89405026321746,5.270860566486701,-5.2708605664867,1.7017057676463025,1.6231896967307602,1.6231649439526268
52,6.972566334744935,5.352782627806795,6.965271347489461,5.345462303674065,-5.345462303674064,1.6271040310708713,1.6198090438153967,1.61978370693814
53,6.972566334723033,5.3565446947184014,7.031407999789476,5.4153605615370335,-5.415360561537035,1.5572057731859976,1.6160474382524406,1.616021640004631
54,7.158054110938461,5.546208895080464,7.093223701412608,5.48135237548178,-5.481352375481779,1.6767017354566818,1.6118713259308288,1.611845215857997
55,7.173715753741603,5.566496857896857,7.1519375967230765,5.54469245790048,-5.54469245790048,1.6290232958411233,1.6072451388225968,1.6072188958447455
56,7.1737157469021,5.571610642613381,7.208884928594643,5.606753658780503,-5.606753658780505,1.5669620881215947,1.6021312698141381,1.6021051042887193
57,7.175435330137813,5.5789711135830675,7.265059248707472,5.668569187217182,-5.668569187217181,1.5068661429206323,1.5964900614902913,1.5964642165547454
58,7.374865167826946,5.784610604514068,7.32070336309812,5.730423551753747,-5.730423551753747,1.6444416160731992,1.5902798113443737,1.5902545633128775
59,7.3748651871091235,5.791432733510127,7.375108924211297,5.7916521282192495,-5.791652128219251,1.5832130588898723,1.5834567959920456,1.5834324535989968
60,7.374865233034772,5.798913013718191,7.426714214079578,5.850738897084778,-5.850738897084778,1.524126335949994,1.5759753169947999,1.575952219316581
61,7.475440018603063,5.907673734820433,7.4734819329183715,5.905694162083081,-5.905694162083081,1.5697458565199822,1.5677877708352908,1.5677662837826305
62,7.576014811923795,6.017189555150464,7.513435245825466,5.95459050040743,-5.9545905004074315,1.6214243115163631,1.5588447454180345,1.5588252567733307
63,7.5760148511702,6.026936792908453,7.545171792578017,5.996076647392501,-5.996076647392501,1.579938203777699,1.5490951451855164,1.5490780582617476
64,7.576014767281943,6.0375426946249835,7.568184870527203,6.029698523949983,-6.029698523949984,1.546316243331959,1.5384863465772192,1.5384720726569596
65,7.5760144608978575,6.0490611260421705,7.582895985370733,6.0559316004800365,-6.055931600480035,1.5200828604178227,1.5269643848906984,1.5269533348556874
66,7.576013856252358,6.061547107435283,7.590413315043179,6.0759391417133966,-6.075939141713399,1.5000747145389584,1.5144741733297797,1.514466748817075
67,7.57601297140108,6.075056632709202,7.59213009399576,6.091170339569302,-6.0911703395693015,1.4848426318317784,1.5009597544264581,1.5009563386918772
68,7.576012007127018,6.089646475315416,7.589325672724616,6.102961090191799,-6.102961090191799,1.4730509169352182,1.4863645825328167,1.486365531811602
69,7.576011426042313,6.10537395393008,7.582913700246898,6.112281865253667,-6.112281865253668,1.4637295607886447,1.4706318349932301,1.4706374721122324
70,7.576011974390247,6.122296612511674,7.573408620344835,6.1197038698473305,-6.11970386984733,1.4563081045429174,1.4537047504975051,1.4537153618785736
71,7.576014586777448,6.140471757677481,7.5610879753925095,6.125560980403719,-6.125560980403721,1.4504536063737268,1.4355269949887886,1.4355428290999663
72,7.576020118597923,6.159955801321457,7.546254462698004,6.1302114079351835,-6.1302114079351835,1.4458087106627397,1.4160430547628202,1.4160643172764655
73,7.557162092345799,6.161936598093805,7.529477244223097,6.134278594728563,-6.134278594728563,1.422883497617236,1.3951986494945334,1.3952254942519944
74,7.475465309652371,6.102491633039707,7.511720610637938,6.1387794578285835,-6.1387794578285835,1.3366858518237876,1.3729411528093545,1.3729736766126637
75,7.475476153040375,6.1262178866455725,7.494328797819805,6.145108793384802,-6.1451087933848,1.3303673596555745,1.3492200044350051,1.349258266394802
76,7.475481748409486,6.151450551110422,7.478896579001443,6.154909472944387,-6.154909472944388,1.3205722754650981,1.3239871060570554,1.3240311972990644
77,7.475474918217079,6.178227529934947,7.4670893078373695,6.1698920788425795,-6.1698920788425795,1.3055828393745,1.29719722899479,1.2972473882821323
78,7.475447147624616,6.206581944375794,7.460473450064314,6.191664935634147,-6.191664935634146,1.2837822119904692,1.2688085144301677,1.2688652032488212
79,7.4507784189335196,6.211931502411332,7.4603895501388235,6.221606394314881,-6.2216063943148825,1.229172024618637,1.238783155823941,1.2388469165221871
80,7.464876673799249,6.257717489067642,7.467865672741084,6.260777427139875,-6.2607774271398755,1.2040992466593732,1.2070882456012084,1.2071591847316068
81,7.475182560738803,6.301409034124895,7.483551336118982,6.30985479741687,-6.30985479741687,1.1653277633219332,1.1736965387021119,1.1737735266139078
82,7.47505080781906,6.336383994975838,7.507658316613835,6.369071644534008,-6.369071644534008,1.1059791632850517,1.1385866720798266,1.1386668128432222
83,7.572526042831462,6.470704274570415,7.539917127564087,6.438174748275976,-6.438174748275977,1.1343512945554846,1.10174237928811,1.101821768261047
84,7.575465431832352,6.512237943186266,7.5795780641393495,6.516427356087043,-6.5164273560870445,1.059038075745308,1.063150708052305,1.0632274886460862
85,7.575548579260204,6.552668605919873,7.625486712512696,6.602686448536349,-6.602686448536351,0.9728621307238532,1.0228002639763458,1.022879973340331
86,7.6866769952358895,6.705894321674382,7.676240946218506,6.6955592761205995,-6.695559276120599,0.9911177191152909,0.9806816700979075,0.980782673561508
87,7.77753105248243,6.840583998429138,7.730400044986011,6.7936072111595776,-6.793607211159578,0.9839238413228513,0.9367928338264324,0.9369470540532916
