frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-22.104587834883528,-26.22520858549144,-22.093772663125392,-26.214411658303636,5.999999999999999,-16.104587834883528,-16.093772663125392,4.120620750607913
21,-21.424722540069006,-25.576957684778336,-21.392934158621436,-25.545158679135035,6.0,-15.424722540069006,-15.392934158621436,4.152235144709332
22,-20.72710312027975,-24.907551600303247,-20.720200920544016,-24.900627338905124,6.0,-14.72710312027975,-14.720200920544016,4.180448480023496
23,-20.016009826698706,-24.221269177020243,-20.075572948893136,-24.280817637613904,5.999999999999999,-14.016009826698706,-14.075572948893136,4.205259350321538
24,-19.38376104807191,-23.610427144526145,-19.45905024366877,-23.685729575261345,5.999999999999998,-13.383761048071912,-13.459050243668772,4.2266660964542355
25,-18.738517206337992,-22.98318398124379,-18.87409971221763,-23.118838412952,6.000000000000001,-12.738517206337992,-12.874099712217632,4.244666774905798
26,-18.391676676765485,-22.650935800815745,-18.31604874315813,-22.575467149399593,6.0,-12.391676676765485,-12.316048743158131,4.259259124050261
27,-17.794449057853832,-22.064958531564372,-17.7812160630965,-22.051926160825985,6.0,-11.794449057853832,-11.781216063096501,4.270509473710542
28,-17.355233045344125,-21.633594685930074,-17.265422932296325,-21.544017233485285,6.0,-11.355233045344125,-11.265422932296325,4.278361640585948
29,-16.887160228405858,-21.16994691991757,-16.765070232248846,-21.04810625314022,6.000000000000001,-10.887160228405858,-10.765070232248846,4.282786691511712
30,-16.230126590379864,-20.51386427904066,-16.279424025997198,-20.56340748063497,6.0,-10.230126590379864,-10.279424025997198,4.2837376886607945
31,-15.829416834700925,-20.110563701575806,-15.809700844897137,-20.09106587173705,5.999999999999999,-9.829416834700925,-9.809700844897137,4.281146866874879
32,-15.311379412023928,-19.58630369355039,-15.35869639150134,-19.63378592446795,5.999999999999999,-9.311379412023928,-9.35869639150134,4.274924281526465
33,-14.88429916592725,-19.149257786335443,-14.929532976775771,-19.1945809451608,6.0,-8.88429916592725,-8.929532976775771,4.264958620408194
34,-14.417912594902877,-18.669044650837915,-14.524183447649236,-18.775300752017298,5.999999999999998,-8.417912594902878,-8.524183447649238,4.251132055935038
35,-14.199421167505173,-18.43273572876331,-14.142712387200689,-18.375879167008293,6.000000000000001,-8.199421167505172,-8.142712387200689,4.233314561258136
36,-13.761277030533467,-17.972652148036794,-13.783069651458288,-17.994135991634522,5.999999999999998,-7.761277030533469,-7.783069651458289,4.211375117503325
37,-13.50489756123503,-17.69008976617185,-13.441663039687036,-17.62636039205008,6.0,-7.50489756123503,-7.441663039687036,4.185192204936822
38,-13.038606174490994,-17.19327262563044,-13.114424592036073,-17.268390064801835,6.000000000000001,-7.038606174490993,-7.114424592036072,4.154666451139444
39,-12.864012004790615,-16.983747094636378,-12.797912801808131,-16.916728198492486,6.0,-6.864012004790615,-6.797912801808131,4.119735089845765
40,-12.607910210082283,-16.688297972001745,-12.490111996344208,-16.569359127943137,5.999999999999999,-6.6079102100822835,-6.490111996344209,4.0803877619194635
41,-12.184949991119279,-16.221634903160343,-12.19066031007714,-16.225993510306168,5.999999999999999,-6.18494999111928,-6.190660310077141,4.036684912041063
42,-11.775076832886732,-15.763852260840318,-11.900495989813384,-15.887731992467902,6.000000000000003,-5.77507683288673,-5.900495989813382,3.9887754279535863
43,-11.717978347439258,-15.654892232818645,-11.621122698914666,-15.556347099399284,6.0,-5.717978347439258,-5.621122698914666,3.9369138853793864
44,-11.257205563978735,-15.138681666796094,-11.353799019526933,-15.233487476304886,6.0,-5.257205563978735,-5.353799019526933,3.881476102817359
45,-11.024992158243,-14.84796399874207,-11.09895580843001,-14.920107015058282,5.999999999999998,-5.024992158243002,-5.098955808430011,3.8229718404990702
