frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-4.805339834178699,-8.925960584786612,-4.933497835982223,-9.05413683116049,5.999999999999999,1.1946601658213005,1.066502164017776,4.120620750607913
21,-4.809235223124854,-8.961470367834185,-4.70652324713411,-8.85874776764773,6.0,1.1907647768751461,1.2934767528658897,4.152235144709332
22,-4.567456259176062,-8.747904739199559,-4.494171091077085,-8.674597509438211,6.0,1.432543740823938,1.5058289089229149,4.180448480023496
23,-4.360408038404047,-8.565667388725585,-4.296441367811147,-8.50168605653193,5.999999999999999,1.6395919615959524,1.7035586321888525,4.205259350321538
24,-4.135795098649125,-8.36246119510336,-4.113334077336289,-8.340013408928874,5.999999999999997,1.8642049013508721,1.886665922663708,4.2266660964542355
25,-3.910636530514615,-8.155303305420412,-3.946065976300628,-8.190804677035004,6.0,2.089363469485385,2.053934023699372,4.244666774905798
26,-3.684704609962611,-7.943963734012872,-3.7936879558134393,-8.053106362054901,6.0,2.315295390037389,2.2063120441865607,4.259259124050261
27,-3.686084248032191,-7.956593721742733,-3.6547305806175037,-7.925440678346985,6.0,2.313915751967809,2.3452694193824963,4.270509473710542
28,-3.4597491816376933,-7.738110822223641,-3.52640422599611,-7.804998527185068,5.999999999999999,2.540250818362306,2.473595774003889,4.278361640585948
29,-3.4625561023448994,-7.7453427938566115,-3.404634961539224,-7.687670982430593,6.000000000000001,2.5374438976551015,2.595365038460777,4.282786691511712
30,-3.239382536923389,-7.523120225584183,-3.2848530902642588,-7.568836544902022,6.000000000000001,2.760617463076612,2.715146909735742,4.2837376886607945
31,-3.2461115651350947,-7.527258432009974,-3.162796633290296,-7.444161660130213,5.999999999999998,2.7538884348649035,2.8372033667097023,4.281146866874879
32,-3.0263764255641026,-7.301300707090567,-3.0355819714774586,-7.310671504444068,6.0,2.9736235744358974,2.9644180285225414,4.274924281526465
33,-3.035327558590343,-7.300286178998537,-2.902509406762937,-7.16755737514797,6.0,2.964672441409657,3.097490593237063,4.264958620408194
34,-2.816670292203748,-7.067802348138786,-2.7653451730872383,-7.0164624774553035,5.999999999999997,3.1833297077962492,3.234654826912759,4.251132055935038
35,-2.5981788648060395,-6.831493426064176,-2.628016738240881,-6.861183518048486,6.000000000000001,3.4018211351939613,3.37198326175912,4.233314561258136
36,-2.379749371523674,-6.591124489026999,-2.495828506597896,-6.706894846774134,6.0,3.620250628476326,3.504171493402104,4.211375117503325
37,-2.388880267162733,-6.574072472099555,-2.374451011135548,-6.559148363498595,5.999999999999999,3.611119732837266,3.625548988864451,4.185192204936822
38,-2.1688609120512523,-6.323527363190696,-2.2689431052260853,-6.422908577991846,6.000000000000001,3.8311390879487486,3.7310568947739156,4.154666451139444
39,-2.1744506137723905,-6.294185703618155,-2.1829647325361994,-6.301780129220555,5.999999999999999,3.8255493862276087,3.8170352674637997,4.119735089845765
40,-2.1769163460484395,-6.257304107967903,-2.118199089236033,-6.197446220834958,6.000000000000001,3.8230836539515614,3.881800910763968,4.0803877619194635
41,-2.1761345574917286,-6.212819469532792,-2.073938725678658,-6.109271925907684,5.990925025307856,3.8147904678161275,3.916986299629198,4.036684912041063
42,-1.9448530389763494,-5.933628466929935,-2.046816005552472,-6.034052008206986,5.971927699557464,4.027074660581115,3.9251116940049924,3.9887754279535863
43,-1.9400978681019447,-5.877011753481331,-2.0307620154242,-5.965986415908814,5.943600957218026,4.003503089116081,3.912838941793826,3.9369138853793864
44,-1.9351655404818797,-5.8166416432992385,-2.0173717905172124,-5.89706024729516,5.894977919856838,3.959812379374958,3.8776061293396253,3.881476102817359
45,-1.9308723626663675,-5.753844203165437,-1.9968390366841444,-5.8179902433124155,5.819770329353367,3.8888979666869994,3.8229312926692227,3.8229718404990702
46,-1.9909985060424549,-5.753051941166823,-1.9594722246422893,-5.719748563361563,5.719748563361563,3.728750057319108,3.7602763387192732,3.762053435124368
47,-2.1527118312616462,-5.852231019988652,-1.8975617702361585,-5.595432517381607,5.595432517381605,3.4427206861199586,3.6978707471454464,3.699519188727006
48,-2.106068938153488,-5.742379671457133,-1.8071469629783465,-5.442028027790515,5.442028027790517,3.3359590896370293,3.6348810648121708,3.6363107333036453
49,-1.561367061118918,-5.134870602285545,-1.6891508421775874,-5.26153435220182,5.261534352201821,3.7001672910829027,3.5723835100242334,3.573503541166627
50,-1.4635961161281639,-4.975886270537244,-1.5494734027132917,-5.0610400631001,5.0610400631001005,3.5974439469719366,3.5115666603868085,3.5122901544090803
