frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-24.38349396102018,-28.50411471162809,-24.14598644747384,-28.26662544265206,5.999999999999999,-18.38349396102018,-18.14598644747384,4.120620750607913
21,-23.042853456743085,-27.19508860145242,-23.092366567147764,-27.24459108766134,6.0,-17.042853456743085,-17.092366567147764,4.152235144709332
22,-21.88939358111338,-26.069842061136878,-22.091175718320127,-26.271602136681217,6.0,-15.889393581113382,-16.091175718320127,4.180448480023496
23,-20.86052225413628,-25.06578160445782,-21.142413900990935,-25.34765858971169,5.999999999999999,-14.860522254136281,-15.142413900990935,4.205259350321538
24,-20.11930950160224,-24.345975598056473,-20.24608111516016,-24.47276044675273,5.999999999999998,-14.11930950160224,-14.24608111516016,4.2266660964542355
25,-19.44496721133117,-23.68963398623697,-19.40974108249143,-23.654479783225803,6.000000000000001,-13.444967211331171,-13.40974108249143,4.244666774905798
26,-18.528326111958087,-22.787585236008347,-18.623988954701048,-22.883407360942506,6.0,-12.528326111958087,-12.623988954701048,4.259259124050261
27,-18.045058607006553,-22.315568080717092,-17.8806846972803,-22.151394795009786,6.0,-12.045058607006553,-11.880684697280302,4.270509473710542
28,-17.279001534421514,-21.557363175007463,-17.169293112097122,-21.447887413286082,6.0,-11.279001534421514,-11.169293112097122,4.278361640585948
29,-16.68477724997808,-20.967563941489793,-16.47865855156762,-20.76169457245899,6.000000000000001,-10.68477724997808,-10.47865855156762,4.282786691511712
30,-15.580045419469654,-19.86378310813045,-15.801803736915328,-20.085787191553088,6.0,-9.580045419469654,-9.801803736915328,4.2837376886607945
31,-15.16834547217273,-19.44949233904761,-15.135040617701911,-19.41640564454183,5.999999999999999,-9.168345472172732,-9.135040617701911,4.281146866874879
32,-14.413758739279642,-18.688683020806106,-14.478729390819812,-18.75381892378642,5.999999999999999,-8.413758739279643,-8.478729390819812,4.274924281526465
33,-13.995307575478826,-18.26026619588702,-13.836473522774565,-18.101521491159602,6.0,-7.995307575478826,-7.836473522774565,4.264958620408194
34,-13.218611934225862,-17.4697439901609,-13.21345812969027,-17.464575434058332,5.999999999999998,-7.218611934225864,-7.213458129690272,4.251132055935038
35,-12.611885949703188,-16.845200510961323,-12.615230176454329,-16.848396956261933,6.000000000000001,-6.611885949703187,-6.615230176454328,4.233314561258136
36,-11.952398944173247,-16.16377406167657,-12.04632908099768,-16.257395421173914,5.999999999999998,-5.9523989441732486,-6.0463290809976815,4.211375117503325
37,-11.47630483118547,-15.661497036122292,-11.509357019087203,-15.69405437145025,6.0,-5.47630483118547,-5.5093570190872025,4.185192204936822
38,-11.010013444441434,-15.164679895580878,-11.004510770784055,-15.158476243549817,6.000000000000001,-5.010013444441433,-5.004510770784054,4.154666451139444
39,-10.379578818900596,-14.49931390874636,-10.529499531906445,-14.648314928590803,6.0,-4.379578818900596,-4.5294995319064455,4.119735089845765
40,-10.123477024192269,-14.203864786111733,-10.079942317309762,-14.159189448908691,5.999999999999999,-4.12347702419227,-4.079942317309762,4.0803877619194635
41,-9.700516805229258,-13.73720171727032,-9.650123995526425,-13.68545719575545,5.999999999999998,-3.7005168052292596,-3.6501239955264264,4.036684912041063
42,-9.29064364699671,-13.279419074950296,-9.233978013470693,-13.22121401612521,6.000000000000003,-3.290643646996707,-3.233978013470691,3.9887754279535863
43,-8.94996537515728,-12.886879260536666,-8.826102088771394,-12.76132648925601,6.0,-2.94996537515728,-2.8261020887713943,3.9369138853793864
44,-8.316931922248264,-12.198408025065623,-8.422568945181158,-12.302257401959107,6.0,-2.316931922248264,-2.4225689451811583,3.881476102817359
45,-7.91608270459633,-11.7390545450954,-8.021359976073697,-11.84251118270197,5.999999999999999,-1.916082704596331,-2.0213599760736978,3.8229718404990702
46,-7.789867898967057,-11.551921334091425,-7.622344100112886,-11.38262043883216,6.000000000000001,-1.7898678989670564,-1.622344100112885,3.762053435124368
47,-7.2209812477713236,-10.92050043649833,-7.226851663930782,-10.924722411076232,6.0,-1.2209812477713236,-1.2268516639307823,3.699519188727006
48,-6.892393724478278,-10.528704457781924,-6.837004760632844,-10.471885825445014,6.0,-0.8923937244782776,-0.8370047606328441,3.6363107333036453
49,-6.347691847443702,-9.921195388610329,-6.455017141425843,-10.027400651450076,5.999999999999998,-0.34769184744370385,-0.45501714142584504,3.573503541166627
50,-6.022000674532726,-9.534290828941806,-6.082663890328341,-9.59423055071515,5.999999999999998,-0.022000674532727693,-0.08266389032834276,3.5122901544090803
51,-5.748541194238333,-9.202497232841797,-5.721045691915965,-9.174752793323249,6.0,0.2514588057616667,0.2789543080840353,3.453956038603463
52,-5.465733605180708,-8.865581956659156,-5.370662347681463,-8.770800613443047,5.999999999999999,0.5342663948192907,0.6293376523185366,3.3998483514784477
53,-4.965496734140833,-8.31683504977614,-5.031701329352737,-8.383914493313021,6.000000000000002,1.0345032658591684,0.9682986706472647,3.351338315635306
54,-4.657303413497233,-7.9670816814813055,-4.704376306254369,-8.015638392565876,5.999999999999999,1.3426965865027665,1.2956236937456298,3.309778267984073
55,-4.430620224607909,-7.707075071470495,-4.389144864813309,-7.6676915714664196,6.0,1.5693797753920906,1.610855135186691,3.2764548468625856
56,-4.203079770128705,-7.455619856742232,-4.086697607392735,-7.341909925077243,6.000000000000001,1.7969202298712963,1.9133023926072656,3.2525400866135277
57,-3.747706738269387,-6.98674917209234,-3.7977186933237017,-7.03995884843812,5.999999999999998,2.2522932617306113,2.2022813066762965,3.239042433822953
58,-3.5073848372627556,-6.744144687885084,-3.5225267657225077,-6.7629286714949135,5.999999999999998,2.4926151627372426,2.4774732342774906,3.2367598506223283
59,-3.0643429537224938,-6.310580169501117,-3.2607672364643596,-6.510985766812793,5.999999999999999,2.9356570462775053,2.7392327635356395,3.2462372157786232
60,-3.0649613549614894,-6.33269151981353,-3.0113139078616733,-6.283239364931799,5.96781528499148,2.9028539300299907,2.9565013771298068,3.26773016485204
61,-2.837589769926356,-6.138767092777221,-2.772454152083672,-6.077900169267043,5.899652180845843,3.062062410919487,3.127198028762171,3.301177322850865
62,-2.609547423554323,-5.955730009251026,-2.5423167358752825,-5.892691437810898,5.797350204309918,3.1878027807555953,3.2550334684346356,3.346182585696703
63,-2.380364412363454,-5.78237312224662,-2.319406477416406,-5.725377913132387,5.679611819969897,3.2992474076064426,3.360205342553491,3.4020087098831655
64,-2.053006179729791,-5.520589171895084,-2.1030746113472647,-5.574242210270668,5.559911329712057,3.5069051499822663,3.4568367183647926,3.4675829921652936
65,-1.8698707207071816,-5.411386007445871,-1.8937842709410184,-5.438368290566002,5.438368290566001,3.5684975698588195,3.544584019624983,3.541515286738689
66,-1.689151671661976,-5.311279715790091,-1.6931031935561074,-5.317663805966552,5.317663805966551,3.6285121343045748,3.6245606124104435,3.6221280441281154
67,-1.4610251438801418,-5.16852263810335,-1.5034334096696198,-5.212630213755782,5.212630213755782,3.75160506987564,3.709196804086162,3.707497494223208
68,-1.366218817332387,-5.161723383466981,-1.327542387604965,-5.123943765229914,5.123943765229913,3.757724947897526,3.7964013776249477,3.7955045661345936
69,-1.2164419069919203,-5.100335576418205,-1.1679857483850533,-5.051935665639453,5.051935665639453,3.835493758647533,3.8839499172544,3.8838936694262842
70,-1.0251483220479858,-4.995485403025658,-1.02652283416933,-4.996070509260354,4.9960705092603535,3.9709221872123677,3.9695476750910235,3.970337080977672
71,-0.8107031190458694,-4.8632055296340235,-0.9036375446956453,-4.954532967171019,4.954532967171019,4.14382984812515,4.050895422475374,4.052502410588154
72,-0.8188534587752075,-4.946973930343513,-0.7982873046563775,-4.924043012467716,4.924043012467716,4.105189553692508,4.125755707811338,4.128120471568305
73,-0.6134220019439373,-4.80847286984272,-0.7079915537873385,-4.900008474983577,4.900008474983578,4.286586473039641,4.19201692119624,4.195050867898782
74,-0.6271350031038451,-4.878477730462924,-0.6293156191228493,-4.877068291773099,4.877068291773099,4.249933288669254,4.24775267265025,4.251342727359079
75,-0.6378292077907581,-4.9331174607161286,-0.5587027919892221,-4.849977010102654,4.849977010102654,4.212147802311896,4.291274218113432,4.295288252925371
76,-0.581958144661607,-4.9074252628396255,-0.49348396042422316,-4.814657972445083,4.814657972445084,4.232699827783477,4.321174012020861,4.325467118178018
77,-0.42146764196944675,-4.762247817711097,-0.43280096417403036,-4.769159888099065,4.769159888099065,4.347692246129618,4.336358923925034,4.340780175741651
78,-0.4248241715100166,-4.7652956269110165,-0.3781673022115897,-4.714239496196836,4.714239496196835,4.289415324686818,4.336072193985245,4.3404714554009995
79,-0.4296243665749908,-4.753762338422286,-0.3334758773795162,-4.65337960819836,4.653379608198362,4.223755241623371,4.3199037308188455,4.3241379718472945
80,-0.21027184230582374,-4.50199925336398,-0.30442053580916606,-4.592209309979234,4.592209309979234,4.38193746767341,4.2877887741700675,4.291727411058156
81,-0.2239644559076993,-4.467488745623068,-0.297462605374721,-4.537457826174261,4.537457826174263,4.313493370266563,4.239995220799542,4.243524289715368
82,-0.24262619783959705,-4.42275185463869,-0.31858218476933653,-4.495682341957606,4.495682341957606,4.253056144118009,4.177100157188269,4.180125656799094
83,-0.3681015213768155,-4.470509328871735,-0.3720735315724373,-4.472030064261416,4.472030064261416,4.1039285428846,4.099956532688979,4.102407807494919
84,-0.5151560269973051,-4.526641815967928,-0.4595863418329946,-4.469238021457443,4.469238021457443,3.9540819944601378,4.009651679624448,4.011485788970623
85,-0.5358813282994532,-4.4445490119979905,-0.5795267947969889,-4.486987403703523,4.486987403703524,3.9511060754040708,3.9074606089065353,3.908667683698537
86,-0.6795751512984455,-4.474980904958661,-0.7268650849136371,-4.521663365438982,4.5216633654389815,3.842088214140536,3.7947982805253444,3.795405753660216
87,-0.7937959824211688,-4.467042501803295,-0.8933720459281516,-4.566547498481475,4.566547498481475,3.772751516060306,3.6731754525533233,3.673246519382126
88,-1.0794709189090517,-4.623252657764256,-1.0683084353599939,-4.612469699421743,4.612469699421743,3.532998780512691,3.544161264061749,3.543781738855204
89,-1.2670126181947756,-4.675614674033682,-1.2395717038161171,-4.648923796211961,4.648923796211961,3.3819111780171855,3.409352092395844,3.4086020558389056
90,-1.4584946747402716,-4.727749496615094,-1.3952315853591097,-4.665573005650039,4.665573005650039,3.2070783309097672,3.2703414202909293,3.2692548218748225
91,-1.5301227927784105,-4.657330074184506,-1.5252590995804762,-4.6539407757158555,4.653940775715855,3.123817982937444,3.128681676135378,3.1272072814060956
92,-1.7497242698393078,-4.733540235808944,-1.6231200776404093,-4.608949352769194,4.6089493527691925,2.8592250829298846,2.985829275128783,2.9838159659696353
