frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-8.164454868692383,-12.285075619300297,-8.141043372469385,-12.261682367647653,5.999999999999999,-2.164454868692384,-2.141043372469386,4.120620750607913
21,-7.778661778943758,-11.93089692365309,-7.783130545545346,-11.935355066058964,6.0,-1.778661778943758,-1.7831305455453457,4.152235144709332
22,-7.422044655196471,-11.602493135219966,-7.447584314150388,-11.62801073251151,6.0,-1.422044655196471,-1.4475843141503884,4.180448480023496
23,-7.11647179332166,-11.321731143643198,-7.134404678284513,-11.339649367005292,5.999999999999999,-1.1164717933216606,-1.1344046782845139,4.205259350321538
24,-6.844175765139981,-11.070841861594216,-6.843591637947713,-11.070270969540296,5.999999999999998,-0.8441757651399824,-0.8435916379477151,4.2266660964542355
25,-6.535345193304208,-10.780011968210005,-6.577868062453659,-10.822606763188034,6.000000000000001,-0.5353451933042068,-0.5778680624536578,4.244666774905798
26,-6.266822965815266,-10.526082089865527,-6.334076209040353,-10.593494615281815,6.0,-0.2668229658152663,-0.3340762090403526,4.259259124050261
27,-6.182905737214985,-10.453415210925527,-6.109208468196444,-10.379918565925927,6.0,-0.18290573721498493,-0.10920846819644403,4.270509473710542
28,-5.921197914222278,-10.199559554808225,-5.899021668268771,-10.177615969457728,6.0,0.0788020857777223,0.10097833173122872,4.278361640585948
29,-5.619993500287039,-9.902780191798751,-5.698602377898203,-9.98163839878957,6.000000000000001,0.3800064997129615,0.3013976221017982,4.282786691511712
30,-5.569625853661632,-9.853363542322427,-5.504117797974287,-9.78810125261205,6.0,0.4303741463383677,0.4958822020257134,4.2837376886607945
31,-5.369884085183693,-9.651030952058573,-5.312882891857127,-9.594247918697043,5.999999999999999,0.6301159148163062,0.6871171081428722,4.281146866874879
32,-5.149187294069229,-9.424111575595694,-5.12394774854052,-9.399037281507127,5.999999999999999,0.8508127059307702,0.8760522514594795,4.274924281526465
33,-4.946298349232903,-9.211256969641097,-4.938054863750718,-9.203102832135752,6.0,1.0537016507670973,1.0619451362492818,4.264958620408194
34,-4.758202276160085,-9.009334332095122,-4.757100341803694,-9.008217646171758,5.999999999999998,1.2417977238399134,1.242899658196304,4.251132055935038
35,-4.5545470409952085,-8.787861602253344,-4.58350915907833,-8.816675938885934,6.000000000000001,1.4454529590047924,1.4164908409216705,4.233314561258136
36,-4.338349513870663,-8.549724631373987,-4.419471300008717,-8.630537640184954,5.999999999999998,1.6616504861293349,1.580528699991281,4.211375117503325
37,-4.255328712941696,-8.44052091787852,-4.266354727709137,-8.451052080072184,6.0,1.7446712870583037,1.7336452722908628,4.185192204936822
38,-4.161276060306099,-8.315942511445542,-4.124414718607511,-8.278380191373273,6.000000000000001,1.8387239396939021,1.8755852813924898,4.154666451139444
39,-4.0330721808897385,-8.152807270735504,-3.9928110897392095,-8.111626486423566,6.0,1.9669278191102615,2.0071889102607905,4.119735089845765
40,-3.821139532720296,-7.9015272946397594,-3.8699055111645695,-7.949152642763496,5.999999999999999,2.178860467279703,2.1300944888354296,4.0803877619194635
41,-3.7723012245992025,-7.808986136640266,-3.7537107572080846,-7.789043957437112,5.999999999999999,2.2276987754007966,2.2462892427919146,4.036684912041063
42,-3.6518804370797584,-7.640655865033345,-3.6423634666290106,-7.6295994692835265,6.000000000000003,2.3481195629202443,2.357636533370992,3.9887754279535863
43,-3.5513057244344717,-7.488219609813858,-3.534513962483377,-7.469738362967993,6.0,2.4486942755655283,2.465486037516623,3.9369138853793864
44,-3.390190954099694,-7.271667056917053,-3.429560357413047,-7.309248814190995,6.0,2.609809045900306,2.570439642586953,3.881476102817359
45,-3.365377061146744,-7.188348901645814,-3.3276999037565163,-7.148851110384786,5.999999999999998,2.634622938853254,2.672300096243482,3.8229718404990702
46,-3.249129221234217,-7.011182656358585,-3.2298057505138917,-6.990082089233164,6.0,2.750870778765783,2.7701942494861083,3.762053435124368
47,-3.1554828697929054,-6.855002058519911,-3.137171145647308,-6.835041892792754,6.0,2.8445171302070946,2.862828854352692,3.699519188727006
48,-3.0484321613212515,-6.684742894624897,-3.051197843417885,-6.686078908230053,6.0,2.9515678386787485,2.948802156582115,3.6363107333036453
49,-2.947857448645116,-6.521360989811743,-2.9731363481968156,-6.545519858221047,5.999999999999999,3.052142551354883,3.0268636518031835,3.573503541166627
50,-2.8518401059810228,-6.3641302603901035,-2.90399847467462,-6.415565135061428,5.999999999999999,3.1481598940189763,3.096001525325379,3.5122901544090803
51,-2.847282735206827,-6.30123877381029,-2.844735370546813,-6.298442471954095,5.999999999999999,3.1527172647931723,3.1552646294531863,3.453956038603463
52,-2.8472827345948954,-6.2471310860733436,-2.796693685927019,-6.196831951688603,5.999999999999999,3.1527172654051037,3.20330631407298,3.3998483514784477
53,-2.8360324128612238,-6.18737072849653,-2.7622394463700255,-6.114452610330311,6.000000000000002,3.163967587138778,3.2377605536299763,3.351338315635306
54,-2.746708023749989,-6.056486291734062,-2.7453093491293385,-6.056571435440842,6.0,3.253291976250011,3.2546906508706615,3.309778267984073
55,-2.7467080282419047,-6.02316287510449,-2.7515691587209785,-6.030115865374091,6.0,3.2532919717580953,3.2484308412790215,3.2764548468625856
56,-2.746708035081407,-5.999248121694935,-2.787884285405468,-6.043096603089975,6.000000000000002,3.2532919649185947,3.2121157145945336,3.2525400866135277
57,-2.8472827537603305,-6.086325187583284,-2.8609663549826916,-6.103206510097111,5.999999999999999,3.1527172462396686,3.1390336450173075,3.239042433822953
58,-2.933984710413901,-6.17074456103623,-2.9753284969704197,-6.215730402742826,6.0,3.066015289586099,3.0246715030295803,3.2367598506223283
59,-3.0484321580927745,-6.294669373871398,-3.1309845911471825,-6.3812031214956155,6.000000000000002,2.9515678419072273,2.8690154088528192,3.2462372157786232
60,-3.191703256569232,-6.459433421421272,-3.321552122948633,-6.59347758001876,6.000000000000001,2.808296743430769,2.6784478770513678,3.26773016485204
61,-3.3507542403692816,-6.651931563220147,-3.5334594383131614,-6.838905455496535,6.000000000000002,2.64924575963072,2.4665405616868403,3.301177322850865
62,-3.6741932859274,-7.020375871624102,-3.746760059641592,-7.097134761577211,6.0,2.3258067140726,2.253239940358408,3.346182585696703
63,-4.08853065401346,-7.490539363896625,-3.9376489571070383,-7.343620392823022,6.0,1.9114693459865402,2.0623510428929617,3.4020087098831655
64,-4.168300055272228,-7.635883047437522,-4.082274256297436,-7.553441855220839,5.999999999999999,1.831699944727771,1.9177257437025634,3.4675829921652936
65,-4.439125272571928,-7.9806405593106176,-4.161009379329191,-7.705593398954175,5.999999999999999,1.5608747274280708,1.838990620670808,3.541515286738689
66,-4.2961619678887955,-7.918290012016911,-4.162149895049183,-7.786710507459626,6.000000000000002,1.7038380321112063,1.8378501049508191,3.6221280441281154
67,-4.221956363658478,-7.929453857881686,-4.0841085213137625,-7.793305325399924,5.999999999999999,1.778043636341521,1.9158914786862367,3.707497494223208
68,-3.974859648823871,-7.770364214958464,-3.9355731062319537,-7.7319744838569004,6.0,2.025140351176129,2.0644268937680463,3.7955045661345936
69,-3.7226794214990813,-7.606573090925366,-3.7336383471791836,-7.617588264433582,5.999999999999999,2.277320578500918,2.2663616528208155,3.8838936694262842
70,-3.3986218589254062,-7.368958939903078,-3.5004413210735663,-7.46998899616459,6.0,2.6013781410745938,2.4995586789264337,3.970337080977672
71,-3.1460085653355288,-7.198510975923683,-3.259163677891359,-7.3100591003667335,6.000000000000002,2.853991434664473,2.7408363221086427,4.052502410588154
72,-2.9611348841110114,-7.089255355679317,-3.0303270750566553,-7.156082782867994,5.999999999999998,3.038865115888987,2.969672924943343,4.128120471568305
73,-2.8095348843552213,-7.004585752254004,-2.82911878322367,-7.02113570441991,5.999999999999999,3.190465115644778,3.170881216776329,4.195050867898782
74,-2.5979738679849933,-6.849316595344073,-2.6641347716532198,-6.911887444303471,6.000000000000001,3.4020261320150076,3.335865228346781,4.251342727359079
75,-2.4449476289431367,-6.740235881868507,-2.5375439827256807,-6.828818200839113,5.999999999999999,3.5550523710568624,3.4624560172743184,4.295288252925371
76,-2.439809915283002,-6.76527703346102,-2.44636765652924,-6.7675416685501,6.000000000000002,3.5601900847169996,3.553632343470762,4.325467118178018
77,-2.4449488637664314,-6.785729039508082,-2.3843904139439807,-6.720749337869016,6.000000000000001,3.5550511362335695,3.6156095860560202,4.340780175741651
78,-2.324286979186481,-6.664758434587481,-2.3441809500921096,-6.680253144077356,5.999999999999998,3.675713020813517,3.6558190499078886,4.3404714554009995
79,-2.334188416565917,-6.658326388413212,-2.3187751707823683,-6.638678901601213,6.000000000000002,3.6658115834340848,3.6812248292176335,4.3241379718472945
80,-2.362578004953209,-6.654305416011365,-2.3027271770620485,-6.590515951232117,6.0,3.637421995046791,3.6972728229379515,4.291727411058156
81,-2.364781451129764,-6.6083057408451324,-2.292425939883132,-6.532421160682672,6.000000000000001,3.635218548870237,3.707574060116869,4.243524289715368
82,-2.2442235488770885,-6.424349205676182,-2.285769571750552,-6.46286972893882,6.000000000000001,3.7557764511229124,3.714230428249449,4.180125656799094
83,-2.2443369751313034,-6.346744782626223,-2.2814459991787004,-6.3814025318676775,6.0,3.7556630248686966,3.7185540008212996,4.102407807494919
84,-2.2443836375074757,-6.255869426478098,-2.278150570626989,-6.287802250251436,5.999999999999999,3.7556163624925234,3.72184942937301,4.011485788970623
85,-2.2443004900796217,-6.1529681737781585,-2.274051140478586,-6.18151174938512,5.97520813373041,3.7309076436507884,3.701156993251824,3.908667683698537
86,-2.242534854080317,-6.037940607740533,-2.266690349255753,-6.061488629781097,5.922313555012857,3.67977870093254,3.655623205757104,3.795405753660216
87,-2.291083537552611,-5.964330056934736,-2.253334051369422,-5.9265095039227464,5.842286648431348,3.5512031108787374,3.588952597061926,3.673246519382126
88,-2.34318327502188,-5.886965013877084,-2.2316016072752314,-5.77576287133698,5.733725380116746,3.3905421050948656,3.5021237728415144,3.543781738855204
89,-2.261969501937568,-5.670571557776474,-2.2001141930350396,-5.6094662854308845,5.595712951880413,3.3337434499428453,3.3955987588453738,3.4086020558389056
90,-2.117633508981819,-5.3868883308566415,-2.158906955956533,-5.429248376247463,5.429248376247463,3.311614867265644,3.27034142029093,3.2692548218748225
91,-2.0600829919425143,-5.18729027334861,-2.10945970207497,-5.238141378210351,5.238141378210352,3.1780583862678373,3.1286816761353817,3.1272072814060956
92,-2.0359954990753018,-5.019811465044937,-2.054356724668027,-5.0401859997968135,5.0401859997968135,3.0041905007215117,2.9858292751287863,2.9838159659696353
93,-2.0351071942946004,-4.875409986976828,-1.9967192336817168,-4.83978969921016,4.839789699210161,2.80468250491556,2.843070465528444,2.8403027926822273
94,-1.934545592529141,-4.632283616470885,-1.9396101958097023,-4.641047542212982,4.641047542212984,2.706501949683843,2.701437346403282,2.697738023941744
95,-1.835363940332124,-4.392393876929548,-1.8855808255940745,-4.447217095752043,4.447217095752042,2.611853155419918,2.5616362701579676,2.5570299365974236
96,-1.8386348018922825,-4.257555585416221,-1.8364410178409867,-4.260459246660375,4.260459246660375,2.4218244447680926,2.424018228819388,2.4189207835239386
97,-1.8442531355568248,-4.128241553781964,-1.7932422232547447,-4.081859078328474,4.081859078328474,2.2376059427716495,2.2886168550737294,2.2839884182251398
98,-1.765681578728854,-3.918334377878998,-1.756401749280161,-3.9116640961454863,3.9116640961454845,2.1459825174166305,2.1552623468653236,2.152652799150144
99,-1.662814481867247,-3.6880009778137635,-1.7258868810812387,-3.7496397603010436,3.749639760301043,2.086825278433796,2.0237528792198045,2.0251864959465165
100,-1.6772605870137405,-3.5789888691656158,-1.7014013034417492,-3.595440028180483,3.5954400281804815,1.918179441166741,1.8940387247387322,1.9017282821518755
101,-1.6946944682294705,-3.4769933800528112,-1.6825451900013393,-3.4489054022887187,3.4489054022887196,1.754210934059249,1.7663602122873803,1.7822989118233408
102,-1.7148080642154562,-3.381626297049746,-1.6689314599238139,-3.3102186512476184,3.310218651247618,1.5954105870321618,1.641287191323804,1.6668182328342898
104,-1.636524160177162,-3.129682411968907,-1.6602346605419034,-3.179869915913759,3.1798699159137596,1.5433457557365975,1.5196352553718562,1.493158251791745
105,-1.6603236148407172,-3.04526198506924,-1.6561450685262527,-3.058419311774518,3.058419311774518,1.3980956969338008,1.4022742432482653,1.3849383702285227
106,-1.6848407576926767,-2.9649605172990796,-1.6562191802650894,-2.946102268257908,2.9461022682579077,1.261261510565231,1.2898830879928183,1.2801197596064027
107,-1.6317399230405292,-2.810129557693199,-1.6596627916170743,-2.8423897808162035,2.842389780816204,1.2106498577756748,1.1827269891991297,1.1783896346526697
108,-1.6302186598378292,-2.709635113151047,-1.6651360864563385,-2.745664992534325,2.7456649925343246,1.1154463326964954,1.0805289060779861,1.0794164533132178
109,-1.6535570338825056,-2.6364201958976823,-1.6706989676508193,-2.6531773127178226,2.6531773127178235,0.9996202788353179,0.9824783450670043,0.9828631620151764
110,-1.6725754468974068,-2.560974278397407,-1.6739901203647145,-2.5613669073197114,2.561366907319711,0.8887914604223042,0.8873767869549964,0.8883988315000004
111,-1.6885124848563535,-2.48422112145849,-1.6726507656998117,-2.4665272888779715,2.4665272888779723,0.7780148040216188,0.7938765231781606,0.7957086366021369
112,-1.7010009557004515,-2.4055031369047706,-1.6648934186350592,-2.3656361741032965,2.365636174103297,0.6646352184028455,0.7007427554682377,0.7045021812043191
113,-1.7098769628448418,-2.3243971640984853,-1.6500284309481033,-2.257094574900749,2.2570945749007483,0.5472176120559065,0.607066143952645,0.6145202012536437
114,-1.6481664113826775,-2.1737061087015577,-1.628743033809633,-2.1411171648104173,2.1411171648104177,0.4929507534277402,0.5123741310007848,0.5255396973188802
115,-1.6165652611701011,-2.053942818754558,-1.6029965438781186,-2.0196218354242292,2.0196218354242297,0.40305657425412855,0.41662529154611105,0.43737755758445696
117,-1.5149909806920332,-1.8101710010946803,-1.5755294252915195,-1.8956373723745137,1.895637372374513,0.3806463916824798,0.3201079470829935,0.2951800204026471
118,-1.5115318500312984,-1.720930801140728,-1.5491292919401811,-1.7724187903921487,1.7724187903921487,0.26088694036085025,0.22328949845196755,0.20939895110942963
119,-1.5061761120689137,-1.6303641139960625,-1.525891124052445,-1.6525603232051256,1.6525603232051251,0.14638421113621147,0.12666919915268005,0.12418800192714885
120,-1.499497685548817,-1.5390227726307557,-1.506711067933772,-1.5373858096502204,1.5373858096502204,0.03788812410140352,0.03067474171644835,0.0395250870819388
