frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-2.379771419141753,-6.5003921697496665,-2.3761845616588553,-6.496823556837114,5.999999999999999,3.620228580858246,3.623815438341144,4.120620750607913
21,-2.2833526863593763,-6.435587831068708,-2.2834269022676517,-6.435651422781264,6.0,3.7166473136406237,3.7165730977323483,4.152235144709332
22,-2.217096106869442,-6.397544586892938,-2.1973078211749595,-6.377734239536078,5.999999999999999,3.782903893130557,3.8026921788250396,4.180448480023496
23,-2.0905152207946305,-6.295774571116168,-2.117827318380779,-6.3230720071015565,5.999999999999999,3.9094847792053686,3.88217268161922,4.205259350321538
24,-1.994096488012255,-6.22076258446649,-2.044985393885108,-6.27166472547769,5.999999999999997,4.005903511987743,3.955014606114889,4.2266660964542355
25,-2.013380234568727,-6.258047009474525,-1.9791300966703371,-6.223868797404712,6.0,3.986619765431273,4.020869903329663,4.244666774905798
26,-1.8976777552298767,-6.1569368792801376,-1.9198189864797421,-6.179237392721204,6.0,4.102322244770123,4.080181013520258,4.259259124050261
27,-1.897677755229874,-6.168187228940416,-1.8666870983563308,-6.1373971960858125,5.999999999999998,4.102322244770124,4.133312901643667,4.270509473710542
28,-1.897677755229872,-6.17603939581582,-1.8192772667195711,-6.097871567908529,5.999999999999999,4.102322244770127,4.180722733280428,4.278361640585948
29,-1.7048402896651296,-5.987626981176842,-1.7771147008289931,-6.060150721720362,5.994349316441565,4.289509026776436,4.217234615612572,4.282786691511712
30,-1.7048402896651282,-5.988577978325923,-1.7399135171004856,-6.02389697173825,5.982699174396864,4.277858884731736,4.242785657296379,4.2837376886607945
31,-1.7048402896651274,-5.9859871565400065,-1.7074961563424749,-5.988861183182393,5.965649027098988,4.260808737433861,4.258152870756513,4.281146866874879
32,-1.7048402896651274,-5.979764571191592,-1.6798004344225466,-5.954889967389157,5.944078114335453,4.239237824670326,4.264277679912906,4.274924281526465
33,-1.7048402896651271,-5.9697989100733215,-1.6568214151073548,-5.92186938349239,5.918619754005263,4.213779464340136,4.261798338897909,4.264958620408194
34,-1.6084215568827591,-5.859553612817797,-1.6385226431403528,-5.889639947508419,5.889639947508419,4.28121839062566,4.251117304368067,4.251132055935038
35,-1.6084215568827591,-5.841736118140895,-1.6247760581818047,-5.857942837989411,5.857942837989412,4.249521281106652,4.233166779807607,4.233314561258136
36,-1.6084215568827596,-5.819796674386084,-1.61529058045813,-5.826356920634368,5.8263569206343675,4.217935363751608,4.211066340176238,4.211375117503325
37,-1.6084215568827598,-5.793613761819582,-1.6095613514860414,-5.7942587038490885,5.7942587038490885,4.185837146966328,4.184697352363047,4.185192204936822
38,-1.6084215568827598,-5.763088008022203,-1.6068517308079342,-5.760817203573696,5.760817203573694,4.152395646690934,4.15396547276576,4.154666451139444
39,-1.6084215568827598,-5.728156646728525,-1.6062195087005282,-5.725034905384884,5.725034905384883,4.116613348502122,4.118815396684354,4.119735089845765
40,-1.6084215568827922,-5.688809318802256,-1.6066022900316486,-5.685849421630573,5.685849421630574,4.077427864747782,4.079247131598926,4.0803877619194635
41,-1.6084215568829752,-5.6451064689240384,-1.606948325156366,-5.642281525385393,5.642281525385394,4.033859968502419,4.0353332002290285,4.036684912041063
42,-1.6084215568828932,-5.597196984836479,-1.6063617965892663,-5.59359779924378,5.5935977992437795,3.985176242360886,3.9872360026545133,3.9887754279535863
43,-1.608421556881284,-5.54533544226067,-1.604220453645261,-5.539444854129876,5.539444854129877,3.9310232972485926,3.935224400484616,3.9369138853793864
44,-1.6084215568776703,-5.489897659695029,-1.6002286112216906,-5.479917067999638,5.479917067999639,3.871495511121969,3.8796884567779486,3.881476102817359
45,-1.608421556877052,-5.431393397376122,-1.5943940107842272,-5.4155452174124985,5.415545217412496,3.807123660535444,3.8211512066282687,3.8229718404990702
46,-1.6084215568929443,-5.3704749920173125,-1.586946553146933,-5.347222891866208,5.347222891866207,3.738801334973263,3.760276338719274,3.762053435124368
47,-1.5359272817905731,-5.235446470517579,-1.578237955156682,-5.276108702302131,5.276108702302132,3.7401814205115587,3.6978707471454495,3.699519188727006
48,-1.5120028242040862,-5.1483135575077315,-1.5686630661546368,-5.203544130966807,5.203544130966807,3.691541306762721,3.6348810648121703,3.6363107333036453
49,-1.6084215569539948,-5.181925098120622,-1.5586251426762106,-5.131008652700444,5.131008652700443,3.522587095746448,3.572383510024232,3.573503541166627
50,-1.6084215567012672,-5.1207117111103475,-1.5485399019557617,-5.06010656234257,5.060106562342569,3.451685005641302,3.5115666603868076,3.5122901544090803
51,-1.5120028233770202,-4.965958861980483,-1.538850798068682,-4.992557899475965,4.992557899475965,3.480555076098945,3.453707101407283,3.453956038603463
52,-1.5120028227650884,-4.911851174243536,-1.530022849979327,-4.93016111574091,4.93016111574091,3.418158292975822,3.4001382657615835,3.3998483514784477
53,-1.5120028227869895,-4.863341138422296,-1.5224971549466173,-4.874710318906901,4.874710318906903,3.3627074961199135,3.3522131639602857,3.351338315635306
54,-1.51200282456386,-4.8217810925479325,-1.5166136646293609,-4.827875750940864,4.827875750940863,3.3158729263770033,3.311262086311502,3.309778267984073
55,-1.5120028290557743,-4.78845767591836,-1.5125315347935828,-4.791078241446694,4.791078241446695,3.279075412390921,3.2785467066531124,3.2764548468625856
56,-1.5120028358952775,-4.764542922508805,-1.5101829644212428,-4.76539528210575,4.765395282105751,3.2533924462104737,3.2552123176845082,3.2525400866135277
57,-1.5120028419305236,-4.7510452757534765,-1.5092848150186686,-4.751524970133088,4.751524970133087,3.2395221282025632,3.242240155114418,3.239042433822953
58,-1.5120028402577894,-4.748762690880118,-1.5094085807806414,-4.749810486553049,4.749810486553049,3.237807646295259,3.240401905772407,3.2367598506223283
59,-1.512002820975611,-4.758240036754234,-1.5100851858293751,-4.760303716177809,4.76030371617781,3.248300895202199,3.2502185303484348,3.2462372157786232
60,-1.5120027750499636,-4.779732939902003,-1.5109083670753845,-4.782833824145513,4.782833824145513,3.2708310490955492,3.2719254570701284,3.26773016485204
61,-1.5120027021253493,-4.813180024976214,-1.5116041481038995,-4.817050165287273,4.817050165287273,3.3050474631619235,3.3054460171833733,3.301177322850865
62,-1.5120026214482962,-4.858185207144999,-1.512050180030391,-4.862424881966008,4.8624248819660085,3.3504222605177123,3.3503747019356176,3.346182585696703
63,-1.5120025822018903,-4.914011292085056,-1.5122486978246745,-4.9182201335406575,4.9182201335406575,3.4062175513387674,3.405971435715983,3.4020087098831655
64,-1.5120026660901482,-4.979585658255441,-1.5122720580955433,-4.9834396570189465,4.983439657018947,3.471436990928799,3.471167598923404,3.4675829921652936
65,-1.5120029724742323,-5.053518259212922,-1.5122053740195787,-5.0567893936445625,5.056789393644562,3.544786421170329,3.544584019624983,3.541515286738689
66,-1.5120035771197315,-5.134131621247847,-1.5121066371537204,-5.136667249564164,5.136667249564165,3.6246636724444334,3.624560612410445,3.6221280441281154
67,-1.5120044619710105,-5.219501956194218,-1.5119946873595784,-5.22119149144574,5.2211914914457385,3.709187029474728,3.70919680408616,3.707497494223208
68,-1.512005426245071,-5.307509992379664,-1.5118643633484288,-5.308265740973376,5.308265740973376,3.7962603147283045,3.796401377624947,3.7955045661345936
69,-1.512006007329779,-5.395899676756063,-1.5117191441370914,-5.395669061391489,5.39566906139149,3.883663054061711,3.8839499172543985,3.8838936694262842
70,-1.512005458981843,-5.4823425399595145,-1.5116053231131656,-5.481152998204189,5.4811529982041876,3.9691475392223445,3.9695476750910217,3.970337080977672
71,-1.512002846594643,-5.564505257182797,-1.5116288000412952,-5.562524222516668,5.562524222516669,4.050521375922026,4.0508954224753735,4.052502410588154
72,-1.5119973147741668,-5.640117786342472,-1.5119375529151033,-5.637693260726441,5.637693260726441,4.125695945952274,4.125755707811337,4.128120471568305
73,-1.5119885515259992,-5.707039419424781,-1.5126616334378227,-5.704678554634061,5.704678554634061,4.192690003108062,4.192016921196238,4.195050867898782
74,-1.5119774110760422,-5.763320138435121,-1.5138183876466584,-5.761571060296909,5.76157106029691,4.249593649220867,4.247752672650251,4.251342727359079
75,-1.511966567688037,-5.807254820613408,-1.5152101510314306,-5.806484369144863,5.806484369144862,4.294517801456825,4.291274218113432,4.295288252925371
76,-1.5119609723189251,-5.837428090496943,-1.516357371492794,-5.837531383513655,5.837531383513656,4.325570411194731,4.321174012020862,4.325467118178018
