frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-20.501933591031186,-24.6225543416391,-20.477307858479794,-24.597946853658016,5.999999999999999,-14.501933591031186,-14.477307858479794,4.120620750607913
21,-19.772961450417462,-23.925196595126792,-19.845882240547347,-23.998106761060924,6.0,-13.772961450417462,-13.845882240547347,4.152235144709332
22,-19.181029058420478,-23.361477538443975,-19.247427203138088,-23.427853621499175,6.0,-13.181029058420478,-13.247427203138088,4.180448480023496
23,-18.884143353566934,-23.08940270388847,-18.681942746252012,-22.887187434972763,5.999999999999999,-12.884143353566934,-12.681942746252012,4.205259350321538
24,-18.16215698638195,-22.388823082836186,-18.149428869889107,-22.37610820148167,5.999999999999998,-12.162156986381953,-12.149428869889109,4.2266660964542355
25,-17.55870871051987,-21.80337548542567,-17.651830128970506,-21.89656882970487,6.000000000000001,-11.55870871051987,-11.651830128970506,4.244666774905798
26,-17.173013235227213,-21.432272359277473,-17.18712317787457,-21.446541584116027,6.0,-11.173013235227213,-11.187123177874572,4.259259124050261
27,-16.668320755634035,-20.938830229344575,-16.753088731160492,-21.023798828889966,6.0,-10.668320755634035,-10.753088731160492,4.270509473710542
28,-16.401329874422512,-20.67969151500846,-16.346249939550177,-20.62484424073913,6.0,-10.401329874422512,-10.346249939550177,4.278361640585948
29,-15.926386343569355,-20.209173035081065,-15.962191821648222,-20.245227842539585,6.000000000000001,-9.926386343569355,-9.962191821648222,4.282786691511712
30,-15.636880235368867,-19.920617924029663,-15.59681940855263,-19.880802863190393,6.0,-9.636880235368867,-9.59681940855263,4.2837376886607945
31,-15.246376477067864,-19.527523343942743,-15.246762921641789,-19.528127948481703,5.999999999999999,-9.246376477067866,-9.246762921641789,4.281146866874879
32,-15.129873379401632,-19.404797660928097,-14.910073324421319,-19.18516285738793,5.999999999999999,-9.129873379401634,-8.910073324421319,4.274924281526465
33,-14.353293845088125,-18.61825246549632,-14.586385555730656,-18.85143352411569,6.0,-8.353293845088125,-8.586385555730656,4.264958620408194
34,-14.566616589085102,-18.81774864502014,-14.276526483610887,-18.527643787978953,5.999999999999998,-8.566616589085104,-8.276526483610889,4.251132055935038
35,-13.696639745002615,-17.92995430626075,-13.981818836184477,-18.214985615992084,6.000000000000001,-7.6966397450026145,-7.981818836184476,4.233314561258136
36,-13.73686963006008,-17.948244747563404,-13.703227082550423,-17.914293422726658,5.999999999999998,-7.736869630060081,-7.703227082550425,4.211375117503325
37,-13.247951787086091,-17.433143992022913,-13.440710276535686,-17.625407628898735,6.0,-7.247951787086091,-7.440710276535686,4.185192204936822
38,-13.415077904747562,-17.569744355887007,-13.19300220341298,-17.34696767617874,6.000000000000001,-7.4150779047475615,-7.19300220341298,4.154666451139444
39,-12.961452178467901,-17.081187268313666,-12.957856598100829,-17.076671994785187,6.0,-6.961452178467901,-6.957856598100829,4.119735089845765
40,-12.768122222592373,-16.848509984511836,-12.732627377911083,-16.811874509510012,5.999999999999999,-6.768122222592374,-6.732627377911084,4.0803877619194635
41,-12.48023341538165,-16.51691832742271,-12.514927140400975,-16.550260340630004,5.999999999999999,-6.48023341538165,-6.514927140400975,4.036684912041063
42,-12.298645217948046,-16.287420645901634,-12.303114620185626,-16.290350622840144,6.000000000000003,-6.298645217948043,-6.303114620185624,3.9887754279535863
43,-12.07738687143792,-16.014300756817306,-12.096466853319146,-16.03169125380376,6.0,-6.07738687143792,-6.096466853319146,3.9369138853793864
44,-11.926524802468787,-15.808000905286146,-11.895037603927609,-15.774726060705557,6.0,-5.926524802468787,-5.895037603927609,3.881476102817359
