frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-24.13070507286252,-28.25132582347043,-24.12551002667401,-28.246149021852244,5.999999999999999,-18.13070507286252,-18.12551002667401,4.120620750607913
21,-23.441578783446218,-27.593813928155548,-23.441633190125877,-27.59385771063946,6.0,-17.441578783446218,-17.441633190125877,4.152235144709332
22,-22.74907167880557,-26.929520158829067,-22.776231629762048,-26.95665804812313,6.0,-16.74907167880557,-16.776231629762048,4.180448480023496
23,-22.163915837131096,-26.369175187452633,-22.12930534558252,-26.334550034303263,5.999999999999999,-16.163915837131096,-16.12930534558252,4.205259350321538
24,-21.502954704942308,-25.729620801396543,-21.50085433758726,-25.727533669179827,5.999999999999998,-15.50295470494231,-15.500854337587262,4.2266660964542355
25,-20.82502719297392,-25.06969396787972,-20.89146637983196,-25.136205080566324,6.000000000000001,-14.82502719297392,-14.89146637983196,4.244666774905798
26,-20.288469648715747,-24.547728772766007,-20.30042320159487,-24.559841607836326,6.0,-14.288469648715747,-14.300423201594871,4.259259124050261
27,-19.76331628583638,-24.03382575954692,-19.72711613783483,-23.997826235564307,6.0,-13.763316285836378,-13.72711613783483,4.270509473710542
28,-19.2645798656068,-23.54294150619275,-19.17074456772934,-23.449338868918286,6.0,-13.264579865606802,-13.17074456772934,4.278361640585948
29,-18.58925655016134,-22.872043241673055,-18.63040277341304,-22.9134387943044,6.000000000000001,-12.589256550161341,-12.630402773413039,4.282786691511712
30,-18.03740472543056,-22.321142414091355,-18.10537542457952,-22.389358879217284,6.0,-12.037404725430559,-12.10537542457952,4.2837376886607945
31,-17.60752254572881,-21.88866941260369,-17.5949574772472,-21.876322504087113,5.999999999999999,-11.60752254572881,-11.594957477247199,4.281146866874879
32,-17.097101823541504,-21.372026105067967,-17.09843334734233,-21.37352288030894,5.999999999999999,-11.097101823541504,-11.09843334734233,4.274924281526465
33,-16.605483975051758,-20.870442595459952,-16.614995566174912,-20.880043534559945,6.0,-10.605483975051758,-10.614995566174912,4.264958620408194
34,-16.232120895293942,-20.48325295122898,-16.143688808708617,-20.394806113076687,5.999999999999998,-10.232120895293944,-10.14368880870862,4.251132055935038
35,-15.623975937345078,-19.857290498603213,-15.683487045479001,-19.916653825286605,6.000000000000001,-9.623975937345076,-9.683487045479001,4.233314561258136
36,-15.192843284927935,-19.404218402431262,-15.23341411182916,-19.4444804520054,5.999999999999998,-9.192843284927937,-9.233414111829163,4.211375117503325
37,-14.838849558575845,-19.024041763512667,-14.792692475954738,-18.977389828317786,6.0,-8.838849558575845,-8.792692475954738,4.185192204936822
38,-14.393336637725987,-18.548003088865432,-14.36084876825942,-18.514814241025185,6.000000000000001,-8.393336637725987,-8.36084876825942,4.154666451139444
39,-13.893445163352759,-18.013180253198524,-13.937714570185502,-18.056529966869856,6.0,-7.893445163352759,-7.937714570185502,4.119735089845765
40,-13.557072607923512,-17.637460369842977,-13.52331839431511,-17.602565525914038,5.999999999999999,-7.557072607923513,-7.523318394315111,4.0803877619194635
41,-13.08132201277823,-17.118006924819294,-13.11769769576916,-17.15303089599819,5.999999999999999,-7.081322012778231,-7.11769769576916,4.036684912041063
42,-12.768980667600276,-16.757756095553862,-12.720703309958914,-16.70793931261343,6.000000000000003,-6.768980667600274,-6.720703309958911,3.9887754279535863
43,-12.271015815950351,-16.20792970132974,-12.331879772053757,-16.267104172538367,6.0,-6.271015815950351,-6.331879772053757,3.9369138853793864
44,-11.949227456288686,-15.830703559106045,-11.950478883870455,-15.830167340648401,6.0,-5.9492274562886855,-5.9504788838704545,3.881476102817359
45,-11.582123256744918,-15.405095097243988,-11.575613939989431,-15.396765146617701,5.999999999999998,-5.58212325674492,-5.575613939989433,3.8229718404990702
46,-11.219401901416843,-14.981455336541211,-11.206501024918001,-14.966777363637274,6.0,-5.219401901416843,-5.206501024918001,3.762053435124368
47,-10.855807936402046,-14.555327125129052,-10.842690538001593,-14.54056128514704,6.0,-4.855807936402046,-4.842690538001593,3.699519188727006
48,-10.543619652263857,-14.179930385567502,-10.484188543402338,-14.119069608214506,6.0,-4.543619652263857,-4.484188543402338,3.6363107333036453
49,-10.104115097976713,-13.67761863914334,-10.131409033080999,-13.70379254310523,5.999999999999999,-4.104115097976714,-4.131409033081,3.573503541166627
50,-9.763707706251283,-13.275997860660365,-9.784970672908614,-13.296537333295422,5.999999999999999,-3.7637077062512843,-3.7849706729086146,3.5122901544090803
51,-9.422297432912984,-12.876253471516447,-9.44542318213639,-12.899130283543673,5.999999999999999,-3.422297432912985,-3.4454231821363903,3.453956038603463
52,-9.084587359453801,-12.48443571093225,-9.113025333035617,-12.513163598797203,5.999999999999999,-3.084587359453802,-3.113025333035618,3.3998483514784477
53,-8.795098708985389,-12.146437024620695,-8.787679050947133,-12.139892214907421,6.000000000000002,-2.795098708985387,-2.7876790509471316,3.351338315635306
54,-8.485660832855075,-11.795439100839147,-8.46905756865043,-11.780319654961932,6.0,-2.485660832855075,-2.4690575686504292,3.309778267984073
55,-8.223072670208973,-11.49952751707156,-8.156877688282377,-11.435424394935488,6.0,-2.223072670208973,-2.1568776882823766,3.2764548468625856
56,-7.818332136201935,-11.070872222815463,-7.85119713600244,-11.106409453686945,6.000000000000002,-1.8183321362019331,-1.8511971360024386,3.2525400866135277
57,-7.549165141838521,-10.788207575661474,-7.552600027048932,-10.794840182163348,5.999999999999999,-1.5491651418385217,-1.5526000270489329,3.239042433822953
58,-7.2933938118717325,-10.530153662494062,-7.262175908129841,-10.502577813902246,6.0,-1.2933938118717325,-1.2621759081298407,3.2367598506223283
