frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20,-4.22,-6.52,-3.89,-6.13,6.15,1.96,1.93,2.26,2.30
21,-3.57,-5.87,-3.65,-5.91,5.92,2.26,2.35,2.26,2.30
22,-3.30,-5.60,-3.43,-5.70,5.70,2.59,2.40,2.27,2.30
23,-3.12,-5.42,-3.21,-5.49,5.49,2.95,2.37,2.28,2.30
24,-2.92,-5.22,-3.00,-5.29,5.29,3.32,2.37,2.28,2.30
25,-2.67,-4.97,-2.80,-5.10,5.10,3.71,2.43,2.29,2.30
26,-2.59,-4.89,-2.61,-4.91,4.91,4.09,2.32,2.30,2.30
27,-2.45,-4.75,-2.43,-4.73,4.73,4.45,2.28,2.30,2.30
28,-2.27,-4.57,-2.26,-4.56,4.56,4.76,2.29,2.31,2.30
29,-2.13,-4.43,-2.09,-4.40,4.40,5.01,2.27,2.31,2.30
30,-1.95,-4.25,-1.94,-4.25,4.25,5.17,2.30,2.31,2.30
31,-1.86,-4.16,-1.83,-4.11,4.11,5.24,2.25,2.29,2.30
32,-1.62,-3.92,-1.70,-3.99,3.99,5.22,2.37,2.29,2.30
33,-1.62,-3.92,-1.57,-3.87,3.87,5.13,2.25,2.29,2.30
34,-1.46,-3.76,-1.46,-3.75,3.75,4.96,2.29,2.29,2.30
35,-1.30,-3.60,-1.33,-3.63,3.63,4.75,2.33,2.30,2.30
36,-1.30,-3.60,-1.21,-3.51,3.51,4.52,2.21,2.30,2.30
37,-1.00,-3.30,-1.10,-3.40,3.40,4.27,2.40,2.29,2.30
38,-0.97,-3.27,-0.99,-3.29,3.29,4.02,2.32,2.30,2.30
39,-0.97,-3.27,-0.88,-3.18,3.18,3.78,2.21,2.30,2.30
40,-0.77,-3.07,-0.77,-3.07,3.07,3.54,2.30,2.30,2.30
41,-0.65,-2.95,-0.67,-2.97,2.97,3.32,2.32,2.30,2.30
42,-0.65,-2.95,-0.57,-2.87,2.87,3.12,2.22,2.29,2.30
43,-0.44,-2.74,-0.46,-2.77,2.77,2.93,2.33,2.30,2.30
44,-0.32,-2.62,-0.37,-2.67,2.67,2.76,2.35,2.30,2.30
45,-0.32,-2.62,-0.28,-2.57,2.57,2.61,2.25,2.29,2.30
46,-0.16,-2.46,-0.18,-2.48,2.48,2.46,2.32,2.30,2.30
47,0.00,-2.30,-0.10,-2.39,2.39,2.33,2.39,2.30,2.30
48,0.00,-2.30,-0.00,-2.30,2.30,2.21,2.30,2.30,2.30
49,0.00,-2.30,0.08,-2.22,2.22,2.10,2.22,2.30,2.30
50,0.13,-2.17,0.16,-2.13,2.13,2.00,2.26,2.30,2.30
51,0.32,-1.98,0.25,-2.05,2.05,1.91,2.37,2.30,2.30
52,0.32,-1.98,0.34,-1.97,1.97,1.83,2.29,2.31,2.30
53,0.32,-1.98,0.41,-1.89,1.89,1.75,2.21,2.29,2.30
54,0.51,-1.79,0.49,-1.81,1.81,1.68,2.32,2.29,2.30
55,0.65,-1.65,0.57,-1.73,1.73,1.60,2.38,2.30,2.30
56,0.65,-1.65,0.65,-1.65,1.65,1.54,2.30,2.29,2.30
57,0.65,-1.65,0.72,-1.57,1.57,1.47,2.22,2.29,2.30
58,0.83,-1.47,0.81,-1.48,1.48,1.41,2.31,2.29,2.30
59,0.97,-1.33,0.90,-1.40,1.40,1.35,2.37,2.30,2.30
60,0.97,-1.33,0.98,-1.32,1.32,1.29,2.29,2.30,2.30
61,0.97,-1.33,1.06,-1.24,1.24,1.22,2.21,2.30,2.30
62,1.10,-1.20,1.14,-1.16,1.16,1.16,2.26,2.30,2.30
63,1.28,-1.02,1.22,-1.08,1.08,1.10,2.36,2.30,2.30
64,1.30,-1.00,1.29,-1.00,1.00,1.04,2.30,2.30,2.30
65,1.31,-0.99,1.38,-0.93,0.93,0.98,2.24,2.30,2.30
66,1.48,-0.82,1.45,-0.85,0.85,0.91,2.33,2.30,2.30
67,1.62,-0.68,1.52,-0.77,0.77,0.85,2.39,2.29,2.30
68,1.62,-0.68,1.59,-0.70,0.70,0.78,2.32,2.29,2.30
69,1.62,-0.68,1.67,-0.63,0.63,0.72,2.25,2.29,2.30
70,1.66,-0.64,1.75,-0.56,0.56,0.65,2.22,2.31,2.30
71,1.82,-0.48,1.82,-0.49,0.49,0.59,2.31,2.31,2.30
72,1.95,-0.35,1.88,-0.42,0.42,0.52,2.37,2.29,2.30
73,1.95,-0.35,1.94,-0.35,0.35,0.46,2.30,2.29,2.30
74,1.95,-0.35,2.01,-0.29,0.29,0.39,2.24,2.29,2.30
75,1.96,-0.34,2.07,-0.23,0.23,0.32,2.19,2.30,2.30
76,2.26,-0.04,2.14,-0.16,0.16,0.26,2.42,2.30,2.30
77,2.27,-0.03,2.20,-0.10,0.10,0.19,2.37,2.30,2.30
78,2.27,-0.03,2.25,-0.04,0.04,0.13,2.31,2.30,2.30
79,2.27,-0.03,2.31,0.01,-0.01,0.06,2.26,2.30,2.30
80,2.27,-0.03,2.37,0.07,-0.07,-0.00,2.20,2.30,2.30
81,2.40,0.10,2.42,0.13,-0.13,-0.06,2.27,2.30,2.30
82,2.59,0.29,2.48,0.18,-0.18,-0.13,2.41,2.30,2.30
83,2.59,0.29,2.54,0.24,-0.24,-0.19,2.35,2.30,2.30
84,2.59,0.29,2.60,0.29,-0.29,-0.26,2.30,2.31,2.30
85,2.59,0.29,2.65,0.35,-0.35,-0.32,2.24,2.30,2.30
86,2.59,0.29,2.69,0.40,-0.40,-0.38,2.19,2.29,2.30
87,2.71,0.41,2.75,0.45,-0.45,-0.45,2.26,2.29,2.30
88,2.92,0.62,2.81,0.50,-0.50,-0.51,2.42,2.30,2.30
89,2.92,0.62,2.86,0.56,-0.56,-0.58,2.36,2.31,2.30
90,2.92,0.62,2.91,0.61,-0.61,-0.64,2.31,2.30,2.30
91,2.92,0.62,2.95,0.66,-0.66,-0.70,2.26,2.30,2.30
92,2.96,0.66,3.00,0.71,-0.71,-0.76,2.25,2.29,2.30
93,3.08,0.78,3.05,0.76,-0.76,-0.83,2.32,2.29,2.30
