frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20,-15.80,-19.18,-15.59,-18.96,6.00,2.85,-9.80,-9.59,3.37
21,-14.92,-18.30,-14.96,-18.34,6.00,3.27,-8.92,-8.96,3.37
22,-14.29,-17.67,-14.35,-17.73,6.00,3.74,-8.29,-8.35,3.37
23,-13.62,-17.00,-13.77,-17.14,6.00,4.24,-7.62,-7.77,3.37
24,-13.09,-16.47,-13.20,-16.57,6.00,4.77,-7.09,-7.20,3.37
25,-12.56,-15.94,-12.65,-16.02,6.00,5.32,-6.56,-6.65,3.37
26,-12.03,-15.41,-12.12,-15.49,6.00,5.87,-6.03,-6.12,3.37
27,-11.60,-14.98,-11.61,-14.98,6.00,6.39,-5.60,-5.61,3.37
28,-11.12,-14.50,-11.12,-14.49,6.00,6.86,-5.12,-5.12,3.37
29,-10.63,-14.01,-10.65,-14.02,6.00,7.24,-4.63,-4.65,3.37
30,-10.25,-13.63,-10.19,-13.57,6.00,7.51,-4.25,-4.19,3.37
31,-9.79,-13.17,-9.75,-13.13,6.00,7.65,-3.79,-3.75,3.37
32,-9.36,-12.74,-9.33,-12.70,6.00,7.66,-3.36,-3.33,3.37
33,-8.99,-12.37,-8.91,-12.29,6.00,7.56,-2.99,-2.91,3.37
34,-8.51,-11.89,-8.51,-11.89,6.00,7.37,-2.51,-2.51,3.37
35,-8.03,-11.41,-8.12,-11.49,6.00,7.13,-2.03,-2.12,3.37
36,-7.71,-11.09,-7.73,-11.11,6.00,6.86,-1.71,-1.73,3.37
37,-7.39,-10.77,-7.36,-10.73,6.00,6.58,-1.39,-1.36,3.37
38,-7.04,-10.42,-6.99,-10.37,6.00,6.30,-1.04,-0.99,3.37
39,-6.64,-10.02,-6.63,-10.01,6.00,6.03,-0.64,-0.63,3.37
40,-6.31,-9.69,-6.29,-9.66,6.00,5.79,-0.31,-0.29,3.37
41,-5.91,-9.29,-5.95,-9.33,6.00,5.57,0.09,0.05,3.37
42,-5.64,-9.02,-5.62,-9.00,6.00,5.38,0.36,0.38,3.37
43,-5.32,-8.70,-5.31,-8.68,6.00,5.21,0.68,0.69,3.37
44,-4.95,-8.33,-5.01,-8.38,6.00,5.06,1.05,0.99,3.37
45,-4.70,-8.08,-4.71,-8.09,6.00,4.94,1.30,1.29,3.37
46,-4.45,-7.83,-4.43,-7.81,6.00,4.84,1.55,1.57,3.37
47,-4.12,-7.50,-4.17,-7.54,6.00,4.75,1.88,1.83,3.37
48,-3.81,-7.19,-3.91,-7.28,6.00,4.69,2.19,2.09,3.37
49,-3.67,-7.05,-3.66,-7.03,6.00,4.64,2.33,2.34,3.37
50,-3.47,-6.85,-3.42,-6.79,6.00,4.60,2.53,2.58,3.37
51,-3.15,-6.53,-3.18,-6.56,6.00,4.57,2.85,2.82,3.37
52,-2.98,-6.36,-2.95,-6.33,5.96,4.55,2.98,3.01,3.37
53,-2.83,-6.21,-2.73,-6.11,5.88,4.54,3.05,3.15,3.37
54,-2.50,-5.88,-2.52,-5.89,5.76,4.53,3.26,3.25,3.37
55,-2.36,-5.74,-2.30,-5.68,5.62,4.52,3.26,3.31,3.37
56,-2.06,-5.44,-2.10,-5.47,5.45,4.50,3.39,3.36,3.37
57,-1.86,-5.24,-1.89,-5.27,5.27,4.49,3.40,3.37,3.37
58,-1.67,-5.05,-1.69,-5.07,5.07,4.47,3.39,3.37,3.37
59,-1.48,-4.86,-1.49,-4.87,4.87,4.44,3.39,3.37,3.37
60,-1.29,-4.67,-1.30,-4.68,4.68,4.41,3.39,3.37,3.37
61,-1.10,-4.48,-1.12,-4.49,4.49,4.37,3.39,3.37,3.37
62,-0.92,-4.30,-0.93,-4.31,4.31,4.32,3.39,3.37,3.37
63,-0.88,-4.26,-0.76,-4.13,4.13,4.26,3.25,3.37,3.37
64,-0.56,-3.94,-0.58,-3.96,3.96,4.19,3.40,3.37,3.37
65,-0.38,-3.76,-0.42,-3.79,3.79,4.12,3.41,3.37,3.37
66,-0.23,-3.61,-0.26,-3.63,3.63,4.03,3.40,3.37,3.37
67,-0.17,-3.55,-0.10,-3.47,3.47,3.94,3.30,3.37,3.37
68,0.09,-3.29,0.05,-3.33,3.33,3.85,3.41,3.37,3.37
69,0.17,-3.21,0.19,-3.18,3.18,3.75,3.35,3.37,3.37
70,0.42,-2.96,0.33,-3.05,3.05,3.65,3.46,3.37,3.37
71,0.45,-2.93,0.46,-2.92,2.92,3.55,3.36,3.37,3.37
72,0.61,-2.77,0.58,-2.79,2.79,3.44,3.40,3.37,3.37
73,0.74,-2.64,0.70,-2.67,2.67,3.34,3.41,3.37,3.37
74,0.76,-2.62,0.81,-2.56,2.56,3.23,3.32,3.37,3.37
75,0.91,-2.47,0.92,-2.45,2.45,3.13,3.36,3.37,3.37
76,1.06,-2.32,1.02,-2.35,2.35,3.03,3.41,3.37,3.37
77,1.07,-2.31,1.12,-2.25,2.25,2.92,3.32,3.37,3.37
78,1.19,-2.19,1.22,-2.16,2.16,2.82,3.35,3.37,3.37
79,1.33,-2.05,1.31,-2.07,2.07,2.73,3.40,3.37,3.37
80,1.39,-1.99,1.39,-1.98,1.98,2.63,3.37,3.37,3.37
81,1.45,-1.93,1.48,-1.90,1.90,2.54,3.34,3.37,3.37
82,1.59,-1.79,1.56,-1.82,1.82,2.45,3.40,3.37,3.37
83,1.71,-1.67,1.63,-1.74,1.74,2.37,3.45,3.37,3.37
84,1.71,-1.67,1.71,-1.67,1.67,2.29,3.38,3.37,3.37
85,1.71,-1.67,1.78,-1.60,1.60,2.21,3.31,3.37,3.37
86,1.81,-1.57,1.84,-1.53,1.53,2.13,3.34,3.37,3.37
87,1.94,-1.44,1.90,-1.47,1.47,2.05,3.41,3.37,3.37
88,2.04,-1.34,1.96,-1.41,1.41,1.98,3.45,3.37,3.37
89,2.04,-1.34,2.02,-1.36,1.36,1.91,3.39,3.37,3.37
90,2.04,-1.34,2.07,-1.31,1.31,1.84,3.34,3.37,3.37
91,2.04,-1.34,2.12,-1.26,1.26,1.78,3.29,3.37,3.37
92,2.08,-1.30,2.16,-1.21,1.21,1.72,3.29,3.37,3.37
93,2.20,-1.18,2.20,-1.17,1.17,1.66,3.37,3.37,3.37
94,2.32,-1.06,2.24,-1.13,1.13,1.60,3.45,3.37,3.37
95,2.36,-1.02,2.28,-1.10,1.10,1.55,3.46,3.37,3.37
96,2.36,-1.02,2.31,-1.07,1.07,1.49,3.43,3.37,3.37
97,2.36,-1.02,2.34,-1.04,1.04,1.44,3.40,3.37,3.37
98,2.36,-1.02,2.36,-1.01,1.01,1.39,3.37,3.37,3.37
99,2.36,-1.02,2.38,-0.99,0.99,1.34,3.35,3.37,3.37
100,2.36,-1.02,2.41,-0.97,0.97,1.30,3.33,3.37,3.37
101,2.36,-1.02,2.43,-0.95,0.95,1.25,3.31,3.37,3.37
102,2.36,-1.02,2.44,-0.93,0.93,1.21,3.29,3.37,3.37
104,2.49,-0.89,2.46,-0.91,0.91,1.13,3.40,3.37,3.37
105,2.53,-0.85,2.48,-0.90,0.90,1.10,3.43,3.37,3.37
106,2.53,-0.85,2.49,-0.88,0.88,1.06,3.41,3.37,3.37
107,2.53,-0.85,2.50,-0.87,0.87,1.03,3.40,3.37,3.37
108,2.53,-0.85,2.51,-0.86,0.86,1.00,3.39,3.37,3.37
109,2.53,-0.85,2.52,-0.85,0.85,0.97,3.38,3.37,3.37
