frequency,raw
20,29.03
21,29.17
22,29.25
23,29.30
24,29.41
25,29.45
26,29.48
27,29.51
28,29.55
29,29.55
30,29.53
31,29.47
32,29.43
33,29.39
34,29.28
35,29.25
36,29.20
37,29.14
38,29.06
39,29.06
40,28.98
41,28.92
42,28.88
43,28.80
44,28.76
45,28.74
46,28.69
47,28.69
48,28.67
49,28.62
50,28.62
51,28.61
52,28.61
53,28.61
54,28.61
55,28.62
56,28.68
57,28.68
58,28.71
59,28.79
60,28.81
61,28.84
62,28.90
63,28.89
64,29.01
65,29.02
66,29.00
67,29.10
68,29.10
69,29.09
70,29.19
71,29.15
72,29.12
73,29.20
74,29.19
75,29.19
76,29.26
77,29.22
78,29.28
79,29.30
80,29.26
81,29.31
82,29.32
83,29.31
84,29.38
85,29.35
86,29.40
87,29.43
88,29.43
89,29.45
90,29.47
91,29.50
92,29.48
93,29.52
94,29.51
95,29.50
96,29.56
97,29.54
98,29.51
99,29.61
100,29.57
101,29.56
102,29.62
104,29.64
105,29.68
106,29.69
107,29.70
108,29.73
109,29.72
110,29.73
111,29.75
112,29.77
113,29.78
114,29.77
115,29.78
117,29.84
118,29.81
119,29.82
120,29.85
121,29.83
123,29.81
124,29.85
125,29.86
126,29.82
128,29.79
129,29.78
130,29.79
131,29.75
133,29.71
134,29.67
135,29.63
137,29.62
138,29.59
140,29.58
141,29.54
142,29.50
144,29.46
145,29.42
147,29.38
148,29.35
150,29.31
151,29.27
153,29.23
154,29.20
156,29.16
157,29.12
159,29.08
160,29.04
162,29.00
164,28.95
165,28.90
167,28.78
169,28.70
170,28.67
172,28.61
174,28.47
175,28.42
177,28.35
179,28.23
181,28.12
183,28.01
184,27.92
186,27.81
188,27.69
190,27.60
192,27.44
194,27.29
196,27.15
198,27.02
200,26.85
202,26.71
204,26.58
206,26.45
208,26.29
210,26.16
212,26.06
214,25.93
216,25.80
218,25.67
221,25.50
223,25.35
225,25.20
227,25.05
229,24.91
232,24.67
234,24.47
236,24.32
239,24.08
241,23.94
244,23.72
246,23.57
248,23.39
251,23.14
253,23.00
256,22.77
259,22.48
261,22.36
264,22.07
266,21.90
269,21.64
272,21.38
274,21.18
277,20.89
280,20.63
283,20.39
286,20.10
288,19.92
291,19.67
294,19.43
297,19.13
300,18.93
303,18.66
306,18.39
309,18.19
312,17.94
316,17.55
319,17.26
322,17.00
325,16.77
328,16.52
332,16.14
335,15.89
338,15.64
342,15.31
345,15.08
349,14.77
352,14.52
356,14.17
359,13.94
363,13.58
366,13.33
370,12.99
374,12.59
377,12.30
381,11.89
385,11.57
389,11.21
393,10.86
397,10.52
401,10.21
405,9.85
409,9.47
413,9.16
417,8.86
421,8.50
425,8.20
430,7.85
434,7.57
438,7.32
443,7.01
447,6.79
451,6.62
456,6.44
460,6.31
465,6.19
470,6.12
474,6.15
479,6.14
484,6.22
489,6.31
494,6.33
499,6.49
504,6.54
509,6.62
514,6.67
519,6.71
524,6.70
529,6.71
535,6.66
540,6.61
545,6.49
551,6.33
556,6.19
562,5.97
568,5.59
573,5.29
579,4.93
585,4.55
591,4.12
596,3.80
602,3.34
608,2.97
615,2.54
621,2.24
627,2.05
633,1.95
639,1.92
646,1.92
652,2.21
659,2.48
665,2.75
672,3.07
679,3.39
686,3.70
692,4.00
699,4.22
706,4.40
713,4.56
721,4.61
728,4.61
735,4.46
742,4.19
750,3.87
757,3.61
765,3.36
773,3.07
780,2.87
788,2.56
796,2.28
804,1.96
812,1.68
820,1.37
828,1.10
837,0.79
845,0.52
853,0.29
862,0.06
871,-0.11
879,-0.22
888,-0.32
897,-0.40
906,-0.50
915,-0.51
924,-0.60
933,-0.57
943,-0.55
952,-0.52
962,-0.48
971,-0.39
981,-0.28
991,-0.15
1001,0.01
1011,0.18
1021,0.35
1031,0.56
1041,0.82
1052,1.10
1062,1.35
1073,1.68
1084,2.09
1094,2.37
1105,2.72
1116,3.09
1128,3.44
1139,3.77
1150,4.09
1162,4.43
1173,4.76
1185,5.14
1197,5.52
1209,5.95
1221,6.33
1233,6.74
1246,7.10
1258,7.53
1271,7.89
1283,8.24
1296,8.64
1309,9.05
1322,9.44
1335,9.80
1349,10.24
1362,10.63
1376,11.05
1390,11.48
1404,11.87
1418,12.30
1432,12.73
1446,13.10
1461,13.61
1475,13.98
1490,14.37
1505,14.77
1520,15.08
1535,15.41
1550,15.70
1566,15.92
1582,16.11
1597,16.29
1613,16.52
1629,16.78
1646,17.13
1662,17.51
1679,17.90
1696,18.41
1713,18.91
1730,19.40
1747,19.87
1764,20.31
1782,20.79
1800,21.29
1818,21.68
1836,22.02
1854,22.46
1873,22.86
1892,23.23
1911,23.63
1930,24.02
1949,24.39
1969,24.75
1988,25.13
2008,25.46
2028,25.82
2048,26.20
2069,26.53
2090,26.86
2111,27.20
2132,27.52
2153,27.83
2175,28.10
2196,28.35
2218,28.59
2240,28.86
2263,29.06
2285,29.32
2308,29.60
2331,29.78
2355,30.00
2378,30.20
2402,30.43
2426,30.66
2450,30.89
2475,31.15
2500,31.39
2525,31.66
2550,31.93
2575,32.17
2601,32.37
2627,32.56
2653,32.70
2680,32.81
2707,32.91
2734,32.98
2761,32.99
2789,33.08
2817,33.15
2845,33.22
2873,33.30
2902,33.37
2931,33.43
2960,33.52
2990,33.58
3020,33.64
3050,33.62
3080,33.59
3111,33.55
3142,33.44
3174,33.37
3206,33.23
3238,33.10
3270,32.96
3303,32.84
3336,32.70
3369,32.56
3403,32.43
3437,32.32
3471,32.16
3506,32.06
3541,31.91
3576,31.66
3612,31.44
3648,31.14
3685,30.82
3721,30.45
3759,30.00
3796,29.57
3834,29.17
3873,28.72
3911,28.28
3950,27.84
3990,27.38
4030,26.88
4070,26.39
4111,25.90
4152,25.36
4193,24.84
4235,24.29
4278,23.73
4321,23.26
4364,22.46
4407,21.98
4451,21.43
4496,20.89
4541,20.39
4586,19.96
4632,19.60
4679,19.30
4725,19.03
4773,18.78
4820,18.52
4868,18.33
4917,18.16
4966,17.93
5016,17.69
5066,17.48
5117,17.41
5168,17.40
5220,17.46
5272,17.51
5325,17.55
5378,17.53
5432,17.48
5486,17.43
5541,17.30
5596,17.21
5652,17.23
5709,17.33
5766,17.51
5823,17.77
5882,18.07
5940,18.41
6000,18.72
6060,19.05
6120,19.24
6182,19.43
6244,19.55
6306,19.58
6369,19.57
6433,19.54
6497,19.50
6562,19.43
6628,19.30
6694,19.20
6761,19.03
6828,18.80
6897,18.57
6966,18.30
7035,18.05
7106,17.86
7177,17.72
7249,17.66
7321,17.75
7394,17.91
7468,18.15
7543,18.50
7618,18.95
7694,19.45
7771,19.94
7849,20.48
7928,21.13
8007,21.69
8087,22.18
8168,22.53
8250,22.78
8332,22.84
8415,22.77
8499,22.69
8584,22.59
8670,22.46
8757,22.04
8845,21.82
8933,21.87
9022,21.97
9113,21.96
9204,21.80
9296,21.39
9389,20.79
9483,20.06
9577,19.36
9673,18.61
9770,17.80
9868,17.03
9966,16.30
10066,15.63
10167,14.96
10268,14.31
10371,13.73
10475,13.23
10579,12.78
10685,12.40
10792,11.91
10900,11.42
11009,10.94
11119,10.55
11230,10.26
11343,10.04
11456,9.90
11571,9.73
11686,9.69
11803,10.00
11921,10.76
12040,11.74
12161,12.67
12282,13.21
12405,13.37
12529,12.79
12655,12.21
12781,11.65
12909,11.03
13038,10.67
13168,10.56
13300,10.61
13433,10.88
13567,11.35
13703,11.55
13840,11.55
13978,11.57
14118,11.70
14259,11.84
14402,12.25
14546,12.50
14692,12.73
14838,12.81
14987,12.72
15137,12.38
15288,11.92
15441,11.35
15595,10.74
15751,10.07
15909,9.38
16068,9.00
16229,8.89
16391,9.18
16555,9.80
16720,10.79
16888,11.58
17056,12.28
17227,12.77
17399,12.87
17573,12.58
17749,11.94
17926,11.12
18106,10.11
18287,8.95
18470,7.69
18654,6.52
18841,5.30
19029,4.12
19220,3.01
19412,2.16
19606,1.47
19802,0.96
20000,0.49
