frequency,raw
20,5.81
21,5.81
22,5.80
23,5.83
24,5.83
25,5.87
26,5.87
27,5.86
28,5.86
29,5.86
30,5.86
31,5.72
32,5.71
33,5.58
34,5.56
35,5.42
36,5.35
37,5.27
38,5.15
39,5.09
40,4.98
41,4.94
42,4.82
43,4.76
44,4.65
45,4.59
46,4.51
47,4.48
48,4.36
49,4.36
50,4.22
51,4.20
52,4.07
53,4.04
54,3.97
55,3.93
56,3.87
57,3.81
58,3.76
59,3.69
60,3.64
61,3.64
62,3.56
63,3.52
64,3.52
65,3.51
66,3.49
67,3.43
68,3.38
69,3.35
70,3.32
71,3.30
72,3.28
73,3.26
74,3.26
75,3.23
76,3.22
77,3.16
78,3.14
79,3.12
80,3.10
81,3.10
82,2.99
83,2.98
84,2.95
85,2.91
86,2.88
87,2.85
88,2.85
89,2.81
90,2.81
91,2.77
92,2.74
93,2.73
94,2.68
95,2.66
96,2.63
97,2.59
98,2.56
99,2.52
100,2.48
101,2.44
102,2.42
104,2.41
105,2.40
106,2.41
107,2.38
108,2.36
109,2.34
110,2.32
111,2.30
112,2.28
113,2.27
114,2.24
115,2.22
117,2.18
118,2.18
119,2.17
120,2.14
121,2.12
123,2.14
124,2.11
125,2.08
126,2.04
128,2.02
129,1.99
130,1.95
131,1.92
133,1.89
134,1.85
135,1.82
137,1.78
138,1.76
140,1.74
141,1.73
142,1.72
144,1.69
145,1.65
147,1.62
148,1.62
150,1.58
151,1.55
153,1.56
154,1.54
156,1.50
157,1.46
159,1.42
160,1.38
162,1.39
164,1.44
165,1.41
167,1.37
169,1.33
170,1.30
172,1.27
174,1.26
175,1.23
177,1.19
179,1.19
181,1.19
183,1.13
184,1.06
186,0.99
188,0.97
190,0.94
192,0.92
194,0.89
196,0.86
198,0.84
200,0.84
202,0.81
204,0.78
206,0.79
208,0.80
210,0.78
212,0.79
214,0.80
216,0.81
218,0.79
221,0.78
223,0.77
225,0.78
227,0.78
229,0.77
232,0.74
234,0.70
236,0.68
239,0.64
241,0.58
244,0.55
246,0.54
248,0.52
251,0.43
253,0.40
256,0.40
259,0.40
261,0.37
264,0.36
266,0.36
269,0.36
272,0.36
274,0.33
277,0.32
280,0.29
283,0.29
286,0.31
288,0.33
291,0.33
294,0.32
297,0.29
300,0.28
303,0.28
306,0.28
309,0.28
312,0.28
316,0.26
319,0.24
322,0.23
325,0.21
328,0.19
332,0.16
335,0.15
338,0.14
342,0.12
345,0.10
349,0.08
352,0.06
356,0.03
359,0.02
363,0.04
366,0.05
370,0.04
374,0.02
377,0.03
381,0.09
385,0.09
389,0.07
393,0.08
397,0.12
401,0.12
405,0.12
409,0.15
413,0.18
417,0.17
421,0.17
425,0.17
430,0.21
434,0.23
438,0.23
443,0.22
447,0.20
451,0.18
456,0.17
460,0.15
465,0.16
470,0.15
474,0.11
479,0.04
484,0.05
489,0.06
494,0.07
499,0.09
504,0.10
509,0.10
514,0.08
519,0.07
524,0.09
529,0.10
535,0.10
540,0.13
545,0.13
551,0.11
556,0.12
562,0.15
568,0.13
573,0.13
579,0.16
585,0.15
591,0.15
596,0.19
602,0.22
608,0.25
615,0.28
621,0.31
627,0.34
633,0.36
639,0.38
646,0.40
652,0.41
659,0.43
665,0.44
672,0.51
679,0.55
686,0.57
692,0.58
699,0.58
706,0.57
713,0.57
721,0.56
728,0.56
735,0.57
742,0.56
750,0.57
757,0.54
765,0.49
773,0.48
780,0.44
788,0.44
796,0.44
804,0.37
812,0.33
820,0.27
828,0.22
837,0.16
845,0.13
853,0.08
862,0.06
871,-0.02
879,-0.03
888,-0.06
897,-0.08
906,-0.16
915,-0.14
924,-0.12
933,-0.17
943,-0.21
952,-0.18
962,-0.16
971,-0.13
981,-0.10
991,-0.07
1001,0.00
1011,0.06
1021,0.08
1031,0.17
1041,0.26
1052,0.37
1062,0.41
1073,0.54
1084,0.61
1094,0.69
1105,0.85
1116,0.94
1128,1.08
1139,1.19
1150,1.31
1162,1.40
1173,1.52
1185,1.68
1197,1.77
1209,1.90
1221,2.01
1233,2.09
1246,2.20
1258,2.30
1271,2.43
1283,2.56
1296,2.68
1309,2.78
1322,2.92
1335,3.07
1349,3.17
1362,3.27
1376,3.38
1390,3.46
1404,3.52
1418,3.57
1432,3.67
1446,3.71
1461,3.75
1475,3.83
1490,3.90
1505,3.93
1520,4.03
1535,4.10
1550,4.15
1566,4.19
1582,4.24
1597,4.28
1613,4.32
1629,4.29
1646,4.27
1662,4.27
1679,4.30
1696,4.31
1713,4.47
1730,4.75
1747,5.08
1764,5.47
1782,5.99
1800,6.56
1818,6.94
1836,7.28
1854,7.59
1873,7.84
1892,8.05
1911,8.20
1930,8.38
1949,8.47
1969,8.55
1988,8.68
2008,8.80
2028,8.86
2048,8.92
2069,8.93
2090,8.96
2111,8.96
2132,8.95
2153,8.98
2175,8.98
2196,8.97
2218,8.94
2240,8.92
2263,8.94
2285,8.95
2308,8.96
2331,9.02
2355,9.09
2378,9.14
2402,9.23
2426,9.34
2450,9.44
2475,9.54
2500,9.67
2525,9.86
2550,10.03
2575,10.18
2601,10.39
2627,10.54
2653,10.66
2680,10.77
2707,10.88
2734,11.02
2761,11.13
2789,11.24
2817,11.40
2845,11.60
2873,11.77
2902,11.96
2931,12.15
2960,12.35
2990,12.51
3020,12.65
3050,12.78
3080,12.86
3111,12.93
3142,12.97
3174,12.91
3206,12.85
3238,12.78
3270,12.65
3303,12.58
3336,12.51
3369,12.43
3403,12.34
3437,12.25
3471,12.14
3506,12.02
3541,11.81
3576,11.59
3612,11.34
3648,11.10
3685,10.83
3721,10.57
3759,10.32
3796,10.13
3834,10.00
3873,9.89
3911,9.82
3950,9.70
3990,9.57
4030,9.39
4070,9.20
4111,8.99
4152,8.75
4193,8.55
4235,8.35
4278,8.21
4321,8.08
4364,7.95
4407,7.79
4451,7.52
4496,7.23
4541,6.96
4586,6.67
4632,6.27
4679,5.80
4725,5.32
4773,4.80
4820,4.29
4868,3.74
4917,3.21
4966,2.66
5016,2.16
5066,1.67
5117,1.22
5168,0.83
5220,0.52
5272,0.25
5325,0.10
5378,0.09
5432,0.30
5486,0.67
5541,1.14
5596,1.73
5652,2.47
5709,3.14
5766,3.82
5823,4.50
5882,4.98
5940,5.35
6000,5.56
6060,5.59
6120,5.55
6182,5.38
6244,5.15
6306,4.91
6369,4.68
6433,4.42
6497,4.14
6562,3.96
6628,3.78
6694,3.64
6761,3.40
6828,3.13
6897,2.87
6966,2.59
7035,2.24
7106,1.87
7177,1.42
7249,0.95
7321,0.52
7394,0.09
7468,-0.31
7543,-0.64
7618,-0.86
7694,-1.06
7771,-1.24
7849,-1.27
7928,-1.30
8007,-1.27
8087,-1.22
8168,-1.09
8250,-0.81
8332,-0.41
8415,0.18
8499,0.90
8584,1.81
8670,2.82
8757,3.86
8845,4.74
8933,5.71
9022,6.28
9113,6.49
9204,6.35
9296,5.70
9389,4.70
9483,3.61
9577,2.47
9673,1.39
9770,0.41
9868,-0.52
9966,-1.34
10066,-2.12
10167,-2.87
10268,-3.52
10371,-4.19
10475,-4.90
10579,-5.61
10685,-6.39
10792,-7.15
10900,-8.00
11009,-8.79
11119,-9.48
11230,-9.97
11343,-10.13
11456,-10.12
11571,-10.06
11686,-9.72
11803,-8.85
11921,-7.58
12040,-6.22
12161,-4.94
12282,-3.90
12405,-3.27
12529,-2.84
12655,-2.60
12781,-2.27
12909,-1.81
13038,-1.09
13168,-0.33
13300,0.40
13433,0.98
13567,1.51
13703,1.86
13840,1.94
13978,1.86
14118,1.62
14259,1.22
14402,0.75
14546,0.24
14692,-0.26
14838,-0.75
14987,-1.41
15137,-1.81
15288,-2.38
15441,-3.00
15595,-3.47
15751,-4.04
15909,-4.49
16068,-4.49
16229,-4.22
16391,-3.48
16555,-2.81
16720,-2.20
16888,-1.54
17056,-1.23
17227,-1.19
17399,-1.59
17573,-2.39
17749,-3.48
17926,-4.80
18106,-6.25
18287,-7.85
18470,-9.62
18654,-11.34
18841,-12.45
19029,-12.88
19220,-12.79
19412,-12.31
19606,-11.58
19802,-10.61
20000,-9.61
